window_hours,source,sold_tokens,share_of_attributed_sold_tokens
0.3333333333333333,own_pool_buy,119759.02006613299,0.4192988431635244
0.3333333333333333,transferred_pool_buy,73240.24783400714,0.25642787635412073
0.3333333333333333,branch_withdrawal,0.0,0.0
0.3333333333333333,transferred_branch_withdrawal,0.0,0.0
0.3333333333333333,initial_allocation,0.0,0.0
0.3333333333333333,transferred_allocation,0.0,0.0
0.3333333333333333,other_custody_or_unresolved,90020.12801880485,0.315177391388754
0.3333333333333333,own_other_pool_buy,2476.8989258399024,0.008672088780153145
0.3333333333333333,transferred_other_pool_buy,121.04471803280131,0.00042380031344763346
2.0,own_pool_buy,1407874.819358977,0.6655174289805703
2.0,transferred_pool_buy,274206.6649479299,0.12962041238053582
2.0,branch_withdrawal,0.0,0.0
2.0,transferred_branch_withdrawal,0.0,0.0
2.0,initial_allocation,0.0,0.0
2.0,transferred_allocation,0.0,0.0
2.0,other_custody_or_unresolved,362764.2106873004,0.17148250789278432
2.0,own_other_pool_buy,63633.81737441769,0.03008038353475476
2.0,transferred_other_pool_buy,6979.464439148178,0.0032992672113548558
6.0,own_pool_buy,9322893.336024748,0.7839577752993389
6.0,transferred_pool_buy,777154.4526441438,0.06535055736448694
6.0,branch_withdrawal,0.0,0.0
6.0,transferred_branch_withdrawal,0.0,0.0
6.0,initial_allocation,0.0,0.0
6.0,transferred_allocation,0.0,0.0
6.0,other_custody_or_unresolved,1381279.1573447632,0.11615112350100917
6.0,own_other_pool_buy,388118.9934985967,0.03263674609671312
6.0,transferred_other_pool_buy,22640.12655806057,0.0019037977384519468
24.0,own_pool_buy,25459876.898014404,0.7440672951132818
24.0,transferred_pool_buy,4891690.730426976,0.1429601213273492
24.0,branch_withdrawal,0.0,0.0
24.0,transferred_branch_withdrawal,0.0,0.0
24.0,initial_allocation,0.0,0.0
24.0,transferred_allocation,0.0,0.0
24.0,other_custody_or_unresolved,3222782.4071374107,0.09418611873195742
24.0,own_other_pool_buy,602114.6844985252,0.017596858242379994
24.0,transferred_other_pool_buy,40704.97038491603,0.0011896065850315557
