cohort,addresses,wallet_tokens,native_eth_observed,native_eth_missing,buy_eth_6h,sell_eth_6h,buy_tokens_6h,sell_tokens_6h,branches,pending_tokens
charter_operator,941,10319791.033859577,2547.669845200192,0,346.18659570568514,151.80608199145587,3230283.306960094,1401790.279012487,1199,1437620.306819074
inactive_or_unattributed,15495,41389547.017579466,2774.0807334108445,8531,0.0,0.0,0.0,0.0,0,0.0
net_buyer,296,7943208.974418008,714.9739976539944,0,390.0251811108606,0.745963459958497,3653102.8520967173,6876.776951785877,0,0.0
net_seller,486,2106398.525960005,580.6433316505644,0,9.520713915774513,943.4966587503447,88262.14026799236,8873423.765018428,0,0.0
two_way_trader,94,1883327.3813426786,184.07530942597387,0,170.12342660212553,176.03845998889807,1550742.0092735086,1609995.2450876113,0,0.0
