charter_id,owner,ledger_used,wallet_used,new_tokens_needed
92,0xb993494cf9f7d5a941349f1c7df2f3aa2fc877bd,21134.30308896123,0.0,0.0
95,0x338188207e6256f0179b110d7f7bbce5a838f8ad,21134.30308896123,0.0,0.0
277,0xc091c59489accde50de0ccdf1eddf6c5e5257678,21134.30308896123,0.0,0.0
456,0xa4a5cc8c29353f333d031f7df7a717ef86caa7de,21134.30308896123,0.0,0.0
456,0xa4a5cc8c29353f333d031f7df7a717ef86caa7de,21134.30308896123,0.0,0.0
549,0xd4bb7351a9b0d1b236e7523da7a972db4a100f08,21134.30308896123,0.0,0.0
589,0xcfb7698154899ae6c5913989f4833d4912b45fb6,21134.30308896123,0.0,0.0
589,0xcfb7698154899ae6c5913989f4833d4912b45fb6,21134.30308896123,0.0,0.0
589,0xcfb7698154899ae6c5913989f4833d4912b45fb6,21134.30308896123,0.0,0.0
664,0x26d7b4fe67f4601643304b5023b3caf3a72e8504,21134.30308896123,0.0,0.0
664,0x26d7b4fe67f4601643304b5023b3caf3a72e8504,21134.30308896123,0.0,0.0
664,0x26d7b4fe67f4601643304b5023b3caf3a72e8504,21134.30308896123,0.0,0.0
698,0x2f85fb2a2d54f30ac38148166b75ce22c3c15b43,21134.30308896123,0.0,0.0
725,0x338188207e6256f0179b110d7f7bbce5a838f8ad,21134.30308896123,0.0,0.0
807,0xedb5f6d408dcdf6a981cbb1f3e401343a312c9d9,21134.30308896123,0.0,0.0
841,0xeb456428815f395e6f02d4982f5521116c89c620,21134.30308896123,0.0,0.0
841,0xeb456428815f395e6f02d4982f5521116c89c620,21134.30308896123,0.0,0.0
935,0x6fa8ac42a7022eb358dac2c5526f966bfc18ed11,21134.30308896123,0.0,0.0
950,0xa3b3f26de89fe2670aca5c5a4477f9d37b5cc806,21134.30308896123,0.0,0.0
1000,0xedb5f6d408dcdf6a981cbb1f3e401343a312c9d9,21134.30308896123,0.0,0.0
634,0xe8e4eb3fe4a93b45ddc4589abdd8f8e006d0533d,13197.80049605623,7936.502592905001,0.0
9,0x1d7b4a9960f908ecc71405f74715fd7f05bf5581,12554.201170315846,8580.101918645385,0.0
786,0x735362a17532f349f2500425bad3cd891c3935d3,12549.361170315846,8584.941918645385,0.0
814,0x804958591b1ebec23cfa7c81a99a3f1ef5979ff8,12545.911170315843,8588.391918645388,0.0
841,0xeb456428815f395e6f02d4982f5521116c89c620,7048.508663697663,14085.794425263568,0.0
654,0x5140087842da3cbc55ff69ba74b4239af219c4b6,3166.6507599699494,17967.65232899128,0.0
698,0x2f85fb2a2d54f30ac38148166b75ce22c3c15b43,3022.7080813546163,18111.595007606615,0.0
821,0xc02ad38d5df2724bf1cc7983244301e2185f9462,2624.4817791913915,18509.82130976984,0.0
736,0xa61c3eeb92452964d5f690fe1ded2da252c358e4,2622.0565080203783,18512.246580940853,0.0
700,0xf955dab8bdb1158dc0df449997a057ab9eb4f774,2621.8892000733304,18512.413888887902,0.0
979,0xfefbc45f6bd1b8baeb2549267f5e906f8a3b42f1,1973.1706968475207,19161.132392113712,0.0
716,0x2a194d883362c456c47502febf07b84803041024,1966.9730381324523,19167.33005082878,0.0
73,0x775d1bd04e076e5812adab5a8ba2c4de71a8e50d,1319.1242712444516,19815.17881771678,0.0
703,0x3d2fa04af6099a759fc3477fe601a9c7aadf0229,1318.9062138465931,19815.39687511464,0.0
508,0x78b1094269465e61b08fe6040db5cb754e85a159,1317.1155814352662,19817.187507525963,0.0
766,0xe65a30d4270705e3a6e92917a9c944bc8eaa5ef2,1316.3348416201225,19817.96824734111,0.0
823,0x153b93374f4e8edb54ba0569e6ea6b46e5e46a5d,1316.1565485564618,19818.14654040477,0.0
191,0xf3753b1d10d40d8bb1e75b26c69fd6e844aa988f,1315.6683613171044,19818.634727644127,0.0
4,0x6f32e655f12ea79e20d54d0f8f010820b61c9f15,657.0111703158465,20477.291918645384,0.0
19,0x8738117428f539ce10eaa583354bb3a0158b628a,657.0111703158465,20477.291918645384,0.0
24,0x0d6f280cae54c533e0627c6e6a1627378868cb79,657.0111703158465,20477.291918645384,0.0
27,0xd8b7350c83d334340d1cb8b03e6ad667ec2504ad,657.0111703158465,20477.291918645384,0.0
52,0x751b3eef33e7f4e4e6c6937a7ea2a02b3d04fb34,657.0111703158465,20477.291918645384,0.0
60,0x00b1c364d7f1a23f4b54d48c25e2bddf23d4e27b,657.0111703158465,20477.291918645384,0.0
70,0xca5df910f3e2226324707efe7fa6d03a0f821353,657.0111703158465,20477.291918645384,0.0
101,0xd08d1a2c59fd698cefebc593d752a01afbfbe9b9,657.0111703158465,20477.291918645384,0.0
112,0xe06ad0acb3956f98c9df77bd02cdfd4426b2208d,657.0111703158465,20477.291918645384,0.0
125,0xa6c88571d0028f47adba983a7240bf12af94633e,657.0111703158465,20477.291918645384,0.0
