sold_tokens_first,target_return,target_price_ETH,fresh_wallet_ETH
0.0,0.050000000000000044,0.00011256415481217122,98.94613688791046
0.0,0.10000000000000009,0.00011792435266036986,183.85475383773212
0.0,0.25,0.00013400494620496574,428.218989437673
0.0,0.5,0.0001608059354459589,795.3480218986281
0.0,0.7907831975621702,0.00019197904484326013,1187.1411082473685
1000000.0,0.050000000000000044,0.00011256415481217122,205.48657325085662
1000000.0,0.10000000000000009,0.00011792435266036986,290.3951902006783
1000000.0,0.25,0.00013400494620496574,534.7594258006192
1000000.0,0.5,0.0001608059354459589,901.8884582615742
1000000.0,0.7907831975621702,0.00019197904484326013,1293.6815446103149
3000000.0,0.050000000000000044,0.00011256415481217122,402.4636393613398
3000000.0,0.10000000000000009,0.00011792435266036986,487.37225631116144
3000000.0,0.25,0.00013400494620496574,731.7364919111023
3000000.0,0.5,0.0001608059354459589,1098.8655243720575
3000000.0,0.7907831975621702,0.00019197904484326013,1490.658610720798
5000000.0,0.050000000000000044,0.00011256415481217122,580.4459595385559
5000000.0,0.10000000000000009,0.00011792435266036986,665.3545764883776
5000000.0,0.25,0.00013400494620496574,909.7188120883184
5000000.0,0.5,0.0001608059354459589,1276.8478445492735
5000000.0,0.7907831975621702,0.00019197904484326013,1668.640930898014
