window_hours,source,sold_tokens,share_of_attributed_sold_tokens
0.3333333333333333,own_pool_buy,1993778.0015879758,0.9203013512214239
0.3333333333333333,transferred_pool_buy,13266.765048205154,0.006123761918566649
0.3333333333333333,branch_withdrawal,0.0,0.0
0.3333333333333333,transferred_branch_withdrawal,0.0,0.0
0.3333333333333333,initial_allocation,0.0,0.0
0.3333333333333333,transferred_allocation,0.0,0.0
0.3333333333333333,other_custody_or_unresolved,110734.03084996558,0.05111335270840154
0.3333333333333333,own_other_pool_buy,48204.77256496292,0.022250680512837066
0.3333333333333333,transferred_other_pool_buy,456.8018355923466,0.00021085363877083247
2.0,own_pool_buy,5147060.400996976,0.8144703876067705
2.0,transferred_pool_buy,204625.86211405147,0.03237997852096684
2.0,branch_withdrawal,0.0,0.0
2.0,transferred_branch_withdrawal,0.0,0.0
2.0,initial_allocation,0.0,0.0
2.0,transferred_allocation,0.0,0.0
2.0,other_custody_or_unresolved,664874.2781297908,0.1052096476103624
2.0,own_other_pool_buy,293320.87694487453,0.04641506990906403
2.0,transferred_other_pool_buy,9636.73657624203,0.0015249163528362488
6.0,own_pool_buy,9106854.51764676,0.8021434861815246
6.0,transferred_pool_buy,573741.0537492537,0.05053585166295277
6.0,branch_withdrawal,0.0,0.0
6.0,transferred_branch_withdrawal,0.0,0.0
6.0,initial_allocation,0.0,0.0
6.0,transferred_allocation,0.0,0.0
6.0,other_custody_or_unresolved,1298964.0626848089,0.11441442922443366
6.0,own_other_pool_buy,360826.94279042515,0.03178210228759909
6.0,transferred_other_pool_buy,12762.422690510535,0.001124130643489588
24.0,own_pool_buy,31655967.349057123,0.7784981736314268
24.0,transferred_pool_buy,5270533.235275511,0.12961538822941487
24.0,branch_withdrawal,11829.581180343133,0.00029091852547656003
24.0,transferred_branch_withdrawal,0.0,0.0
24.0,initial_allocation,0.0,0.0
24.0,transferred_allocation,0.0,0.0
24.0,other_custody_or_unresolved,3162744.3510549814,0.07777967022172684
24.0,own_other_pool_buy,532028.0027142148,0.013083878431727298
24.0,transferred_other_pool_buy,29764.037479158473,0.0007319709602275783
