cohort,addresses,wallet_tokens,native_eth_observed,native_eth_missing,buy_eth_6h,sell_eth_6h,buy_tokens_6h,sell_tokens_6h,branches,pending_tokens
charter_operator,941,9665189.489048975,2574.7250415808194,0,167.55826831592717,110.98107963434191,1489299.5483709588,994315.4626807641,1153,1413081.8011091095
inactive_or_unattributed,15429,41974177.61191588,2712.9414326920532,8592,0.0,0.0,0.0,0.0,0,0.0
net_buyer,271,9067958.730893511,726.9352916833565,0,406.40618505028596,0.42737977811481215,3635701.442827202,3857.5239159388293,0,0.0
net_seller,446,1771091.6254063745,702.1057494663908,0,21.634685116730545,1004.3932584768462,183107.34789384555,9214791.105063755,0,0.0
two_way_trader,74,236751.28939633066,122.09106461549746,0,113.9512706484856,126.89635783445675,986312.3824608991,1140184.9079013008,0,0.0
