source,economic_source,tokens,transactions,recipients
outside_wallet_inventory,0xdb9e9500c01ce4eb04a35471f4346611ede7964f,67.81961707352184,2,1
outside_wallet_inventory,0x23dd0b4191b21aebb6e46f0738510e226ec62a4b,67.22485362157873,1,1
outside_wallet_inventory,0x4a81aed6281ea8c2658a5f2d6cab17f61c597fb5,66.0,1,1
outside_wallet_inventory,0x550b0eab7e87311ea12d9f50c842de3e09a10e91,64.82568466265336,1,1
outside_wallet_inventory,0xf878ba91fc4d0c83b363d03f041d9b81b8296757,64.33512913129347,1,1
outside_wallet_inventory,0x7458c2251baf3f97f700b3826541b8d2ffc48160,63.65475854067438,1,1
outside_wallet_inventory,0xb9b709ad5cd8fdbb1d7927fc2091ad1debed9642,63.4434231330394,1,1
same_group_inventory_via_relay,0x910d051607ecba7ec107beff6a114ba77233e087,63.027125707109704,1,1
outside_wallet_inventory,0x70bb9c7d457866ae8412a53852c95520fa425c5f,60.1245845064645,1,1
outside_wallet_inventory,0x84860b9ac8cb1060f13e17864b9ca9d86d3e62c6,59.61675972457937,1,1
outside_wallet_inventory,0x1b2e69d5dd0b6bb2fdb4efc1f8ea6e8f116a8657,59.092515102639595,1,1
outside_wallet_inventory,0x494caa6db551fd5073be1f237449139cb243f8df,58.23310943846763,1,1
outside_wallet_inventory,0xf980fbc2f9263e41118990aca6f7385ef117c724,58.12546956386609,1,1
outside_wallet_inventory,0x118e9e978767e9e7f42ff5b094dc5ba67db945d9,55.58186650739681,1,1
outside_wallet_inventory,0xf63682e4a76f36590eda52de2d4e765a0007d028,55.08370249338605,1,1
outside_wallet_inventory,0x2497dfb4e438be6eed733c47a47e37d30d4e1ccf,52.64516108232351,1,1
other_custody_output,0x17df14744076421e165d04372f196885c6292417,52.27296741310494,1,1
outside_wallet_inventory,0xb6518ab3a5b14c0c9d87cdb397e93746c36fe8ba,51.211,1,1
outside_wallet_inventory,0x31a93fec5e021c2ed9835cabf8009709661b8eeb,49.99999999999999,1,1
outside_wallet_inventory,0xe6347d89959424f7fdc9620fba675ecc0ce1caeb,48.624597933083805,1,1
same_group_inventory_via_relay,0x8908253a36effaf7c284dc044f22d90fc9a3139d,48.09426098108156,1,1
outside_wallet_inventory,0xbe493ceac5425c2634e62aa7b284045bcdb1c1dc,47.60643448522079,1,1
outside_wallet_inventory,0x8bf5936bb2d31d6ced69978869f0e25b3cf43636,47.14233335013125,1,1
outside_wallet_inventory,0xbc942bc9a373523287f112c27c2319ae509b32c3,45.66642487966564,1,1
outside_wallet_inventory,0x4f8789a05fc744f637a71c84ab866f5a0ca98628,45.168830107693225,1,1
outside_wallet_inventory,0x81c677f2c550734c7a7873dc87d8311e5d5728f3,44.77454673783517,1,1
outside_wallet_inventory,0xefda073f20335a26d97c1852d002eb1e24425b2a,44.03910179933355,1,1
outside_wallet_inventory,0xf7f15c060c53ef137c8edcea795d0e278c93b45c,44.018530242665726,1,1
outside_wallet_inventory,0xe1cfb4915a4729278ef66c769535504c9be2fb47,43.691605773823056,1,1
outside_wallet_inventory,0x973b8e29706a64b011c47797a8e0af6eb4f931f6,43.3406752024785,1,1
outside_wallet_inventory,0x6a64b0ddd48e41bfca37d7471b20744b898c790d,43.31659307809052,1,1
outside_wallet_inventory,0x1f3134df24cbe5a82f83f24e3ec87ce7513690f8,42.204259251480615,1,1
outside_wallet_inventory,0xecce3c38e0e5e21ee963fea964888e4b532a67c3,42.07778579396631,1,1
outside_wallet_inventory,0x3177045f1ea5c6eac2923414aae79407208c95a4,41.41066844732943,1,1
outside_wallet_inventory,0xf79530f911d8d12b38dab41d1f85d25e2041bacd,41.09629743111532,1,1
outside_wallet_inventory,0x8e5bbcddcf4d27ae6355f2e319fd7bb1e54e1bb0,40.46913455386709,1,1
outside_wallet_inventory,0x09c53534b33ed2ed66868e048e1f648bd1803353,40.26109390734348,1,1
outside_wallet_inventory,0x8e6b35a59a00f02d58f2947aede22bbca097d9e4,40.12389387499786,1,1
outside_wallet_inventory,0xd083d2e970004cdc80600c8309c49b36588e1fad,39.45395723191001,1,1
outside_wallet_inventory,0x394b8b7f9589292364eabfdee9e366f07adc9b69,39.32343257453745,2,1
outside_wallet_inventory,0x65e4c0e89deaee1df2afa44918fe4acd68b24a61,39.098269015193466,1,1
outside_wallet_inventory,0xe7cb3d9f743caca99b087f903d780e54753262ff,39.00474681916961,1,1
outside_wallet_inventory,0x9075b0da84c8fb06f400140b09e23072418dcf13,38.97849961138484,1,1
outside_wallet_inventory,0xb2cd73057f469b2411e7b93f8397748330c94ab1,38.56666858292316,2,1
outside_wallet_inventory,0xf4bd8fa1f25b47f82283f3ec5360411e2b5349fa,38.26241980420379,1,1
outside_wallet_inventory,0x5669fe29e253d4909d0e56b689e4c31ed954cd31,38.17667426133665,1,1
outside_wallet_inventory,0x346cd1bd24fabc7291d1c0c56b773858225dce9f,37.666621059839926,1,1
outside_wallet_inventory,0x7eca68ffb841e61215118912600da9fdb9316237,37.450749887985005,1,1
outside_wallet_inventory,0x2a3db8633f30cefd12d2d1cfbb5216ce529d436b,35.739707781946905,2,1
outside_wallet_inventory,0xdc8d9e8830f0517e527ec5e1e14affa64354643a,35.728463676,1,1
outside_wallet_inventory,0xbddbff130561a278814493778b4fbd3e4abfdba6,35.702977585883794,1,1
outside_wallet_inventory,0x12425231e03fa048648a44592d529eaf332be8ad,34.93979504642244,1,1
outside_wallet_inventory,0xd48fa22d6170048027f22b50d10502e3ec6e748d,34.1259931354056,1,1
outside_wallet_inventory,0x7318816e6de00ab0e5d07ebbafc025e5bb0591cd,33.90486815085243,1,1
outside_wallet_inventory,0xc49bd9d9b2ef29fab0b6f153d3b767b347477c65,32.87525885984247,1,1
outside_wallet_inventory,0xce6063f6d8deacd24455ed92e94dd9f95e95ef2e,32.669773925162495,1,1
outside_wallet_inventory,0x1978c059753db1b9696fc31030fcb29ab1849932,32.476398033913284,2,2
outside_wallet_inventory,0x6cb05fbf71fb59a28aa752cd72dcfcecbb2437e2,31.686313308210728,1,1
outside_wallet_inventory,0xa317f0d52971b1f7f77976a61c049fbd41439b5b,31.246460214731286,1,1
outside_wallet_inventory,0xb73b4727d2005918b5507446d7e0337de5b382be,30.849649433039517,1,1
outside_wallet_inventory,0x4089df79ee5e1ff797e8ac91bbf161842ddace83,30.21872375294229,1,1
outside_wallet_inventory,0x79660afba8a11fc89c9683a4e92b9e9b8d3b65e4,30.0,1,1
outside_wallet_inventory,0xe74e9b0f3449d3f8df9c503e065161f4c6d6c023,28.655383348467787,1,1
outside_wallet_inventory,0xa4ce500dc0a2efa0591d86c8b00acbf604584dc2,27.115423614378862,3,1
outside_wallet_inventory,0xba47a33accb9e013dd6817ea981ef6591aca6a39,26.98523674495732,1,1
outside_wallet_inventory,0x9a3c72f01e5c2e5e43bef9887155b4931ff0d0ba,26.660433475116633,1,1
outside_wallet_inventory,0xe955b862929f995e385a8310e07cf353aeabaf90,26.06420097948051,1,1
outside_wallet_inventory,0xdbecff5e4c8417a542f53903412e20beb04eed1b,26.046541314080393,1,1
outside_wallet_inventory,0x6d22a2081775c5ec4d995c44d504bbb1d1c0bb86,25.11312395082473,1,1
outside_wallet_inventory,0x266b032a1893122eac893e26aaddb94997778394,25.051216598176122,1,1
outside_wallet_inventory,0x2ed95f0e63ec4b4a7d33438f04b5bb25ad945915,25.0,1,1
outside_wallet_inventory,0xcaef0f46414a9cd6100e5c797c103d0533c95a6a,24.60708039955469,1,1
outside_wallet_inventory,0x3a0aeab30280c3f4758aa09ea3b344d1b9ddb3fb,24.31942926163583,1,1
outside_wallet_inventory,0x678ff794230146a64802f8d66895fa451bd1863a,23.823762725922393,1,1
outside_wallet_inventory,0xc9fcccc16f98301aa227dfdf66ccd2661db1b01b,23.186651021361243,1,1
