address,initial_tokens,current_tokens,bought_canonical_tokens,buy_pool_ETH,sold_canonical_tokens,sell_pool_ETH,gross_external_incoming,canonical_swap_output,other_custody_output,same_group_inventory_via_relay,outside_wallet_inventory,verified_secondary_swap_output
0xfb0d8b94027c5109ae89c5f08b025cc598cf6f49,0.0,259994.97879839392,259994.9787983939,29.203019999999995,0.0,0.0,259994.9787983939,259994.9787983939,0.0,0.0,0.0,0.0
0x4ff25ae1b4bf1cee786d5458b43f116d3203d374,0.0,0.0,184733.54049964552,19.49123410935896,184733.54049964555,20.409631296452247,184733.54049964552,184733.54049964552,0.0,0.0,0.0,0.0
0x11bc74e240c13f7067529b21dfb9933ff7fcb136,30959.57136383381,0.0,91299.98354051329,8.82,27508.3998534781,3.054968064303156,91299.98354051329,91299.98354051329,0.0,0.0,0.0,0.0
0xa9076b5ba0aa393915cc4143653e7a01b96b5e12,0.0,30650.92048394764,30650.92048394764,3.3957,0.0,0.0,30650.920483947637,30650.920483947637,0.0,0.0,0.0,0.0
0xd026f7a62fad79952d2f136ebd598a71b0053da1,337804.8653560165,367702.6353221786,0.0,0.0,0.0,0.0,29897.769966162057,0.0,26251.028998222988,0.0,0.0,3646.740967939072
0xff00ee4bce74c07569f5b8704a0f26642b066300,0.0,0.0,29092.836401556073,3.137700203179161,29092.83640155608,3.1856526039099275,29092.836401556073,29092.836401556073,0.0,0.0,0.0,0.0
0x2b69c3251b373d8820e90a2580dcf2a84fcd00e6,0.0,0.0,28955.912436413033,3.1189700675460506,28955.91243641303,3.1757536973974414,28955.912436413033,28955.912436413033,0.0,0.0,0.0,0.0
0xed3ad83572cce1e7db2ea644f19abf98fc096684,37346.69704704527,0.0,10999.11684802309,1.0571465354426726,34814.13800125552,3.619782733974017,24207.4096361322,10999.11684802309,11207.629605541078,0.0,0.0,2000.6631825680347
0x98153cf43e104ed590078840c12628d4289bf3df,0.0,10042.01970040825,24105.409700408247,2.4255,0.0,0.0,24105.409700408247,24105.409700408247,0.0,0.0,0.0,0.0
0xc3c570056e06370b9b4022c98174226d576570a5,0.0,0.0,22832.92670656587,2.45886517118184,22832.92670656587,2.50780410829917,22832.92670656587,22832.92670656587,0.0,0.0,0.0,0.0
