source,sold_tokens,share
own_pool_buy,1651188.4491595346,0.6655330794980149
transferred_pool_buy,376836.7639645085,0.1518889816101992
branch_withdrawal,0.0,0.0
transferred_branch_withdrawal,0.0,0.0
initial_allocation,0.0,0.0
transferred_allocation,0.0,0.0
other_custody_or_unresolved,371948.49281890725,0.14991870005293104
own_other_pool_buy,70086.6817843103,0.028249352872745728
transferred_other_pool_buy,10940.932905757552,0.004409885966109044
