source,remaining_tokens,share
own_pool_buy,2867896.4798817188,0.6590472360373705
transferred_pool_buy,777419.1644812858,0.17865217771563516
branch_withdrawal,0.0,0.0
transferred_branch_withdrawal,0.0,0.0
initial_allocation,0.0,0.0
transferred_allocation,0.0,0.0
other_custody_or_unresolved,561700.5339442487,0.12907968853601717
own_other_pool_buy,139257.93473325676,0.03200169797830729
transferred_other_pool_buy,5305.444633409271,0.0012191997326702281
