address,wallet_tokens,native_eth,native_eth_observed,charter_count,branches,pending_tokens,deposited_tokens_lifetime,licenses_bought_lifetime,buy_tokens_lifetime,buy_tokens_6h,buy_pool_eth_lifetime,buy_pool_eth_6h,buy_count_6h,sell_tokens_lifetime,sell_tokens_6h,sell_pool_eth_lifetime,sell_pool_eth_6h,sell_count_6h,cohort,first_pool_buy_utc_approx,inventory_own_pool_buy,inventory_transferred_pool_buy,inventory_branch_withdrawal,inventory_transferred_branch_withdrawal,inventory_initial_allocation,inventory_transferred_allocation,inventory_other_custody_or_unresolved,inventory_own_other_pool_buy,inventory_transferred_other_pool_buy,strategy,cash_observed,native_ETH_budget,buy_event_rate_hour,sell_event_rate_hour,sale_fraction_median,buy_ticket_mean_ETH,previous_tokens
0x8224c04a8f66557df682fd0581eb3724bd2bee07,892110.4813367942,0.0,True,0,0,0.0,0.0,0,707835.7588347737,78851.42703384883,91.13544832101756,8.752044549453892,2,47280.0578127638,47280.0578127638,4.9414857863229535,4.9414857863229535,4,two_way_trader,2026-09-15T01:44:03.160981178+00:00,672575.8194562468,0.0,0.0,0.0,0.0,0.0,204581.98259864576,14952.679281901634,0.0,two_way,True,0.0,0.3333333333333333,0.6666666666666666,0.0133271465313263,4.46532885176219,895118.0923862753
0x5638484ba2d2f1d1d35020572b0aa439a9869192,764634.9474342996,76.33771781807022,True,0,0,0.0,0.0,0,1266453.6267219542,246261.54838107777,50.83117031062851,29.106,3,850763.7482107423,254107.45465956884,109.34038557834134,28.23452856253754,6,two_way_trader,2026-09-15T01:01:43.795429707+00:00,216204.43014051893,548430.5172937807,0.0,0.0,0.0,0.0,0.0,0.0,0.0,two_way,True,76.33771781807022,0.5,1.0,0.0499999999999999,9.9,1018742.4020938684
0x8c509e461bcebe90711e3eb99a6ef1f1ddde3351,305294.47104710084,2.267292330439642,True,0,0,0.0,0.0,0,333995.00268700777,0.0,55.7865,0.0,0,29867.79007400709,29867.79007400709,3.120080636332606,3.120080636332606,3,net_seller,2026-09-15T02:02:37.294689417+00:00,304210.77990310494,906.6221548763624,0.0,0.0,0.0,0.0,162.64749873829183,0.0,14.42149038129511,recent_seller,True,2.267292330439642,0.0,0.5,0.0306,,335162.261121108
0x31caa6199d3fb1e193e968789aea8b7df4ba50af,233311.48960086427,0.0,True,0,0,0.0,0.0,0,346013.15589227533,0.0,36.12788624602413,0.0,0,233311.48960086427,233311.48960086427,21.8075403116863,21.8075403116863,1,net_seller,2026-09-15T01:05:29.771509171+00:00,173006.57794613767,58712.21126796377,0.0,0.0,0.0,0.0,1592.700386762824,0.0,0.0,recent_seller,True,0.0,0.0,0.1666666666666666,0.5,,466622.9792017285
0xf75f2f708e489299c992349a73baec209b400aa0,101228.92147700416,0.0,True,0,0,0.0,0.0,0,18624.68651527949,0.0,1.9182343910352715,0.0,0,59542.58304000955,59542.58304000955,6.149746744979233,6.149746744979233,2,net_seller,2026-09-15T01:23:13.611165047+00:00,11653.63838743333,70384.13071222359,0.0,0.0,0.0,0.0,19191.15237734725,0.0,0.0,recent_seller,True,0.0,0.0,0.3333333333333333,0.204735383717008,,161782.68675490358
0xc2c66aec8165f0e94b692b088c5459e8ece2d493,81140.50120536586,3.929003770788502,True,0,0,0.0,0.0,0,162011.48967588865,85161.88085311909,13.423509,8.2467,7,82863.24425044973,6013.635427680177,7.210974918594525,0.6544898478239698,2,net_buyer,2026-09-15T01:10:59.934640408+00:00,79285.71107425386,0.0,0.0,0.0,0.0,0.0,0.0,1854.790131111991,0.0,recent_seller,True,3.929003770788502,1.1666666666666667,0.3333333333333333,0.035,1.2021428571428572,0.0
0xd9eb90019424e30d05b7e2a3144092225faa7b0c,71360.39263642854,3.664283273546312,True,0,0,0.0,0.0,0,101688.81070853931,0.0,10.42234677792,0.0,0,33581.36,33581.36,3.786313147745842,3.786313147745842,8,net_seller,2026-09-15T01:27:51.532157898+00:00,69148.39209931248,0.0,0.0,0.0,0.0,0.0,0.0,2212.0005371160178,0.0,recent_seller,True,3.664283273546312,0.0,1.3333333333333333,0.0465367951758674,,104941.75263642854
0x2ed95f0e63ec4b4a7d33438f04b5bb25ad945915,70500.79675325667,0.0,True,0,0,0.0,0.0,0,47525.62389482126,0.0,8.462489804043688,0.0,0,500.0,500.0,0.0539754788377872,0.0539754788377872,1,net_seller,2026-09-15T06:12:03.076142073+00:00,45260.85350566225,326.6372133923783,0.0,0.0,0.0,0.0,17826.551169548577,7012.057868224918,74.6969964285477,recent_seller,True,0.0,0.0,0.1666666666666666,0.0069929290679858,,73000.79675325667
0x9ec2bcc1aa4a0f0716057dec17ec6a1389d2d743,41481.34933647288,0.0,True,0,0,0.0,0.0,0,44968.04963610561,0.0,6.518401698882745,0.0,0,13827.11644549096,13827.11644549096,1.439754482179926,1.439754482179926,1,net_seller,2026-09-15T01:50:52.984600306+00:00,33726.03722707921,0.0,0.0,0.0,0.0,0.0,6122.410910954233,1632.901198439443,0.0,recent_seller,True,0.0,0.0,0.1666666666666666,0.2499999999999999,,55308.465781963845
0xbe493ceac5425c2634e62aa7b284045bcdb1c1dc,28914.18178212628,0.0,True,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,1362.5059336395,1362.5059336395,0.1400041529863206,0.1400041529863206,1,net_seller,,0.0,330.5199808902222,0.0,0.0,0.0,0.0,20846.183570879504,7360.156503908527,377.3217264480173,recent_seller,True,0.0,0.0,0.1666666666666666,0.041530881,,44316.80295276628
0x00000000cf1cd5867be5d90b99a6ebd683bc031c,23492.251967034368,0.0,True,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,321.7986,321.7986,0.0343313348834019,0.0343313348834019,1,net_seller,,0.0,216.55008012458663,0.0,0.0,0.0,0.0,4357.086003819873,18763.972551996805,154.6433310931069,recent_seller,True,0.0,0.0,0.1666666666666666,0.0136781519084341,,23447.267938315043
