window_hours,source,sold_tokens,share_of_attributed_sold_tokens
0.3333333333333333,own_pool_buy,774110.0443834284,0.6994394012717745
0.3333333333333333,transferred_pool_buy,69252.34938989443,0.06257226882065815
0.3333333333333333,branch_withdrawal,0.0,0.0
0.3333333333333333,transferred_branch_withdrawal,0.0,0.0
0.3333333333333333,initial_allocation,0.0,0.0
0.3333333333333333,transferred_allocation,0.0,0.0
0.3333333333333333,other_custody_or_unresolved,219136.68800388422,0.19799876641078445
0.3333333333333333,own_other_pool_buy,42767.80290018147,0.03864242128267178
0.3333333333333333,transferred_other_pool_buy,1490.960213651176,0.0013471422141109475
2.0,own_pool_buy,4447324.040807096,0.8131393267306306
2.0,transferred_pool_buy,321687.2835110543,0.05881662292467304
2.0,branch_withdrawal,0.0,0.0
2.0,transferred_branch_withdrawal,0.0,0.0
2.0,initial_allocation,0.0,0.0
2.0,transferred_allocation,0.0,0.0
2.0,other_custody_or_unresolved,593045.9090354329,0.1084312604093297
2.0,own_other_pool_buy,103710.56878576364,0.01896222117019435
2.0,transferred_other_pool_buy,3558.172645740163,0.0006505687651721981
6.0,own_pool_buy,6080940.175793317,0.7936250196273351
6.0,transferred_pool_buy,517407.86415522743,0.06752702945181656
6.0,branch_withdrawal,0.0,0.0
6.0,transferred_branch_withdrawal,0.0,0.0
6.0,initial_allocation,0.0,0.0
6.0,transferred_allocation,0.0,0.0
6.0,other_custody_or_unresolved,907739.7988591354,0.11846934764361677
6.0,own_other_pool_buy,150989.5280807204,0.01970568098393616
6.0,transferred_other_pool_buy,5156.087708032124,0.0006729222932954467
24.0,own_pool_buy,47641589.195400394,0.8062659387527886
24.0,transferred_pool_buy,8214408.972152967,0.13901715440406984
24.0,branch_withdrawal,11829.581180343133,0.00020019878716267747
24.0,transferred_branch_withdrawal,0.0,0.0
24.0,initial_allocation,0.0,0.0
24.0,transferred_allocation,0.0,0.0
24.0,other_custody_or_unresolved,2882018.029453546,0.04877404409179882
24.0,own_other_pool_buy,317706.2597856922,0.0053767252545487984
24.0,transferred_other_pool_buy,21623.016472595617,0.0003659387096311953
