strategy,addresses,positive_token_addresses,tokens,native_ETH_observed,bought_tokens_6h,sold_tokens_6h
charter_owner,941,251,9665189.489048975,2574.7250415808194,1489299.5483709588,994315.4626807641
inactive_holder,15429,6362,41974177.61191588,2712.9414326920532,0.0,0.0
recent_buyer,269,227,9066126.087078113,726.9201991607031,3605989.279654155,0.0
recent_seller,448,74,1772924.2692217724,702.1208419890442,212819.51106689268,9218648.628979694
two_way,74,24,236751.28939633066,122.09106461549744,986312.3824608991,1140184.9079013008
