hours,elapsed_days,timestamp_utc,price_ETH,price_return,wallet_tokens,wallet_cash_ETH,branches,bank_pending,vault_ETH,hook_ETH,epoch_flow_ETH,branch_withdraw_sell_ETH,sell_pool_ETH,branch_withdraw_sell_ETH_tokens,branches_retired,licenses,license_internal_tokens,license_wallet_tokens,license_fresh_tokens,license_fresh_buy_ETH,buy_pool_ETH,game_prefund_ETH,external_capital_ETH,spec_buy_ETH,spec_sell_ETH,spec_sell_ETH_tokens,owner_spec_buy_ETH,new_seller_activations,owner_spec_sell_ETH,owner_spec_sell_ETH_tokens
0.0,0.0,2026-09-16T02:57:33+00:00,9.509060999603663e-05,0.0,62715168.74666107,6838.7985800381175,1153,1413081.8011091093,111.7189937774005,2359.222523915383,2166.6432875407877,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.25,0.010416666666666666,2026-09-16T03:12:33+00:00,0.00011035021842370467,0.1604743983481025,64773085.77720361,6571.081568568521,1198,1314486.4156902707,111.7189937774005,2365.553628848393,2452.2815860552914,6.999950184592098,9.953782673273508,76808.53891136184,1.0,46.0,27126.404127084046,727987.8648340721,49337.26207743958,4.822701709257574,295.5920811877798,276.6079618231475,24.25239197791893,14.689399813494317,2.6552190084832046,25135.455438941917,5.504509294692095,0.0,0.0,0.0
0.5,0.020833333333333332,2026-09-16T03:27:33+00:00,0.00011252974397104179,0.18339491118767692,65102777.018238336,6536.471360117053,1198,1321778.0823569375,111.7189937774005,2366.3107156774013,2489.3788406766876,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.097254621396786,0.0,3.2441329989383956,34.04308925548671,0.0,0.0,3.8112521949181697,0.0,0.0,0.0
0.75,0.03125,2026-09-16T03:42:33+00:00,0.00011511708997754323,0.21060418039532292,65445617.721796125,6522.009960967591,1198,1329069.7490236042,111.7189937774005,2367.115102376214,2528.7937889184905,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.41494824180321,0.0,25.75793579115286,26.938779546273608,0.0,0.0,13.280555394341924,0.0,0.0,0.0
1.0,0.041666666666666664,2026-09-16T03:57:33+00:00,0.00011670198126194756,0.22727134957712103,65649991.87938228,6532.008639852427,1198,1336361.4156902705,111.7189937774005,2367.6034214870547,2552.7214253497064,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.927636431216637,0.0,34.41463442689431,19.31283827928764,0.0,0.0,5.103117262770157,0.0,0.0,0.0
1.25,0.052083333333333336,2026-09-16T04:12:33+00:00,0.00012009632759229843,0.2629672645627579,66073989.264124505,6491.622473931332,1198,1343653.0823569372,111.7189937774005,2368.638172190748,2603.424209830648,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.702784480941695,17.05506144093011,11.351369263538983,33.48947374370429,0.0,0.0,1.193,0.0,0.0,0.0
1.5,0.0625,2026-09-16T04:27:33+00:00,0.00012236311462258395,0.28680544406733777,66349263.48629191,6472.761495252378,1198,1350944.7490236042,111.7189937774005,2369.3260901099966,2637.1321878737776,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.70797804313036,0.0,15.534917283424761,29.15271415513363,0.0,0.0,5.243181807244288,0.0,0.0,0.0
1.75,0.07291666666666667,2026-09-16T04:42:33+00:00,0.00012409260984161155,0.3049933095053625,66555246.5298097,6453.749125205926,1198,1358236.4156902707,111.7189937774005,2369.849327073788,2662.770799099647,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.638611225867894,0.0,7.149478143209115,26.144176736875952,0.0,0.0,0.0176714527851602,0.0,0.0,0.0
2.0,0.08333333333333333,2026-09-16T04:57:33+00:00,0.00012566165591179976,0.3214938458911698,66738429.096425936,6443.435507285093,1198,1365528.0823569372,111.7189937774005,2370.3208764921706,2685.876720600332,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.105921500686218,0.0,13.26385299823355,19.94747091906757,0.0,0.0,3.63,0.0,0.0,0.0
2.25,0.09375,2026-09-16T05:12:33+00:00,0.00012723675747828385,0.33805806360467194,66919408.21743919,6433.427937579649,1198,1372819.749023604,111.7189937774005,2370.795322057159,2708.993255996243,0.0,0.0531567969783282,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.16969219288896,4.687150596644652e-13,13.583411255455605,20.139011358766126,0.051562093068978354,426.5189588436393,3.5035316952017297,0.0,0.0,0.0
2.5,0.10416666666666667,2026-09-16T05:27:33+00:00,0.0001301512642484607,0.36870784879690444,67245777.7892895,6410.3422728795185,1198,1380111.4156902707,111.7189937774005,2371.661104354464,2751.4165885641423,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.42333256789928,0.0,20.203450165072365,39.65911486520332,0.0,0.0,3.63,0.0,0.0,0.0
2.75,0.11458333333333333,2026-09-16T05:42:33+00:00,0.00013152676590854644,0.38317301691542904,67395878.020477,6399.128188848154,1198,1387403.0823569375,111.7189937774005,2372.0659410720727,2771.2535877269615,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.83699916281871,0.0,9.027751849063467,14.098835880427258,0.0,0.0,6.143,0.0,0.0,0.0
3.0,0.125,2026-09-16T05:57:33+00:00,0.00013238934000091805,0.3922440923077055,67488608.68619937,6391.797957729985,1198,1394694.749023604,111.7189937774005,2372.324252955608,2783.6161032138866,0.0,0.1193387879916372,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.481854274918039,0.0,5.29059625229389,12.552879028993566,0.11575862435188809,912.5699953518503,0.1837069658207596,0.0,0.0,0.0
3.25,0.13541666666666666,2026-09-16T06:12:33+00:00,0.0001331632541428952,0.4003827943520968,67570949.43717077,6396.525247697504,1198,1401986.4156902707,111.7189937774005,2372.615678488601,2794.685750527295,0.0,1.299677653116305,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.369324966525104,0.0,16.08836281391964,9.013629487577468,1.2606873235228158,9866.622821422026,3.608130682346105,2.0,0.0,0.0
3.5,0.14583333333333334,2026-09-16T06:27:33+00:00,0.0001347244310708663,0.41680057659196423,67735098.66205433,6381.624499957183,1198,1409278.0823569372,111.7189937774005,2373.068913061356,2816.8942445922685,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.20849406497276,0.0,7.760980897405381,21.728251198145006,0.0,0.0,0.9334774395823049,0.0,0.0,0.0
