strategy,hours_since_first_receipt,at_risk,first_sales,descriptive_survival
inactive_holder,4.25,11655,9,0.7978577444471592
inactive_holder,4.5,11621,12,0.7970338658710154
inactive_holder,4.75,11587,17,0.7958644884894838
inactive_holder,5.0,11535,27,0.7940016067218881
inactive_holder,5.25,11479,14,0.7930332277259733
inactive_holder,5.5,11442,16,0.7919242842157814
inactive_holder,5.75,11404,13,0.7910215294196744
inactive_holder,6.0,11372,10,0.7903259424258126
inactive_holder,6.25,11334,9,0.7896983675641722
inactive_holder,6.5,11304,10,0.7889997667436095
inactive_holder,6.75,11264,13,0.7880891668707698
inactive_holder,7.0,11227,13,0.7871766204051672
inactive_holder,7.25,11187,12,0.7863322367951858
inactive_holder,7.5,11130,4,0.7860496376085568
inactive_holder,7.75,11081,10,0.7853402705499803
inactive_holder,8.0,11031,11,0.784557137291341
inactive_holder,8.25,10976,9,0.7839138233121481
inactive_holder,8.5,10933,5,0.7835553152067277
inactive_holder,8.75,10865,8,0.7829783761803445
inactive_holder,9.0,10720,7,0.7824671029869431
inactive_holder,9.25,10470,10,0.7817197609592573
inactive_holder,9.5,10375,8,0.7811169890953851
inactive_holder,9.75,10330,8,0.7805120582229007
inactive_holder,10.0,10284,10,0.7797531005622406
inactive_holder,10.25,10248,12,0.7788400407255166
inactive_holder,10.5,10209,6,0.7783823034109556
inactive_holder,10.75,10176,4,0.7780763355243947
inactive_holder,11.0,10113,10,0.7773069532090339
inactive_holder,11.25,9997,11,0.7764516589722329
inactive_holder,11.5,9965,12,0.7755166444305704
inactive_holder,11.75,9929,9,0.7748136884632147
inactive_holder,12.0,9876,9,0.7741076006547732
inactive_holder,12.25,9833,8,0.7734777968507218
inactive_holder,12.5,9762,6,0.7730023956234011
inactive_holder,12.75,9713,7,0.7724453054587389
inactive_holder,13.0,9656,4,0.7721253198309598
inactive_holder,13.25,9559,8,0.771479122262318
inactive_holder,13.5,9319,5,0.7710651942001534
inactive_holder,13.75,9277,17,0.7696522257511502
inactive_holder,14.0,9211,3,0.7694015519179884
inactive_holder,14.25,9136,2,0.7692331190038207
inactive_holder,14.5,9094,5,0.7688101845860706
inactive_holder,14.75,9018,6,0.768298667497191
inactive_holder,15.0,8977,6,0.7677851560785675
inactive_holder,15.25,8946,5,0.7673560340373878
inactive_holder,15.5,8916,7,0.7667535786495164
inactive_holder,15.75,8875,7,0.7661488152635394
inactive_holder,16.0,8844,5,0.765715669167167
inactive_holder,16.25,8797,6,0.7651934122596983
inactive_holder,16.5,8718,3,0.7649300972520383
inactive_holder,16.75,8663,6,0.7644003061192307
inactive_holder,17.0,8601,2,0.7642225592744175
inactive_holder,17.25,8495,5,0.763772751999977
inactive_holder,17.5,8441,10,0.7628679151891726
