case,seed,ending_price_return,peak_return,hindsight_peak_hours,hindsight_peak_utc,branches_end,licenses,retired,license_fresh_ETH,game_prefund_ETH,spec_buy_ETH,spec_sell_ETH,buyback_ETH,branch_sell_ETH,new_capital_ETH,ETH_error,token_error,ledger_error
Wallet actions first,0,-0.07001631297245348,0.03966004093068487,0.25,2026-09-16T03:12:33+00:00,1265,146,34,104.91526120004957,176.60999734261492,629.386998485089,935.4988879488507,0,47.99930430262923,664.4797291072714,1.7280399333685637e-11,1.0035000741481781e-07,3.259629011154175e-09
Wallet actions first,1,-0.2532585982435437,0.17486702413662591,21.25,2026-09-17T00:12:33+00:00,1149,46,50,46.64903696142336,300.145682466898,924.1552839560064,1623.576579856111,0,53.21707068143764,745.6933341903382,3.126388037344441e-11,2.3702159523963928e-07,2.2118911147117615e-09
Half-sized time step,0,-0.21370325750161545,0.19004234869843462,18.25,2026-09-16T21:12:33+00:00,1157,48,44,43.74374226329936,303.67427338242845,729.7965381776484,1362.3456715832606,0,52.25364078055816,683.4885289486458,1.716671249596402e-11,1.5203841030597687e-07,4.0745362639427185e-09
Half-sized time step,1,0.0634460843033875,0.20323662990412017,22.375,2026-09-17T01:20:03+00:00,1258,140,35,153.35497009906163,292.32721291998683,836.8316174149255,1050.5229356633513,0,45.719456600677006,648.1710949276724,8.185452315956354e-12,1.1257361620664597e-07,3.958120942115784e-09
No speculative game prefunding,0,-0.07779493164590012,0.013687545768741316,0.5,2026-09-16T03:27:33+00:00,1269,146,30,160.87116724027112,0.0,737.3623103798768,938.4598808059629,0,47.419055864479255,610.4302710819387,1.745092959026806e-11,1.802109181880951e-07,8.847564458847046e-09
No speculative game prefunding,1,-0.27070838340448866,0.025299833469375255,21.5,2026-09-17T00:27:33+00:00,1154,46,45,46.67992219990703,0.0,966.9840832527188,1418.372463205876,0,52.196073730319966,786.7830019437629,1.0743406164692715e-11,1.9976869225502014e-07,3.14321368932724e-09
Seven-day branch valuation,0,-0.14687931197074888,0.0883053386957291,22.0,2026-09-17T00:57:33+00:00,1186,61,28,9.261059852347845,64.13559278508916,915.0443467317549,1154.5251992502874,0,46.01035664452628,744.8663083344534,1.4210854715202004e-11,1.77271431311965e-07,2.9103830456733704e-09
Seven-day branch valuation,1,0.033245685078189036,0.033245685078189036,24.0,2026-09-17T02:57:33+00:00,1261,146,38,14.459778180759717,80.90786139127124,1016.1521250034415,936.7195291466866,0,50.90167802179332,774.9403115765932,2.5124791136477143e-11,1.2421514838933945e-07,4.307366907596588e-09
