hours,elapsed_days,timestamp_utc,price_ETH,price_return,wallet_tokens,wallet_cash_ETH,branches,bank_pending,vault_ETH,hook_ETH,epoch_flow_ETH,branch_withdraw_sell_ETH,sell_pool_ETH,branch_withdraw_sell_ETH_tokens,branches_retired,external_capital_ETH,spec_sell_ETH,spec_sell_ETH_tokens,new_seller_activations,owner_spec_sell_ETH,owner_spec_sell_ETH_tokens,spec_buy_ETH,buy_pool_ETH,owner_spec_buy_ETH,licenses,license_internal_tokens,license_wallet_tokens,license_fresh_tokens,license_fresh_buy_ETH,game_prefund_ETH
0.0,0.0,2026-09-16T02:57:33+00:00,9.509060999603663e-05,0.0,62715168.74666107,6838.7985800381175,1153,1413081.8011091093,111.7189937774005,2359.222523915383,2166.6432875407877,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.25,0.010416666666666666,2026-09-16T03:12:33+00:00,9.157173947567458e-05,-0.037005446915407525,62583673.95279272,6908.6356042361995,1105,726947.875760314,111.7189937774005,2361.268502327978,2098.4440071209947,54.551533013295966,68.19928041979301,606740.667152038,48.0,3.68372219088351,11.601768993903246,131494.79386834608,35.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.5,0.020833333333333332,2026-09-16T03:27:33+00:00,9.030081555275444e-05,-0.05037084569635042,62306503.57042404,6938.307121191867,1105,734239.5424269809,111.7189937774005,2362.0170678817713,2073.4918219945293,0.0,24.952185126465338,0.0,0.0,5.467897382995203,11.880325309382116,136248.05753836018,34.0,12.323294263289263,140922.32483031755,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.75,0.03125,2026-09-16T03:42:33+00:00,8.680003927779778e-05,-0.08718600836175516,61511911.23073998,7010.19176730566,1105,741531.2090936475,111.7189937774005,2364.1063994546284,2003.8474362326629,0.0,69.64438576186649,0.0,0.0,4.329591924782505,62.88295741053972,740263.0445540317,47.0,4.672096778470777,54329.29513002701,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,0.041666666666666664,2026-09-16T03:57:33+00:00,8.60401313717983e-05,-0.09517741683027969,61333103.660482064,7037.113673770833,1105,748822.875760314,111.7189937774005,2364.5653362137136,1988.5495442632046,0.0,15.297891969458306,0.0,0.0,12.082951254798612,14.444520525082556,174053.12929657914,39.0,0.39443468529200343,4754.4409613375165,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.25,0.052083333333333336,2026-09-16T04:12:33+00:00,8.482645048629533e-05,-0.10794083148871503,61178108.895781755,7064.82317637388,792,524689.789928812,111.7189937774005,2365.3025471116957,1963.9758476638015,11.162938892824847,24.573696599403092,135554.0563973505,313.0,3.873016901627132,11.752528418484934,143747.9880765774,33.0,0.9210183901112259,11246.776623732481,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.5,0.0625,2026-09-16T04:27:33+00:00,8.004435647049099e-05,-0.1582306972914862,59970736.360698625,7163.063236688378,792,531981.4565954786,111.7189937774005,2368.2573590897287,1865.4821150627038,0.0,98.49373260109769,0.0,0.0,2.7011396914327834,87.16747253451409,1103668.3083911375,40.0,8.371448088550661,103704.22669199432,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.75,0.07291666666666667,2026-09-16T04:42:33+00:00,7.915759842553031e-05,-0.1675560980329226,59734954.82988767,7204.293316488429,792,539273.1232621453,111.7189937774005,2368.8147733074925,1846.901641137281,0.0,18.580473925422666,0.0,0.0,23.2070200923906,16.933758310146956,221595.06848557034,40.0,1.089301397513027,14186.462325383582,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,0.08333333333333333,2026-09-16T04:57:33+00:00,7.855861017356223e-05,-0.17385522948231646,59573458.63558932,7234.943835198002,792,546564.7899288121,111.7189937774005,2369.1930085065414,1834.2938011690173,0.0,12.607839968263761,0.0,0.0,18.42091394035684,8.846149547338683,116789.06673385206,42.0,3.3834552218771634,44707.127564498114,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.25,0.09375,2026-09-16T05:12:33+00:00,7.806910576636141e-05,-0.17900299756605498,59445524.806789555,7253.4033188202,778,542162.6631096636,111.7189937774005,2369.5031814047593,1823.9547045617473,0.40895719908933875,10.339096607269994,5421.661535534844,14.0,8.430559913147636,9.392039785225787,124898.96655937418,31.0,0.22792672473676703,3034.8622403955283,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
