hours,elapsed_days,timestamp_utc,buyback_spent_ETH,spot_return,one_ETH_entry_net_return
1,0.041666666666666664,2026-09-16T03:57:33+00:00,6.2107745602506546,0.003835176069651336,-0.06523845863302546
6,0.25,2026-09-16T08:57:33+00:00,37.418666259036655,0.02051795748979046,-0.0497056862429599
12,0.5,2026-09-16T14:57:33+00:00,71.20810767520368,0.03871722643961939,-0.032760745828577464
24,1.0,2026-09-17T02:57:33+00:00,100.27752299312246,0.054501800288948576,-0.018064348215602877
