charter_id,owner,ledger_used,wallet_used,new_tokens_needed
92,0xb993494cf9f7d5a941349f1c7df2f3aa2fc877bd,17488.076761708646,0.0,0.0
95,0x338188207e6256f0179b110d7f7bbce5a838f8ad,17488.076761708646,0.0,0.0
277,0xc091c59489accde50de0ccdf1eddf6c5e5257678,17488.076761708646,0.0,0.0
456,0xa4a5cc8c29353f333d031f7df7a717ef86caa7de,17488.076761708646,0.0,0.0
456,0xa4a5cc8c29353f333d031f7df7a717ef86caa7de,17488.076761708646,0.0,0.0
456,0xa4a5cc8c29353f333d031f7df7a717ef86caa7de,17488.076761708646,0.0,0.0
549,0xd4bb7351a9b0d1b236e7523da7a972db4a100f08,17488.076761708646,0.0,0.0
589,0xcfb7698154899ae6c5913989f4833d4912b45fb6,17488.076761708646,0.0,0.0
589,0xcfb7698154899ae6c5913989f4833d4912b45fb6,17488.076761708646,0.0,0.0
589,0xcfb7698154899ae6c5913989f4833d4912b45fb6,17488.076761708646,0.0,0.0
664,0x26d7b4fe67f4601643304b5023b3caf3a72e8504,17488.076761708646,0.0,0.0
664,0x26d7b4fe67f4601643304b5023b3caf3a72e8504,17488.076761708646,0.0,0.0
664,0x26d7b4fe67f4601643304b5023b3caf3a72e8504,17488.076761708646,0.0,0.0
698,0x2f85fb2a2d54f30ac38148166b75ce22c3c15b43,17488.076761708646,0.0,0.0
725,0x338188207e6256f0179b110d7f7bbce5a838f8ad,17488.076761708646,0.0,0.0
807,0xedb5f6d408dcdf6a981cbb1f3e401343a312c9d9,17488.076761708646,0.0,0.0
841,0xeb456428815f395e6f02d4982f5521116c89c620,17488.076761708646,0.0,0.0
841,0xeb456428815f395e6f02d4982f5521116c89c620,17488.076761708646,0.0,0.0
935,0x6fa8ac42a7022eb358dac2c5526f966bfc18ed11,17488.076761708646,0.0,0.0
950,0xa3b3f26de89fe2670aca5c5a4477f9d37b5cc806,17488.076761708646,0.0,0.0
1000,0xedb5f6d408dcdf6a981cbb1f3e401343a312c9d9,17488.076761708646,0.0,0.0
841,0xeb456428815f395e6f02d4982f5521116c89c620,14400.234894408924,3087.8418672997213,0.0
634,0xe8e4eb3fe4a93b45ddc4589abdd8f8e006d0533d,13257.074072262323,4231.002689446323,0.0
9,0x1d7b4a9960f908ecc71405f74715fd7f05bf5581,12583.837958418892,4904.238803289754,0.0
786,0x735362a17532f349f2500425bad3cd891c3935d3,12578.997958418891,4909.078803289754,0.0
814,0x804958591b1ebec23cfa7c81a99a3f1ef5979ff8,12575.547958418892,4912.528803289753,0.0
698,0x2f85fb2a2d54f30ac38148166b75ce22c3c15b43,6698.571196710247,10789.505564998399,0.0
654,0x5140087842da3cbc55ff69ba74b4239af219c4b6,3255.5611242790897,14232.515637429557,0.0
821,0xc02ad38d5df2724bf1cc7983244301e2185f9462,2743.028931603579,14745.047830105066,0.0
736,0xa61c3eeb92452964d5f690fe1ded2da252c358e4,2740.603660432565,14747.47310127608,0.0
700,0xf955dab8bdb1158dc0df449997a057ab9eb4f774,2740.436352485517,14747.640409223128,0.0
979,0xfefbc45f6bd1b8baeb2549267f5e906f8a3b42f1,2062.0810611566617,15425.995700551985,0.0
716,0x2a194d883362c456c47502febf07b84803041024,2055.883402441593,15432.193359267054,0.0
73,0x775d1bd04e076e5812adab5a8ba2c4de71a8e50d,1378.397847450545,16109.6789142581,0.0
703,0x3d2fa04af6099a759fc3477fe601a9c7aadf0229,1378.1797900526872,16109.896971655959,0.0
508,0x78b1094269465e61b08fe6040db5cb754e85a159,1376.38915764136,16111.687604067285,0.0
191,0xf3753b1d10d40d8bb1e75b26c69fd6e844aa988f,1374.9419375231982,16113.134824185447,0.0
78,0x76ced6b6cbed55433716cf690a8223da1be8aa8c,786.6479584188932,16701.428803289753,0.0
160,0xcab21d30dbbe7ef86618e1aea139f6c8a9b44c98,733.5100261460732,16754.566735562574,0.0
4,0x6f32e655f12ea79e20d54d0f8f010820b61c9f15,686.6479584188932,16801.428803289753,0.0
19,0x8738117428f539ce10eaa583354bb3a0158b628a,686.6479584188932,16801.428803289753,0.0
24,0x0d6f280cae54c533e0627c6e6a1627378868cb79,686.6479584188932,16801.428803289753,0.0
27,0xd8b7350c83d334340d1cb8b03e6ad667ec2504ad,686.6479584188932,16801.428803289753,0.0
52,0x751b3eef33e7f4e4e6c6937a7ea2a02b3d04fb34,686.6479584188932,16801.428803289753,0.0
60,0x00b1c364d7f1a23f4b54d48c25e2bddf23d4e27b,686.6479584188932,16801.428803289753,0.0
70,0xca5df910f3e2226324707efe7fa6d03a0f821353,686.6479584188932,16801.428803289753,0.0
