fraction_recent_seller_stock_sold,target_spot_return,seller_net_ETH,required_gross_buyer_ETH
0.0,0.0,0.0,0.0
0.0,0.1,0.0,183.97585247129547
0.0,0.25,0.0,426.8841736301722
0.0,0.5,0.0,775.2917040753061
0.0,1.0,0.0,1390.658351912053
0.25,0.0,54.42370795468319,57.83025707812736
0.25,0.1,54.42370795468319,241.8061095494228
0.25,0.25,54.42370795468319,484.7144307082996
0.25,0.5,54.42370795468319,833.1219611534335
0.25,1.0,54.42370795468319,1448.4886089901802
0.5,0.0,107.20019347008245,113.91018694209342
0.5,0.1,107.20019347008245,297.8860394133889
0.5,0.25,107.20019347008245,540.7943605722656
0.5,0.5,107.20019347008245,889.2018910173996
0.5,1.0,107.20019347008245,1504.5685388541463
1.0,0.0,208.1011414259758,221.12683900436707
1.0,0.1,208.1011414259758,405.10269147566254
1.0,0.25,208.1011414259758,648.0110126345393
1.0,0.5,208.1011414259758,996.4185430796732
1.0,1.0,208.1011414259758,1611.7851909164199
