hour,event,charter_id,count,gross_tokens,resolution_fee,elapsed_days,timestamp_utc
0.0,retire,747,1,12573.137958418894,0.0203522832514547,0.0,2026-09-16T02:57:33+00:00
0.0,retire,444,1,11686.647958418896,0.0207656010155286,0.0,2026-09-16T02:57:33+00:00
0.0,retire,297,1,13786.647958418893,0.0214568797668629,0.0,2026-09-16T02:57:33+00:00
0.0,retire,589,1,78760.6479584189,0.0296337006289319,0.0,2026-09-16T02:57:33+00:00
0.0,retire,786,1,12578.997958418891,0.0316060321984541,0.0,2026-09-16T02:57:33+00:00
0.0,retire,814,1,12575.547958418892,0.0337612954983048,0.0,2026-09-16T02:57:33+00:00
0.0,retire,277,2,15891.311004714858,0.0367472095535584,0.0,2026-09-16T02:57:33+00:00
0.0,retire,92,1,24866.647958418896,0.0420073916946226,0.0,2026-09-16T02:57:33+00:00
1.0,retire,456,1,54017.01329641425,0.0559053295202149,0.041666666666666664,2026-09-16T03:57:33+00:00
1.0,retire,664,1,71520.52329641425,0.0795142491638511,0.041666666666666664,2026-09-16T03:57:33+00:00
1.0,retire,277,1,7971.150840352766,0.082513036760788,0.041666666666666664,2026-09-16T03:57:33+00:00
2.0,retire,1000,1,21987.70566860237,0.0911669851459668,0.08333333333333333,2026-09-16T04:57:33+00:00
2.0,retire,935,1,24137.70566860237,0.1013128829192196,0.08333333333333333,2026-09-16T04:57:33+00:00
2.0,retire,77,1,6830.325668602369,0.1043065834674893,0.08333333333333333,2026-09-16T04:57:33+00:00
2.0,retire,549,1,12265.386312739518,0.1098182917205431,0.08333333333333333,2026-09-16T04:57:33+00:00
2.0,retire,725,1,24261.40566860237,0.1212346535068183,0.08333333333333333,2026-09-16T04:57:33+00:00
2.0,retire,733,1,12237.705668602372,0.1272522511990021,0.08333333333333333,2026-09-16T04:57:33+00:00
2.0,retire,698,1,24237.70566860237,0.1396833270976651,0.08333333333333333,2026-09-16T04:57:33+00:00
2.0,retire,95,1,23737.70566860237,0.1525184813342887,0.08333333333333333,2026-09-16T04:57:33+00:00
2.0,retire,133,1,6679.517909416752,0.15624798639822,0.08333333333333333,2026-09-16T04:57:33+00:00
2.0,retire,841,1,24739.251919096587,0.1705119543580527,0.08333333333333333,2026-09-16T04:57:33+00:00
2.0,retire,510,1,12633.97566860237,0.1780702150837663,0.08333333333333333,2026-09-16T04:57:33+00:00
2.0,retire,807,1,21987.70566860237,0.1916658592917298,0.08333333333333333,2026-09-16T04:57:33+00:00
3.0,retire,133,1,6705.3519808664105,0.195923565651552,0.125,2026-09-16T05:57:33+00:00
3.0,retire,841,1,24765.08599054625,0.2121007190886959,0.125,2026-09-16T05:57:33+00:00
4.0,retire,549,1,12317.10030137344,0.2204114591606354,0.16666666666666666,2026-09-16T06:57:33+00:00
5.0,retire,9,1,12712.51255836122,0.2291735462579622,0.20833333333333334,2026-09-16T07:57:33+00:00
