hour,event,charter_id,count,gross_tokens,resolution_fee,price_tokens,internal_tokens,wallet_tokens,fresh_tokens,elapsed_days,timestamp_utc
20.0,license,25,,,,26679.812401582407,1258.85877945198,25420.953622130426,0.0,0.8333333333333334,2026-09-17T01:40:47+00:00
20.0,license,917,,,,26679.812401582407,1258.85877945198,25420.953622130426,0.0,0.8333333333333334,2026-09-17T01:40:47+00:00
20.0,license,948,,,,26679.812401582407,1258.85877945198,25420.953622130426,0.0,0.8333333333333334,2026-09-17T01:40:47+00:00
20.0,license,60,,,,26679.812401582407,1258.85877945198,25420.953622130426,0.0,0.8333333333333334,2026-09-17T01:40:47+00:00
20.0,license,66,,,,26679.812401582407,1258.85877945198,25420.953622130426,0.0,0.8333333333333334,2026-09-17T01:40:47+00:00
20.0,license,846,,,,26679.812401582407,1258.85877945198,25420.953622130426,0.0,0.8333333333333334,2026-09-17T01:40:47+00:00
20.0,license,921,,,,26679.812401582407,1258.85877945198,25420.953622130426,0.0,0.8333333333333334,2026-09-17T01:40:47+00:00
20.0,license,789,,,,26679.812401582407,1258.85877945198,25420.953622130426,0.0,0.8333333333333334,2026-09-17T01:40:47+00:00
20.0,license,820,,,,26679.812401582407,1258.85877945198,25420.953622130426,0.0,0.8333333333333334,2026-09-17T01:40:47+00:00
20.0,license,795,,,,26679.812401582407,1258.85877945198,25420.953622130426,0.0,0.8333333333333334,2026-09-17T01:40:47+00:00
20.0,license,595,,,,26679.812401582407,1258.85877945198,25420.953622130426,0.0,0.8333333333333334,2026-09-17T01:40:47+00:00
20.0,license,179,,,,26679.812401582407,1258.85877945198,25420.953622130426,0.0,0.8333333333333334,2026-09-17T01:40:47+00:00
20.0,license,630,,,,26679.812401582407,1258.85877945198,25420.953622130426,0.0,0.8333333333333334,2026-09-17T01:40:47+00:00
20.0,license,683,,,,26679.812401582407,1258.85877945198,25420.953622130426,0.0,0.8333333333333334,2026-09-17T01:40:47+00:00
20.0,license,862,,,,26679.812401582407,1258.85877945198,25420.953622130426,0.0,0.8333333333333334,2026-09-17T01:40:47+00:00
20.0,license,332,,,,26679.812401582407,1258.85877945198,25420.953622130426,0.0,0.8333333333333334,2026-09-17T01:40:47+00:00
20.0,license,225,,,,26679.812401582407,1258.85877945198,25420.953622130426,0.0,0.8333333333333334,2026-09-17T01:40:47+00:00
20.0,license,475,,,,26679.812401582407,1258.85877945198,25420.953622130426,0.0,0.8333333333333334,2026-09-17T01:40:47+00:00
20.0,license,373,,,,26679.812401582407,1258.85877945198,25420.953622130426,0.0,0.8333333333333334,2026-09-17T01:40:47+00:00
20.0,license,379,,,,26679.812401582407,1258.85877945198,25420.953622130426,0.0,0.8333333333333334,2026-09-17T01:40:47+00:00
20.0,license,275,,,,26679.812401582407,1258.85877945198,25420.953622130426,0.0,0.8333333333333334,2026-09-17T01:40:47+00:00
20.0,license,565,,,,26679.812401582407,1258.85877945198,25420.953622130426,0.0,0.8333333333333334,2026-09-17T01:40:47+00:00
20.0,license,207,,,,26679.812401582407,1258.85877945198,25420.953622130426,0.0,0.8333333333333334,2026-09-17T01:40:47+00:00
20.0,license,4,,,,26679.812401582407,1258.85877945198,25420.953622130426,0.0,0.8333333333333334,2026-09-17T01:40:47+00:00
20.0,license,963,,,,26679.812401582407,1308.8587794519808,25370.953622130426,0.0,0.8333333333333334,2026-09-17T01:40:47+00:00
20.0,license,150,,,,26679.812401582407,1663.3256080243966,25016.48679355801,0.0,0.8333333333333334,2026-09-17T01:40:47+00:00
20.0,license,812,,,,26679.812401582407,1283.8587794519804,10634.18556517038,14761.768056958914,0.8333333333333334,2026-09-17T01:40:47+00:00
20.0,license,659,,,,26679.812401582407,1358.8587794519817,25320.953622130426,0.0,0.8333333333333334,2026-09-17T01:40:47+00:00
20.0,license,114,,,,26679.812401582407,1258.85877945198,0.0,25420.95362213999,0.8333333333333334,2026-09-17T01:40:47+00:00
20.0,license,607,,,,26679.812401582407,2518.6775378335037,24161.134863748903,0.0,0.8333333333333334,2026-09-17T01:40:47+00:00
20.0,license,823,,,,26679.812401582407,2519.8517668287286,24159.96063475368,0.0,0.8333333333333334,2026-09-17T01:40:47+00:00
20.0,license,644,,,,26679.812401582407,1256.0846083575984,25423.727793224807,0.0,0.8333333333333334,2026-09-17T01:40:47+00:00
20.0,license,51,,,,26679.812401582407,3774.2244839324776,22905.58791764993,0.0,0.8333333333333334,2026-09-17T01:40:47+00:00
20.0,license,621,,,,26679.812401582407,3728.459776391009,22951.352625191397,0.0,0.8333333333333334,2026-09-17T01:40:47+00:00
20.0,license,171,,,,26679.812401582407,2521.3887241185303,24158.423677463878,0.0,0.8333333333333334,2026-09-17T01:40:47+00:00
20.0,license,900,,,,26679.812401582407,1258.85877945198,25420.953622130426,0.0,0.8333333333333334,2026-09-17T01:40:47+00:00
20.0,license,870,,,,26679.812401582407,1258.85877945198,25420.953622130426,0.0,0.8333333333333334,2026-09-17T01:40:47+00:00
20.0,license,146,,,,26679.812401582407,1258.85877945198,25420.953622130426,0.0,0.8333333333333334,2026-09-17T01:40:47+00:00
20.0,license,778,,,,26679.812401582407,1258.85877945198,25420.953622130426,0.0,0.8333333333333334,2026-09-17T01:40:47+00:00
20.0,license,60,,,,26679.812401582407,0.0,26679.812401582407,0.0,0.8333333333333334,2026-09-17T01:40:47+00:00
20.0,license,207,,,,26679.812401582407,0.0,26679.812401582407,0.0,0.8333333333333334,2026-09-17T01:40:47+00:00
20.0,license,379,,,,26679.812401582407,0.0,26679.812401582407,0.0,0.8333333333333334,2026-09-17T01:40:47+00:00
20.0,license,332,,,,26679.812401582407,0.0,26679.812401582407,0.0,0.8333333333333334,2026-09-17T01:40:47+00:00
20.0,license,621,,,,26679.812401582407,0.0,26679.812401582407,0.0,0.8333333333333334,2026-09-17T01:40:47+00:00
20.0,license,66,,,,26679.812401582407,0.0,2876.1607021487034,23803.65169943124,0.8333333333333334,2026-09-17T01:40:47+00:00
20.0,license,789,,,,26679.812401582407,0.0,2876.1607021487034,23803.65169943124,0.8333333333333334,2026-09-17T01:40:47+00:00
20.0,license,275,,,,26679.812401582407,0.0,2876.1607021487034,23803.65169942379,0.8333333333333334,2026-09-17T01:40:47+00:00
20.0,license,373,,,,26679.812401582407,0.0,2876.160702141253,23803.65169943124,0.8333333333333334,2026-09-17T01:40:47+00:00
20.0,license,917,,,,26679.812401582407,0.0,2876.160702141253,23803.65169943869,0.8333333333333334,2026-09-17T01:40:47+00:00
20.0,license,630,,,,26679.812401582407,0.0,2876.160702144978,23803.65169943869,0.8333333333333334,2026-09-17T01:40:47+00:00
20.0,license,595,,,,26679.812401582407,0.0,2876.160702144978,23803.65169943869,0.8333333333333334,2026-09-17T01:40:47+00:00
20.0,license,565,,,,26679.812401582407,0.0,2876.160702144978,23803.65169943124,0.8333333333333334,2026-09-17T01:40:47+00:00
20.0,license,225,,,,26679.812401582407,0.0,2876.160702144978,23803.65169943124,0.8333333333333334,2026-09-17T01:40:47+00:00
20.0,license,823,,,,26679.812401582407,0.0,2879.390817914147,23800.421583667397,0.8333333333333334,2026-09-17T01:40:47+00:00
20.0,license,51,,,,26679.812401582407,0.0,2931.835821768458,23747.97657981515,0.8333333333333334,2026-09-17T01:40:47+00:00
20.0,license,150,,,,26679.812401582407,0.0,2894.924655727995,23784.88774586469,0.8333333333333334,2026-09-17T01:40:47+00:00
