hours,elapsed_days,timestamp_utc,price_ETH,price_return,wallet_tokens,wallet_cash_ETH,branches,bank_pending,vault_ETH,hook_ETH,epoch_flow_ETH,branch_withdraw_sell_ETH,sell_pool_ETH,branch_withdraw_sell_ETH_tokens,branches_retired,game_prefund_ETH,buy_pool_ETH,external_capital_ETH,spec_sell_ETH,spec_sell_ETH_tokens,new_seller_activations,owner_spec_buy_ETH,owner_spec_sell_ETH,owner_spec_sell_ETH_tokens,spec_buy_ETH,licenses,license_internal_tokens,license_wallet_tokens,license_fresh_tokens,license_fresh_buy_ETH
0.0,0.0,2026-09-16T05:40:47+00:00,0.00010378905557457029,0.0,63642272.93315973,6801.443217341569,1199,1437620.306819074,111.7189937774005,2375.874075210391,2333.914639635399,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.25,0.010416666666666666,2026-09-16T05:55:47+00:00,0.0001091916579595543,0.05205368095003382,64658838.56546751,6700.600432933481,1194,1355881.7998504327,111.7189937774005,2378.766289519139,2434.2136232135595,8.650751811534088,16.769035445550344,86996.25436793744,5.0,118.83437437344963,117.06801902371053,2.348413478820339,6.870233412411439,65401.10167657695,13.0,0.6136661879411449,0.7449791582383067,7088.056368293715,0.0091217077016051,0.0,0.0,0.0,0.0,0.0
0.5,0.020833333333333332,2026-09-16T06:10:47+00:00,0.00010910918434920627,0.05125905371413242,64644950.49138933,6710.082351850382,1194,1363173.4665170992,111.7189937774005,2378.839861296636,2432.7243013932016,0.0,2.0624853917838664,0.0,0.0,0.0,0.5731635714260975,8.066168874041221,1.3321269808578338,12709.610005940258,7.0,0.12035,0.6684838491725168,6379.250731464344,0.4645107871694873,0.0,0.0,0.0,0.0,0.0
0.75,0.03125,2026-09-16T06:25:47+00:00,0.00010827907624220233,0.04326102249197228,64504640.56961727,6728.812864805912,1194,1370465.133183766,111.7189937774005,2379.387243565176,2417.6637642317,0.0,16.956383935205395,0.0,0.0,0.0,1.8958467737037243,4.21735806256814,10.544182234535338,100893.15604315336,12.0,0.0,5.903510182613895,56667.65097935283,1.9345375241874738,0.0,0.0,0.0,0.0,0.0
1.0,0.041666666666666664,2026-09-16T06:40:47+00:00,0.00010828498647088731,0.04331796711539382,64505408.32391926,6736.942695917353,1194,1377756.7998504327,111.7189937774005,2379.5118159289495,2417.7968362934457,0.0,2.4173982846668878,0.0,0.0,0.0,2.5504703464122884,8.387475536959096,2.3380259750846606,22498.678231139816,6.0,0.0,0.006850361042220357,65.8808319582139,2.6025207616451924,0.0,0.0,0.0,0.0,0.0
1.25,0.052083333333333336,2026-09-16T06:55:47+00:00,0.0001082901563678905,0.0433677786969191,64512452.74024491,6747.0155500351875,1193,1378328.4078551978,111.7189937774005,2379.7115941455218,2417.931359779511,0.679983830195365,3.908748634008589,6540.34498724156,1.0,0.0,4.043272120073757,10.4071558204727,2.7132925599155167,26109.957764490657,10.0,0.0,0.39820978487744924,3832.2809029101536,4.125787877626283,0.0,0.0,0.0,0.0,0.0
1.5,0.0625,2026-09-16T07:10:47+00:00,0.0001076343452468018,0.03704908625427028,64400613.91259881,6762.863405127502,1193,1385620.0745218643,111.7189937774005,2380.070201326824,2405.977787069413,0.0,11.953572710097887,0.0,0.0,0.0,0.0,4.252889563518769,8.421324017474324,81187.90716215364,9.0,0.0,3.173641511320625,30650.92048394764,0.0,0.0,0.0,0.0,0.0,0.0
1.75,0.07291666666666667,2026-09-16T07:25:47+00:00,0.0001071627172765192,0.032504985070656245,64319424.4859797,6815.494812128941,1193,1392911.741188531,111.7189937774005,2380.406207547729,2397.376189643327,0.0,10.148138562889926,0.0,0.0,0.0,1.5465411368042359,44.36581579625666,9.837251904365473,95417.49038605196,8.0,0.258103200820649,0.006442501637757231,62.58679036030321,1.3199999999999998,0.0,0.0,0.0,0.0,0.0
2.0,0.08333333333333333,2026-09-16T07:40:47+00:00,0.00010681745917840006,0.02917844841216355,64259673.78592251,6827.865686993973,1193,1400203.4078551973,111.7189937774005,2380.6514499244586,2391.0694966031206,0.0,7.418449190256524,0.0,0.0,0.0,1.1117561500505189,6.309424201555574,3.8156900131338167,37136.28581064151,10.0,0.0,3.3802057014150115,32883.13972843041,1.1344450510719581,0.0,0.0,0.0,0.0,0.0
2.25,0.09375,2026-09-16T07:55:47+00:00,0.00010644558861641376,0.025595502600318065,64201496.13627267,6876.400478517644,1192,1400750.5676900826,111.7189937774005,2380.9450617425896,2384.271064465991,0.672607365188428,8.57708956498982,6558.271995419493,1.0,0.0,1.7786574278601586,42.02997120467209,7.040553896519018,68780.15984827529,8.0,0.2990135925,0.6066156163326787,5932.939703463418,1.5159429665409783,0.0,0.0,0.0,0.0,0.0
2.5,0.10416666666666667,2026-09-16T08:10:47+00:00,0.00010634264691460662,0.02460366679222381,64183106.203853995,6884.4436167333115,1192,1408042.2343567493,111.7189937774005,2381.244741929435,2382.4305836902718,0.0,6.6902064498517575,0.0,0.0,0.0,4.849725674132505,6.502337626793197,5.553183603286349,54360.89011724625,9.0,0.21941054691246187,0.9363166530698572,9178.695871920649,4.729289120569685,0.0,0.0,0.0,0.0,0.0
2.75,0.11458333333333333,2026-09-16T08:25:47+00:00,0.00010650826363532636,0.02619937184804977,64210947.81268714,6882.589778537367,1192,1415333.9010234158,111.7189937774005,2381.685272756915,2385.575307978194,0.0,7.466107796993128,0.0,0.0,0.0,10.610832084915431,1.7314169194577944,6.593653491570034,64650.84084503853,7.0,0.34851359249999986,0.6484710715132996,6348.14247541709,10.478866085985134,0.0,0.0,0.0,0.0,0.0
3.0,0.125,2026-09-16T08:40:47+00:00,0.00010634682669146678,0.02464393863820047,64182797.63759134,6888.06040576049,1192,1422625.5676900826,111.7189937774005,2381.7948396708625,2382.6175416763413,0.0,3.37107088474022,0.0,0.0,0.0,0.41330458288742056,2.6224278352169756,3.261558454950082,31915.13827882946,11.0,0.12035,0.008380303247931806,82.05920569397071,0.3013893702932863,0.0,0.0,0.0,0.0,0.0
3.25,0.13541666666666666,2026-09-16T08:55:47+00:00,0.00010617190341274127,0.02295856557302378,64152143.19427205,6902.774919677925,1192,1429917.2343567493,111.7189937774005,2381.9563326725242,2379.4186676728546,0.0,4.498798010087739,0.0,0.0,0.0,1.2999240066013562,11.677132915611411,4.3628568481098275,42760.62741762535,3.0,0.0,0.0009772216752799068,9.580702257275401,1.3264530679605677,0.0,0.0,0.0,0.0,0.0
3.5,0.14583333333333334,2026-09-16T09:10:47+00:00,0.00010649985749285863,0.026118379276904413,64208489.695342004,6906.335456085919,1192,1437208.9010234163,111.7189937774005,2382.2207263112537,2385.5270715894626,0.0,2.7720179680877663,0.0,0.0,0.0,8.880421884695558,9.933333963331261,2.621156024622537,25625.312654134617,9.0,0.0,0.06770140442259617,661.2551164264196,9.061654984383221,0.0,0.0,0.0,0.0,0.0
3.75,0.15625,2026-09-16T09:25:47+00:00,0.00010645164953108278,0.02565389907223392,64199784.52802543,6911.509449415453,1192,1444500.5676900828,111.7189937774005,2382.4160955030247,2384.676491016126,0.0,4.220109704507195,0.0,0.0,0.0,3.369529131171096,4.51878194797016,3.9262964926941364,38386.63002719408,5.0,3.3778200318072407,0.1672099206778421,1635.0282067418882,0.060475,0.0,0.0,0.0,0.0,0.0
4.0,0.16666666666666666,2026-09-16T09:40:47+00:00,0.00010649950978274535,0.026115029115258315,64207645.93937715,6913.929835556514,1192,1451792.2343567498,111.7189937774005,2382.6391393392732,2385.604158066964,0.0,4.049182560874669,0.0,0.0,0.0,4.9768496117122485,3.5710970281467658,3.927707084048429,38365.8360228026,6.0,0.0,0.0,0.0,5.0784179711349475,0.0,0.0,0.0,0.0,0.0
4.25,0.17708333333333334,2026-09-16T09:55:47+00:00,0.00010648749262359006,0.025999244661023102,64205477.95475179,6916.537762894516,1192,1459083.9010234163,111.7189937774005,2382.687033721485,2385.3919849631866,0.0,1.0360315110037845,0.0,0.0,0.0,0.8238584072268152,2.4436486164367395,0.5898092612887105,5766.847437665647,7.0,0.0,0.41514130438496066,4059.65370402406,0.8406718441089952,0.0,0.0,0.0,0.0,0.0
4.5,0.1875,2026-09-16T10:10:47+00:00,0.00010675354600666321,0.02856264965204347,64251113.989451826,6922.861705977747,1192,1466375.567690083,111.7189937774005,2382.84345262039,2390.3292879594464,0.0,1.1041388866751731,0.0,0.0,0.0,6.0414418829351755,11.417664978397001,1.0654751942683514,10407.875011129168,7.0,1.98,0.005539525806566417,54.139384498028754,4.184736615239975,0.0,0.0,0.0,0.0,0.0
4.75,0.19791666666666666,2026-09-16T10:25:47+00:00,0.00010692451238710527,0.03020989829011622,64280285.11153721,6928.881045367306,1192,1473667.2343567498,111.7189937774005,2382.9784929460134,2393.5056718931414,0.0,1.3929522355492736,0.0,0.0,0.0,4.569336169244129,9.330763648876525,0.5559681114194973,5424.835939868177,9.0,3.0788064393072405,0.795195557063298,7751.257125916891,1.5837814884928914,0.0,0.0,0.0,0.0,0.0
5.0,0.20833333333333334,2026-09-16T10:40:47+00:00,0.00010672733370159511,0.028310095999608764,64245834.75446446,6976.824174620779,1192,1480958.9010234163,111.7189937774005,2383.251357668814,2389.9276035113758,0.0,6.861716517806599,0.0,0.0,0.0,3.2836481360410956,44.637925594507756,6.150084519309589,59927.97686195969,7.0,3.0788064393072405,0.5057805029628116,4929.681866083527,0.271854924,0.0,0.0,0.0,0.0,0.0
5.25,0.21875,2026-09-16T10:55:47+00:00,0.00010714434251181266,0.03232794554943874,64316947.86916347,7018.746902578821,1192,1488250.567690083,111.7189937774005,2383.5498154688944,2397.665562948062,0.0,2.7880456547536596,0.0,0.0,0.0,10.52600509143967,49.95914519480824,2.3562333013046333,22951.75589864851,3.0,0.47763392880933697,0.3481709838064171,3394.2983482648406,10.263187593067878,0.0,0.0,0.0,0.0,0.0
5.5,0.22916666666666666,2026-09-16T11:10:47+00:00,0.00010600732079468664,0.02137282402114704,64118347.76190738,7052.312394896244,1192,1495542.2343567498,111.7189937774005,2384.7156344715595,2376.9268106524014,0.0,31.523839443831093,0.0,0.0,0.0,10.7850871481707,13.992559024427905,30.264529671498586,296333.6122102896,3.0,0.0,0.3135945890175708,3051.1758491821274,11.005190967521123,0.0,0.0,0.0,0.0,0.0
5.75,0.23958333333333334,2026-09-16T11:25:47+00:00,0.00010591901810531156,0.020522034032874892,64102689.55627614,7061.271944781527,1192,1502833.9010234168,111.7189937774005,2384.8603593294747,2375.3223282398803,0.0,3.5206479556168233,0.0,0.0,0.0,1.9161655430959774,7.499792330677004,3.2677553271300437,32101.703876106505,8.0,0.0494999999999999,0.14727318981827464,1446.6392658615123,1.9057709623428343,0.0,0.0,0.0,0.0,0.0
