hours,elapsed_days,timestamp_utc,price_ETH,price_return,wallet_tokens,wallet_cash_ETH,branches,bank_pending,vault_ETH,hook_ETH,epoch_flow_ETH,branch_withdraw_sell_ETH,sell_pool_ETH,branch_withdraw_sell_ETH_tokens,branches_retired,game_prefund_ETH,buy_pool_ETH,external_capital_ETH,spec_sell_ETH,spec_sell_ETH_tokens,new_seller_activations,spec_buy_ETH,buyback_ETH,owner_spec_sell_ETH,owner_spec_sell_ETH_tokens,owner_spec_buy_ETH,licenses,license_internal_tokens,license_wallet_tokens,license_fresh_tokens,license_fresh_buy_ETH
0.0,0.0,2026-09-16T05:40:47+00:00,0.00010378905557457029,0.0,63642272.93315973,6801.443217341569,1199,1437620.306819074,111.7189937774005,2375.874075210391,2333.914639635399,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.25,0.010416666666666666,2026-09-16T05:55:47+00:00,0.00010624169167967353,0.023630970447949373,64257868.68603879,6761.551655786767,1185,1188686.8968252495,105.16658612046939,2378.2521463527364,2379.9688454491,24.44154631340184,28.530882656370068,246841.4165695233,14.0,69.54333787172916,74.58508847007103,1.9883077443138686,3.233409863277125,31769.137469445257,8.0,0.0114876040652718,6.552407656931111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.5,0.020833333333333332,2026-09-16T06:10:47+00:00,0.00010655479957556048,0.02664774224680233,64311728.310091674,6759.211055930239,1185,1195978.5634919158,105.16658612046939,2378.4449395394413,2385.787132064796,0.0,1.4690605396226601,0.0,0.0,0.0,7.287347155318707,3.6704799458737507,1.4182640382176623,13890.979174102522,7.0,7.177965325014766,0.0,0.006724685216317993,65.8808319582139,0.258103200820649,0.0,0.0,0.0,0.0,0.0
0.75,0.03125,2026-09-16T06:25:47+00:00,0.00010623175168413083,0.0235351993140116,64255418.25774418,6770.138040435522,1185,1203270.2301585826,105.16658612046939,2378.638709190617,2379.8623645233774,0.0,6.242704635248629,0.0,0.0,0.0,0.317937093830271,5.195986615041672,2.7588329274411723,26982.060342707657,8.0,0.3244256059492562,0.0,3.296590568749998,32285.94869068953,0.0,0.0,0.0,0.0,0.0,0.0
1.0,0.041666666666666664,2026-09-16T06:40:47+00:00,0.00010530299181646999,0.014586665554654488,64091799.099135846,6789.929913881035,1185,1210561.8968252493,105.16658612046939,2379.349190777428,2362.808631461629,0.0,20.998919358471085,0.0,0.0,0.0,3.94518629672245,3.4486219705730194,4.3537759073377265,42926.955805977275,12.0,0.8265438634707696,0.0,16.015175870379224,157719.69845238604,3.1991564393072407,0.0,0.0,0.0,0.0,0.0
1.25,0.052083333333333336,2026-09-16T06:55:47+00:00,0.00010602021910082912,0.021497098262502012,64156067.595779106,6791.1633077885235,1185,1217853.5634919158,98.62101163643601,2380.006200228932,2376.2254843659125,0.0,7.601866485599658,0.0,0.0,13.12907263906417,21.018719389883877,8.76168177924405,6.648371400843144,65406.49874753231,13.0,1.7235257237227282,6.54557448403338,0.7254390901885245,7150.643158654018,0.0494999999999999,0.0,0.0,0.0,0.0,0.0
1.5,0.0625,2026-09-16T07:10:47+00:00,0.00010571129637362346,0.01852065025943017,64101844.58413586,6798.6368196909025,1185,1225145.2301585828,98.62101163643601,2380.1771686117854,2370.5427256319085,0.0,5.692392507619388,0.0,0.0,0.0,0.009633773615256642,1.9617215512275312,5.52154264811866,54312.44343372023,14.0,0.0098303812400578,0.0,7.808427214513358e-05,0.769014906066256,0.0,0.0,0.0,0.0,0.0,0.0
1.75,0.07291666666666667,2026-09-16T07:25:47+00:00,0.00010517994485093698,0.013401116993182027,64007991.257749714,6849.652899492072,1185,1232436.8968252493,98.62101163643601,2380.4872450906337,2360.751758696425,0.0,10.115268987451145,0.0,0.0,0.0,0.3243020519671947,41.535189344533464,8.104744687649555,80012.62121438755,13.0,0.330920461191015,0.0,1.7070662301780566,16891.190976618866,0.0,0.0,0.0,0.0,0.0,0.0
2.0,0.08333333333333333,2026-09-16T07:40:47+00:00,0.00010507648445382805,0.01240428359358936,63989596.616212025,6854.847383494113,1185,1239728.563491916,98.62101163643601,2380.564989906207,2358.8454154580854,0.0,2.3141049398450377,0.0,0.0,0.0,0.40776170150529734,3.3658855792743143,2.2446817916496866,22234.50428126212,11.0,0.41608336888295644,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.25,0.09375,2026-09-16T07:55:47+00:00,0.00010442542292905517,0.006131353165919062,63812388.30971165,6876.3902695316365,1185,1247020.2301585826,92.12485126715714,2381.249664340366,2346.866299475531,0.0,18.432454759647044,0.0,0.0,4.687150596644652e-13,6.45333877709239,3.752284119848325,17.879481116857633,178036.51917848774,12.0,0.08887919918228959,6.496160369278864,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.5,0.10416666666666667,2026-09-16T08:10:47+00:00,0.00010439606122185894,0.005848455253093077,63807002.19740093,6877.222890257197,1185,1254311.8968252493,92.12485126715714,2381.330362827085,2346.3351166893885,0.0,1.815954913083715,0.0,0.0,0.0,1.284772126941047,0.3821364261364121,1.1218073277522311,11183.56906138455,8.0,1.3109919662663747,0.0,0.6396689379389727,6379.250731464344,0.0,0.0,0.0,0.0,0.0,0.0
2.75,0.11458333333333333,2026-09-16T08:25:47+00:00,0.0001035912051022985,-0.0019062749070843932,63661778.70973823,6937.927766605555,1185,1261603.5634919158,92.12485126715714,2381.8213637169174,2331.4009023724157,0.0,15.786744096642906,0.0,0.0,0.0,0.8525297796700129,46.261662921215375,13.885245851051428,139001.00392175035,9.0,0.869928346602054,0.0,1.4278959226921915,14341.656449115464,0.0,0.0,0.0,0.0,0.0,0.0
3.0,0.125,2026-09-16T08:40:47+00:00,0.00010340250736431703,-0.00372436388512587,63627505.440803364,6950.562667529118,1185,1268895.2301585826,92.12485126715714,2381.926714788095,2327.889199999869,0.0,3.5117023725465515,0.0,0.0,0.0,0.0,9.228549622193215,2.7704979065536506,27876.174011855077,17.0,0.0,0.0,0.635853394816504,6397.094923020863,0.0,0.0,0.0,0.0,0.0,0.0
3.25,0.13541666666666666,2026-09-16T08:55:47+00:00,0.0001032845697554291,-0.004860684167019236,63596108.94833227,6963.118205947158,1179,1220643.5262093998,85.66428718705014,2382.3143331429746,2325.7569362764652,5.104952371790014,8.5528595596993,51481.086415813574,6.0,0.0,6.420595836295655,4.350328969408746,1.5065041604806084,15220.205783470745,8.0,0.09106432427630959,6.460564080107011,1.6848172406376989,17034.40033030993,0.0,0.0,0.0,0.0,0.0,0.0
3.5,0.14583333333333334,2026-09-16T09:10:47+00:00,0.00010243831313077372,-0.013014305181976438,63441275.73650569,6986.662446608904,1179,1227935.1928760665,85.66428718705014,2382.7873429487504,2309.9899427506607,0.0,15.766993525804537,0.0,0.0,0.0,0.0,8.25025694171506,10.931958933769508,110672.51876913631,16.0,0.0,0.0,4.3620247862608945,44160.69305745184,0.0,0.0,0.0,0.0,0.0,0.0
