hours,elapsed_days,timestamp_utc,price_ETH,price_return,wallet_tokens,wallet_cash_ETH,branches,bank_pending,vault_ETH,hook_ETH,epoch_flow_ETH,branch_withdraw_sell_ETH,sell_pool_ETH,branch_withdraw_sell_ETH_tokens,branches_retired,game_prefund_ETH,buy_pool_ETH,external_capital_ETH,spec_sell_ETH,spec_sell_ETH_tokens,new_seller_activations,spec_buy_ETH,owner_spec_sell_ETH,owner_spec_sell_ETH_tokens,owner_spec_buy_ETH
0.0,0.0,2026-09-16T05:40:47+00:00,0.00010378905557457029,0.0,63642272.93315973,6801.443217341569,1199,1437620.306819074,111.7189937774005,2375.874075210391,2333.914639635399,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.25,0.010416666666666666,2026-09-16T05:55:47+00:00,0.00010589578306761788,0.020298166135002127,64257868.68603879,6761.551655786767,1185,1188686.8968252495,111.7189937774005,2378.121098199598,2373.5474859453075,24.44154631340184,28.530882656370068,246841.4165695233,14.0,69.54333787172916,68.16372896627854,1.9883077443138686,3.233409863277125,31769.137469445257,8.0,0.0114876040652718,0.0,0.0,0.0
0.5,0.020833333333333332,2026-09-16T06:10:47+00:00,0.00010616449787581965,0.022887213763522984,64304313.71956417,6760.042186260853,1185,1195978.5634919158,111.7189937774005,2378.2970025632676,2378.551531053425,0.0,1.4636715432006895,0.0,0.0,0.0,6.467716651318707,3.6704799458737507,1.4130613788177333,13890.979174102522,7.0,6.341607667871909,0.006700018086935415,65.8808319582139,0.258103200820649
0.75,0.03125,2026-09-16T06:25:47+00:00,0.00010584328448097711,0.019792346071892952,64248014.533559084,6770.947008885981,1185,1203270.2301585826,111.7189937774005,2378.49008679547,2372.649610811137,0.0,6.219857336118366,0.0,0.0,0.0,0.317937093830271,5.195986615041672,2.7487314806404446,26982.060342707657,8.0,0.3244256059492562,3.2845301353943706,32285.94869068953,0.0
1.0,0.041666666666666664,2026-09-16T06:40:47+00:00,0.0001047590424286532,0.009345752774347238,64056062.841599226,6793.740998915837,1185,1210561.8968252493,111.7189937774005,2379.1366204023107,2352.657709145014,0.0,20.91985765232448,0.0,0.0,0.0,0.9279559862013542,3.4486219705730194,4.33668414829544,42926.955805977275,12.0,0.8265438634707696,15.955577774459307,157719.69845238604,0.12035
1.25,0.052083333333333336,2026-09-16T06:55:47+00:00,0.00010478437299600349,0.009589810948015476,64059809.184025444,6801.562104862876,1185,1217853.5634919158,111.7189937774005,2379.5277950279838,2353.207110351546,0.0,7.537714757673712,0.0,0.0,6.47913342342522,8.087115964204989,8.76168177924405,6.592260513900405,65406.49874753231,13.0,1.7235257237227282,0.7193228010430949,7150.643158654018,0.0494999999999999
1.5,0.0625,2026-09-16T07:10:47+00:00,0.00010448092194417147,0.006666082139114238,64005587.23472382,6808.9713016694495,1185,1225145.2301585828,111.7189937774005,2379.696774284163,2347.590655840022,0.0,5.6260882851393035,0.0,0.0,0.0,0.009633773615256642,1.9617215512275312,5.457228461248948,54312.44343372023,14.0,0.0098303812400578,7.717533617778826e-05,0.769014906066256,0.0
1.75,0.07291666666666667,2026-09-16T07:25:47+00:00,0.00010393224314703372,0.0013796018440552782,63906915.238555856,6860.357909185463,1185,1232436.8968252493,111.7189937774005,2380.018310383057,2337.417701569648,0.0,10.4972563223414,0.0,0.0,0.0,0.3243020519671947,41.535189344533464,8.495092969243968,84867.21539003603,14.0,0.330920461191015,1.6872456634271884,16891.190976618866,0.0
2.0,0.08333333333333333,2026-09-16T07:40:47+00:00,0.00010381269924173574,0.00022780501310615264,63885281.7782735,6865.853962311416,1185,1239728.563491916,111.7189937774005,2380.1048728004007,2335.2009716056273,0.0,2.614691665526607,0.0,0.0,0.0,0.3979617015052973,3.3658855792743143,2.536250915560809,25426.401245260433,12.0,0.40608336888295643,0.0,0.0,0.0
2.25,0.09375,2026-09-16T07:55:47+00:00,0.00010223853028486629,-0.01493919836846358,63621591.475306705,6896.432610367594,1182,1221486.031917646,111.7189937774005,2380.984569751113,2305.877739915194,2.372399918328674,29.323231690433204,23812.549239910484,3.0,0.0,0.0,2.135113316458402,4.69752217720379,47285.43651588576,14.0,0.0,21.373612644187745,216404.86645091843,0.0
2.5,0.10416666666666667,2026-09-16T08:10:47+00:00,0.0001017115077641442,-0.02001702201571165,63523941.06355937,6950.346037827963,1182,1228777.6985843126,111.7189937774005,2381.284657051584,2296.0211843141487,0.0,9.943657216243992,0.0,0.0,0.0,0.0871016151986438,44.356959159794776,6.0042903772258605,61259.9796918445,14.0,0.08887919918228959,3.6410571225308104,37237.73870971719,0.0
2.75,0.11458333333333333,2026-09-16T08:25:47+00:00,0.00010156424227021321,-0.02143591433644554,63496400.35392968,6957.421102410101,1182,1236069.365250979,111.7189937774005,2381.429032127611,2293.2744630631964,0.0,3.97615383654329,0.0,0.0,0.0,1.22943258559092,4.472718407212924,3.564289009744167,36518.113542431965,16.0,1.254523046521347,0.29258021170282517,2997.571317792408,0.0
3.0,0.125,2026-09-16T08:40:47+00:00,9.819571059495944e-05,-0.05389147197309396,62853111.6723032,7019.226756910781,1182,1243361.0319176458,111.7189937774005,2383.359391143397,2229.6832045668802,0.0,64.04002035215444,0.0,0.0,0.0,0.44876185583806494,0.14475502014895825,8.349869457800496,88363.8094804754,16.0,0.45792026105925,53.76895028378931,559449.7709185089,0.0
3.25,0.13541666666666666,2026-09-16T08:55:47+00:00,9.682871955151958e-05,-0.06706233123057803,62783934.84897421,7046.701658467815,1164,1019877.800509011,111.7189937774005,2384.1430992143587,2203.5758102440404,18.880455782970227,26.117040404838008,201270.46719730608,18.0,0.0,0.00964608199808701,2.1512153051549614,2.9482997964357898,31665.65054969899,11.0,0.0098429408143745,3.5047736132868517,37609.44404843587,0.0
3.5,0.14583333333333334,2026-09-16T09:10:47+00:00,9.560260304813446e-05,-0.07887587454299583,62536645.740525275,7071.780486058272,1164,1027169.4671756779,111.7189937774005,2384.849739497108,2180.021134152373,0.0,23.55467609166726,0.0,0.0,0.0,0.0,2.2307917815400247,19.551522228874575,211511.5981953705,22.0,0.0,3.29651358004267,35777.51025356419,0.0
3.75,0.15625,2026-09-16T09:25:47+00:00,9.543524885929545e-05,-0.08048831997775341,62502523.814730704,7079.7273161167905,1164,1034461.1338423442,111.7189937774005,2384.9465403641548,2176.7944385841547,0.0,3.2266955682184744,0.0,0.0,0.0,0.0,4.816935357346425,2.581140497721035,28137.094966992074,17.0,0.0,0.5487542034508851,5984.830827586481,0.0
4.0,0.16666666666666666,2026-09-16T09:40:47+00:00,9.532689281057582e-05,-0.08153232262446564,62480383.140551016,7087.462728960746,1164,1041752.8005090109,111.7189937774005,2385.009260850042,2174.7037557212834,0.0,2.09068286287129,0.0,0.0,0.0,0.0,5.70745046697087,1.9083237899750929,20834.092134928695,15.0,0.0,0.11963858701005847,1306.5820447494189,0.0
4.25,0.17708333333333334,2026-09-16T09:55:47+00:00,9.47209112617262e-05,-0.08737091076359993,62386490.00504966,7116.894656347091,1158,1011073.6420036625,111.7189937774005,2385.3606673515496,2162.9902056709993,2.8010258842936353,11.713550050284084,30622.152207783944,6.0,0.0,0.0,18.069783837568288,7.664837445381599,84078.79476700777,14.0,0.0,0.8962802191003265,9814.340734359126,0.0
4.5,0.1875,2026-09-16T10:10:47+00:00,9.413881707922642e-05,-0.09297934586571477,62265754.221212365,7131.837600684505,1158,1018365.3086703296,111.7189937774005,2385.6992773341476,2151.7032062510875,0.0,11.286999419911808,0.0,0.0,0.0,0.0,3.994554900100565,10.948382231865416,120735.70462198969,20.0,0.0,7.20544903742848e-06,0.07921530205149163,0.0
4.75,0.19791666666666666,2026-09-16T10:25:47+00:00,9.37463187684275e-05,-0.09676103853673945,62183709.70634651,7143.456806908369,1158,1025656.9753369961,111.7189937774005,2385.9281887652473,2144.072825214406,0.0,7.630381036681683,0.0,0.0,0.0,0.0,4.21773661828176,7.401385108768219,82043.57799847005,5.0,0.0,8.449681301499368e-05,0.9368673734226751,0.0
5.0,0.20833333333333334,2026-09-16T10:40:47+00:00,9.313604752100942e-05,-0.10264095760951308,62055110.659541145,7159.374114870998,1158,1032948.6420036627,111.7189937774005,2386.2850753119274,2132.1766069917176,0.0,11.896218222688276,0.0,0.0,0.0,0.0,4.377976286622535,7.6632898604338795,85451.700227801,13.0,0.0,3.876041815573749,43147.34657757804,0.0
5.25,0.21875,2026-09-16T10:55:47+00:00,9.300340981021947e-05,-0.10391891230382722,62032332.00703637,7168.867297709496,1157,1033496.6267103419,111.7189937774005,2386.362802935857,2129.5856861940897,0.4776304045874531,2.5909207976278594,5341.042445694514,1.0,0.0,0.0,6.979989664798169,1.5274975869260472,17093.451063902583,9.0,0.0,0.5080651821855235,5685.201440856193,0.0
5.5,0.22916666666666666,2026-09-16T11:10:47+00:00,9.281310682155028e-05,-0.10575246775546587,61991877.77939206,7185.939865244058,1157,1040788.2933770084,111.7189937774005,2386.4762998962988,2125.8654884049874,0.0,3.757712085320236,0.0,0.0,0.0,0.0375142962176812,13.46586670590193,3.2297464797075235,36203.75098518402,7.0,0.038279894099674694,0.41523424305310525,4650.473783237506,0.0
5.75,0.23958333333333334,2026-09-16T11:25:47+00:00,9.145286566487169e-05,-0.11885829234504697,61699082.77260208,7218.531503414234,1157,1048079.960043675,111.7189937774005,2387.2774675986852,2099.159898325472,0.0,26.705590079515332,0.0,0.0,0.0,0.0,6.6872157930456195,25.865285411304843,292350.12804501894,17.0,0.0,0.039136965825036896,444.8787449707721,0.0
6.0,0.25,2026-09-16T11:40:47+00:00,9.130583312867593e-05,-0.12027494013494922,61667045.509369895,7227.782710557598,1157,1055371.6267103418,111.7189937774005,2387.3644156353826,2096.2616304355165,0.0,2.898267889955605,0.0,0.0,0.0,0.0,6.439887290107132,1.4641875736314705,16690.79484846354,11.0,0.0,1.3471322796254661,15346.468383720076,0.0
6.25,0.2604166666666667,2026-09-16T11:55:47+00:00,9.108871374714582e-05,-0.1223668695809601,61619595.087900855,7232.7616452242455,1157,1062663.2933770088,111.7189937774005,2387.4929378114493,2091.977557899971,0.0,4.28407253554542,0.0,0.0,0.0,0.0,0.8233843071682094,3.7546843275698345,42873.602386517276,17.0,0.0,0.4008660319092223,4576.819082522735,0.0
6.5,0.2708333333333333,2026-09-16T12:10:47+00:00,9.051169647283705e-05,-0.12792638904199038,61492661.89958916,7287.314266715808,1157,1069954.9600436753,111.7189937774005,2387.8352452016497,2080.567311559991,0.0,11.410246339979949,0.0,0.0,0.0,0.0,43.48468254178284,9.681127362124355,111052.84690336899,15.0,0.0,1.3868115876561933,15880.341408326181,0.0
6.75,0.28125,2026-09-16T12:25:47+00:00,9.046558919412969e-05,-0.12837062931811694,61482290.32742112,7296.392554425,1157,1077246.6267103418,111.7189937774005,2387.9426081596575,2079.669952753819,0.0,2.4931756066948765,0.0,0.0,0.0,1.5958168005227886,8.28829186102572,2.3726532085360756,27313.860144014467,7.0,1.6283844903293763,0.04572712995795428,526.6344501016231,0.0
7.0,0.2916666666666667,2026-09-16T12:40:47+00:00,9.016302016565164e-05,-0.13128585989616814,61415040.52069345,7304.543681985862,1157,1084538.2933770083,111.7189937774005,2388.191786784468,2073.684534448099,0.0,7.366465960091773,0.0,0.0,0.0,1.3810476543713017,2.4148878799539393,6.97632427348733,80407.66843241005,12.0,1.2888823003788796,0.16914770780168964,1951.7493378075192,0.12035
7.25,0.3020833333333333,2026-09-16T12:55:47+00:00,9.003072577386913e-05,-0.1325605067368214,61385594.75104247,7353.865207867423,1157,1091829.960043675,111.7189937774005,2388.2715551557444,2071.0584825636874,0.0,2.645628371271414,0.0,0.0,0.0,0.01957648686,46.775242368427264,2.5361826010548976,29313.268208650075,11.0,0.019976007,0.030076919078373975,347.4844715411005,0.0
7.5,0.3125,2026-09-16T13:10:47+00:00,9.024923768837415e-05,-0.1304551603369014,61433432.30176005,7350.646039203648,1157,1099121.6267103413,111.7189937774005,2388.4848927735784,2075.463783913272,0.0,2.4486809410077512,0.0,0.0,0.0,6.853982290592302,1.3994703036437024,2.3752205127775188,27389.36048092705,13.0,6.993859480196226,0.0,0.0,0.0
7.75,0.3229166666666667,2026-09-16T13:25:47+00:00,8.882994578625246e-05,-0.1441299345629946,61114588.99451052,7422.462794134446,1157,1106413.2933770083,111.7189937774005,2389.3333132267153,2047.201277934715,0.0,28.273323150703163,0.0,0.0,0.0,0.01081717214661044,44.40266940537701,25.820698325721228,300163.84855195414,11.0,0.011037930761847389,1.604425130460845,18799.700478468232,0.0
