strategy,hours_since_first_receipt,at_risk,first_sales,descriptive_survival
inactive_holder,4.25,12027,9,0.7989526150358514
inactive_holder,4.5,12002,10,0.7982869321371379
inactive_holder,4.75,11931,18,0.7970825766951406
inactive_holder,5.0,11874,27,0.7952701099972487
inactive_holder,5.25,11810,16,0.794192690711901
inactive_holder,5.5,11777,16,0.7931137161809177
inactive_holder,5.75,11739,11,0.792370530996661
inactive_holder,6.0,11702,9,0.7917611193765132
inactive_holder,6.25,11636,9,0.791148722498343
inactive_holder,6.5,11610,10,0.7904672851835296
inactive_holder,6.75,11563,14,0.7895102202356294
inactive_holder,7.0,11473,13,0.788615630079344
inactive_holder,7.25,11424,12,0.7877872523166556
inactive_holder,7.5,11387,5,0.7874413371272656
inactive_holder,7.75,11349,10,0.7867474950820393
inactive_holder,8.0,11309,10,0.7860518124442446
inactive_holder,8.25,11278,10,0.785354834422925
inactive_holder,8.5,11246,5,0.7850056636802507
inactive_holder,8.75,11221,8,0.7844459947283354
inactive_holder,9.0,11183,8,0.7838848243842572
inactive_holder,9.25,11153,9,0.7832522624350545
inactive_holder,9.5,11117,6,0.7828295302613916
inactive_holder,9.75,11084,8,0.7822645143608059
inactive_holder,10.0,11050,13,0.7813442031674402
inactive_holder,10.25,10991,11,0.7805622191591751
inactive_holder,10.5,10941,6,0.7801341620058111
inactive_holder,10.75,10893,4,0.7798476902672613
inactive_holder,11.0,10844,10,0.7791285389483132
inactive_holder,11.25,10798,11,0.7783348351208978
inactive_holder,11.5,10726,12,0.777464052161598
inactive_holder,11.75,10560,10,0.7767278172637176
inactive_holder,12.0,10313,9,0.7760499785790116
inactive_holder,12.25,10229,8,0.7754430375458088
inactive_holder,12.5,10191,6,0.774986491748019
inactive_holder,12.75,10143,8,0.7743752434059128
inactive_holder,13.0,10113,6,0.7739158098589499
inactive_holder,13.25,10078,8,0.7733014690692226
inactive_holder,13.5,10041,5,0.7729163971296402
inactive_holder,13.75,9976,17,0.7715992781690143
inactive_holder,14.0,9862,3,0.7713645592646838
inactive_holder,14.25,9838,2,0.7712077459775798
inactive_holder,14.5,9809,4,0.7708932561229657
inactive_holder,14.75,9757,8,0.7702611821197901
inactive_holder,15.0,9719,6,0.7697856633325981
inactive_holder,15.25,9652,8,0.769147631286736
inactive_holder,15.5,9602,8,0.7685068084320917
inactive_holder,15.75,9546,10,0.7677017520645744
inactive_holder,16.0,9420,6,0.7672127700568899
inactive_holder,16.25,9206,8,0.7665460633264473
inactive_holder,16.5,9161,6,0.7660440137270631
inactive_holder,16.75,9106,7,0.7654551373712439
inactive_holder,17.0,9025,4,0.7651158774765642
inactive_holder,17.25,8981,5,0.7646899138436299
inactive_holder,17.5,8913,10,0.7638319648771276
inactive_holder,17.75,8866,3,0.7635735060575211
inactive_holder,18.0,8841,3,0.7633144040873624
inactive_holder,18.25,8814,2,0.7631411990943768
inactive_holder,18.5,8780,3,0.7628804446983308
inactive_holder,18.75,8746,3,0.7626187660642015
inactive_holder,19.0,8700,5,0.7621804794170383
inactive_holder,19.25,8620,3,0.7619152193893989
inactive_holder,19.5,8568,4,0.7615595166725971
inactive_holder,19.75,8505,2,0.7613804315422803
inactive_holder,20.0,8408,6,0.7608371058299523
inactive_holder,20.25,8346,7,0.7601989726235289
inactive_holder,20.5,8234,10,0.7592757287898836
inactive_holder,20.75,8175,9,0.7584398289049773
inactive_holder,21.0,8132,7,0.7577869662878678
inactive_holder,21.25,8085,5,0.7573183287082216
inactive_holder,21.5,8041,8,0.7565648718459326
inactive_holder,21.75,7987,1,0.7564701473095803
inactive_holder,22.0,7949,2,0.756279816413289
inactive_holder,22.25,7898,1,0.7561840605489673
inactive_holder,22.5,7829,0,0.7561840605489673
inactive_holder,22.75,7738,1,0.7560863370983922
inactive_holder,23.0,7643,0,0.7560863370983922
inactive_holder,23.25,7531,0,0.7560863370983922
inactive_holder,23.5,7365,0,0.7560863370983922
inactive_holder,23.75,7166,0,0.7560863370983922
inactive_holder,24.0,7085,0,0.7560863370983922
inactive_holder,24.25,7016,0,0.7560863370983922
inactive_holder,24.5,6902,0,0.7560863370983922
inactive_holder,24.75,6861,0,0.7560863370983922
inactive_holder,25.0,6805,0,0.7560863370983922
inactive_holder,25.25,6756,0,0.7560863370983922
inactive_holder,25.5,6703,0,0.7560863370983922
inactive_holder,25.75,6625,0,0.7560863370983922
recent_buyer,0.25,294,10,0.9659863945578231
recent_buyer,0.5,284,9,0.935374149659864
recent_buyer,0.75,270,4,0.9215167548500882
recent_buyer,1.0,264,2,0.9145355673133452
recent_buyer,1.25,261,1,0.9110315996224894
recent_buyer,1.5,258,0,0.9110315996224894
recent_buyer,1.75,254,1,0.9074448610412985
recent_buyer,2.0,244,0,0.9074448610412985
recent_buyer,2.25,232,0,0.9074448610412985
recent_buyer,2.5,230,1,0.9034994486019885
recent_buyer,2.75,225,1,0.8994838954970907
recent_buyer,3.0,221,1,0.8954138326215383
recent_buyer,3.25,210,1,0.8911499572281024
recent_buyer,3.5,205,1,0.8868028842660141
recent_buyer,3.75,203,0,0.8868028842660141
recent_buyer,4.0,201,0,0.8868028842660141
recent_buyer,4.25,199,0,0.8868028842660141
recent_buyer,4.5,199,1,0.8823465883651798
recent_buyer,4.75,195,1,0.8778217340658712
recent_buyer,5.0,185,1,0.8730767517195692
recent_buyer,5.25,184,0,0.8730767517195692
recent_buyer,5.5,182,0,0.8730767517195692
recent_buyer,5.75,181,0,0.8730767517195692
recent_buyer,6.0,177,0,0.8730767517195692
recent_buyer,6.25,172,0,0.8730767517195692
