hours,elapsed_days,timestamp_utc,buyback_ETH,spot_change,one_ETH_entry_net_return
1,0.041666666666666664,2026-09-16T06:40:47+00:00,6.488533753635842,0.0037703053050854862,-0.06527246904501682
6,0.25,2026-09-16T11:40:47+00:00,39.0903386808852,0.02026906086965563,-0.049910559630743645
12,0.5,2026-09-16T17:40:47+00:00,72.6722954343915,0.0374053931659275,-0.03395484165942442
24,1.0,2026-09-17T05:40:47+00:00,100.69105286327108,0.051805093973579686,-0.020547372789842533
