from_utc,to_utc,buy_ETH,sell_ETH,sold_tokens,new_seller_tokens,new_seller_addresses,new_buyer_ETH,new_buyer_addresses,owner_buy_ETH
2026-09-15T23:40:47+00:00,2026-09-16T00:00:47+00:00,53.9652988061759,8.022585907305228,63250.061510901636,0.0,0,49.81991666090334,7,0.0
2026-09-16T00:00:47+00:00,2026-09-16T00:20:47+00:00,11.095695034921382,86.33608840940943,692366.8627332198,305621.82196001033,30,1.684858482129953,5,0.0
2026-09-16T00:20:47+00:00,2026-09-16T00:40:47+00:00,2.2395121862924,169.33957010228775,1455461.3368106477,778799.9684177551,19,1.7737745394822972,3,0.0
2026-09-16T00:40:47+00:00,2026-09-16T01:00:47+00:00,20.938489802409336,106.58748073916351,985264.351861029,717513.0066291982,34,0.11053979533517092,2,0.0
2026-09-16T01:00:47+00:00,2026-09-16T01:20:47+00:00,248.62058458207923,132.17070950084332,1166195.9731828752,593066.4492246739,31,30.81805843268607,24,93.84755385926263
2026-09-16T01:20:47+00:00,2026-09-16T01:40:47+00:00,18.30959479426974,65.26708967162789,583448.7857922171,153586.1847709705,30,1.3255995679370118,5,13.241163047690817
2026-09-16T01:40:47+00:00,2026-09-16T02:00:47+00:00,6.815596551907434,77.95393284388754,725351.6557371902,470142.7917224396,43,0.0651164914237397,3,3.3957
2026-09-16T02:00:47+00:00,2026-09-16T02:20:47+00:00,30.874880228256036,92.58851565482668,891926.6339604267,583862.8641244144,42,0.04633662212707449,1,1.9404
2026-09-16T02:20:47+00:00,2026-09-16T02:40:47+00:00,12.548098232133619,143.8278083024535,1460502.3262574596,1018803.8413418934,41,1.7498679865437854,4,0.0
2026-09-16T02:40:47+00:00,2026-09-16T03:00:47+00:00,105.33845688707592,128.94731229057777,1389199.5679754661,1312060.48037306,16,17.484036126016395,31,17.12170819970773
2026-09-16T03:00:47+00:00,2026-09-16T03:20:47+00:00,18.725907218318294,33.40719706414407,356808.30040471605,314734.659637814,22,3.9116100387690915,12,1.02361
2026-09-16T03:20:47+00:00,2026-09-16T03:40:47+00:00,16.828484582766382,0.646806937226926,6851.233036389963,1815.6798425799598,5,1.3601483924267816,10,1.13043
2026-09-16T03:40:47+00:00,2026-09-16T04:00:47+00:00,197.2401544599074,6.203749067810845,61676.93231680603,57501.25018287654,9,33.406261955834815,35,134.1964381159631
2026-09-16T04:00:47+00:00,2026-09-16T04:20:47+00:00,144.52246278564837,79.57591979577684,719743.1195332457,100465.37545154005,13,47.48689515908774,22,70.27090000000001
2026-09-16T04:20:47+00:00,2026-09-16T04:40:47+00:00,11.536325971849285,52.83994764457081,489619.4854016849,87487.81337201508,22,2.641283696107242,7,8.063592483060802
2026-09-16T04:40:47+00:00,2026-09-16T05:00:47+00:00,0.6410376334239609,36.069928635238455,341147.2711596354,131736.13408249465,43,0.23417979455806232,4,0.0
2026-09-16T05:00:47+00:00,2026-09-16T05:20:47+00:00,15.254334384466523,22.729052199654497,217654.8288335834,138327.50952516557,32,5.6873147410411855,13,1.9551000000000003
2026-09-16T05:20:47+00:00,2026-09-16T05:40:47+00:00,0.36100319254460156,29.57346942385213,285617.3395628177,143343.36925239666,10,0.16513308140735491,1,0.0
