strategy,addresses,tokens,native_ETH,sold_tokens_6h
charter_owner,941,10319791.033859577,2547.669845200192,1401790.279012487
inactive_holder,15495,41389547.017579466,2774.0807334108445,0.0
recent_buyer,294,7858060.526849026,711.044993883206,0.0
recent_seller,488,2191546.973528987,584.5723354213528,8880300.541970214
two_way,94,1883327.3813426786,184.07530942597387,1609995.2450876113
