hours,elapsed_days,timestamp_utc,price_ETH,price_return,wallet_tokens,wallet_cash_ETH,branches,bank_pending,vault_ETH,hook_ETH,epoch_flow_ETH,branch_withdraw_sell_ETH,sell_pool_ETH,branch_withdraw_sell_ETH_tokens,branches_retired,game_prefund_ETH,buy_pool_ETH,external_capital_ETH,spec_buy_ETH,spec_sell_ETH,spec_sell_ETH_tokens,owner_spec_buy_ETH,new_seller_activations,owner_spec_sell_ETH,owner_spec_sell_ETH_tokens,licenses,license_internal_tokens,license_wallet_tokens,license_fresh_tokens,license_fresh_buy_ETH
0.0,0.0,2026-09-16T05:40:47+00:00,0.00010378905557457029,0.0,63642272.93315973,6801.443217341569,1199,1437620.306819074,111.7189937774005,2375.874075210391,2333.914639635399,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.25,0.010416666666666666,2026-09-16T05:55:47+00:00,0.00011945067249060457,0.15089853963245425,66027697.649759874,6537.4950197205235,1198,1420758.1547586792,111.7189937774005,2381.568401978947,2599.0300299238547,2.355913880661951,5.630211081281232,23652.357877507013,1.0,261.66282394749476,270.74560136973537,6.861519435964532,11.378523122402987,3.105390868180843,27205.246129416235,3.229674735954565,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.5,0.020833333333333332,2026-09-16T06:10:47+00:00,0.00012169390070452877,0.17251188028292863,66312236.687544756,6509.382544791637,1198,1428049.8214253457,111.7189937774005,2382.2755972344926,2633.6825974455774,0.0,0.0,0.0,0.0,0.0,34.65256752172388,7.247287848382589,22.698848524364546,0.0,0.0,12.660914252904737,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.75,0.03125,2026-09-16T06:25:47+00:00,0.00012498161180501938,0.20418873756128053,66715354.17378986,6472.537373119381,1198,1435341.4880920125,111.7189937774005,2383.3004413908593,2683.899961107576,0.0,0.0,0.0,0.0,0.0,50.21736366199955,14.397036146110597,42.71840137905964,0.0,0.0,8.52380643930724,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,0.041666666666666664,2026-09-16T06:40:47+00:00,0.00012668579173630688,0.22060838722331155,66918399.11872667,6460.9645402273745,1198,1442633.154758679,111.7189937774005,2383.827125680917,2709.7074913203933,0.0,0.0,0.0,0.0,0.0,25.807530212817863,14.761381610869604,13.991166845639627,0.0,0.0,12.34304765723575,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.25,0.052083333333333336,2026-09-16T06:55:47+00:00,0.00013235450566067192,0.27522603349616137,67566145.32796723,6397.919337978746,1198,1449924.8214253457,111.7189937774005,2385.556153325473,2794.429845903626,0.0,0.0,0.0,0.0,21.73217106721453,84.72235458323166,23.406179979158022,33.3034323401278,0.0,0.0,31.415778820445095,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.5,0.0625,2026-09-16T07:10:47+00:00,0.0001348686234871955,0.2994493758573147,67839646.64365864,6414.766899355396,1198,1457216.4880920122,111.7189937774005,2386.309427574072,2831.340284084881,0.0,0.0,0.0,0.0,0.0,36.910438181255174,54.51127380650293,28.38505020851982,0.0,0.0,9.2786622213324,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.75,0.07291666666666667,2026-09-16T07:25:47+00:00,0.00013944547157387284,0.3435469742152548,68318398.77445737,6389.23750956939,1198,1464508.1547586787,111.7189937774005,2387.662860623822,2897.6585035225908,0.0,0.0,0.0,0.0,0.0,66.3182194377101,42.14226270145304,57.533475056851174,0.0,0.0,10.138177430608124,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,0.08333333333333333,2026-09-16T07:40:47+00:00,0.00014179093360528519,0.36614533025990714,68554677.71037762,6398.002979159653,1198,1471799.8214253457,111.7189937774005,2388.348483017519,2931.2183551821995,0.0,0.014431429774958815,0.0,0.0,0.0,33.57428308938471,43.01094364356929,10.290319465185627,0.01399848688171005,103.13221192027927,23.969153075002836,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.25,0.09375,2026-09-16T07:55:47+00:00,0.00014938220652490434,0.4392866925894352,69280787.0295896,6337.112093243832,1198,1479091.4880920122,111.7189937774005,2390.528854106904,3037.9623751785466,0.0,0.03812282734725159,0.0,0.0,1.4061451789933954e-12,106.78214282369548,48.033505169913646,94.42253626142929,0.03697914252683404,268.42809283948515,14.53883396682997,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.5,0.10416666666666667,2026-09-16T08:10:47+00:00,0.0001563420256805498,0.5063440438401647,69899084.62369369,6331.057296541348,1198,1486383.154758679,111.7189937774005,2392.7164448108097,3133.502554421913,0.0,4.717313865571214,0.0,0.0,0.0,100.257493108938,91.67297324478655,92.71475369202473,4.575794449604078,31248.73986983837,9.588810704850781,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.75,0.11458333333333333,2026-09-16T08:25:47+00:00,0.00015977195039963175,0.5393911189878677,70188466.7890394,6291.641233945216,1198,1493674.8214253457,111.7189937774005,2394.1252888393424,3179.885807206522,0.0,9.170082839444603,0.0,0.0,0.0,55.55333562405326,8.376034217008549,56.19207716740129,4.188432795033596,27261.578051382217,0.495,2.0,4.70654755922767,30650.92048394764,0.0,0.0,0.0,0.0,0.0
3.0,0.125,2026-09-16T08:40:47+00:00,0.00016047499202059105,0.5461648738608387,70246432.2839436,6301.303292912044,1198,1500966.488092012,111.7189937774005,2394.539376840825,3189.350043216073,0.0,4.383026746217638,0.0,0.0,0.0,13.847262755769648,19.540382977862713,14.12985995486699,4.251535943831109,27576.988835706637,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.25,0.13541666666666666,2026-09-16T08:55:47+00:00,0.00016314585846735228,0.5718984777748108,70464083.00813244,6316.382911545617,1198,1508258.154758679,111.7189937774005,2395.268186441436,3224.923860156253,0.0,0.05581112942172694,0.0,0.0,4.686321980729243,35.62962806960111,51.3822451743638,26.161069296118345,0.05413679553907513,348.4783565340031,5.509372059480091,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.5,0.14583333333333334,2026-09-16T09:10:47+00:00,0.00016668071585581874,0.6059565715583768,70743292.53034261,6285.674674358637,1198,1515549.8214253453,111.7189937774005,2396.4422574555865,3271.521285936674,0.0,4.425932758280395,0.0,0.0,0.0,51.02335853870144,17.06325960759047,52.0646515701035,2.2753235670696674,14379.107849806165,0.0,4.0,2.0178312084623165,12624.639828825164,0.0,0.0,0.0,0.0,0.0
3.75,0.15625,2026-09-16T09:25:47+00:00,0.00016750907754628286,0.6139377761842244,70807303.57597461,6334.986861045169,1198,1522841.4880920122,111.7189937774005,2396.824441548462,3282.3897993441424,0.0,3.181581839422051,0.0,0.0,0.0,14.05009524689183,60.562884186875195,12.981328979392327,3.0861343842393896,19226.41254843059,1.3555029051911736,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.0,0.16666666666666666,2026-09-16T09:40:47+00:00,0.000166382214706408,0.6030805346992085,70718467.64583626,6351.51125721648,1198,1530133.1547586787,111.7189937774005,2397.6771821466127,3267.872174150576,0.0,22.794297369618107,0.0,0.0,0.0,8.27667217605166,2.8595115758956897,8.445583853113936,22.110468448529563,137947.11415536143,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.25,0.17708333333333334,2026-09-16T09:55:47+00:00,0.000173013827963615,0.666975645994853,71220712.05973727,6308.7214351162875,1198,1537424.8214253453,111.7189937774005,2399.4382722645196,3353.9481540692136,0.0,0.08803071206602908,0.0,0.0,0.0,86.16401063070533,45.04724793635482,86.09118632554204,0.0853897907040482,515.4487627851212,1.8312735017082924,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.5,0.1875,2026-09-16T10:10:47+00:00,0.00017416799094564385,0.6780959223634881,71305229.16568702,6306.563195769331,1198,1544716.4880920122,111.7189937774005,2399.927040961905,3368.8422513231353,0.0,3.666222233993267,0.0,0.0,0.0,18.56031948791443,13.224626604349755,18.939101518280033,3.556235566973469,21378.743793430152,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.75,0.19791666666666666,2026-09-16T10:25:47+00:00,0.0001767486832853375,0.7029607053158629,71491310.44718519,6322.297591511715,1198,1552008.1547586783,111.7189937774005,2401.271329138593,3402.087584315819,0.0,13.208416058747844,0.0,0.0,0.0,46.453749051432865,50.32401691175767,46.40092240465677,12.812163576985409,75328.29144036415,1.0008623417032887,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5.0,0.20833333333333334,2026-09-16T10:40:47+00:00,0.0001780031025614751,0.7150469437847766,71581371.9431062,6312.362482148815,1198,1559299.8214253453,111.7189937774005,2401.648484337252,3418.2427981339597,0.0,0.9414538122186967,0.0,0.0,0.0,17.09666763035915,6.597259653900826,17.252345138841356,0.9132101978521359,5370.468674633937,0.1932340758108263,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5.25,0.21875,2026-09-16T10:55:47+00:00,0.00017960213015616065,0.7304534583332849,71695072.2699353,6312.6012371197685,1198,1566591.488092012,111.7189937774005,2402.068056012049,3438.778057130544,0.0,0.009616626904517034,0.0,0.0,4.687150596644652e-13,20.54487562348795,21.193585642334487,20.904039658729886,0.009328128097381523,54.56560007649659,0.0601191407471387,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5.5,0.22916666666666666,2026-09-16T11:10:47+00:00,0.0001802016627205907,0.7362299109766881,71737150.66152057,6319.027205596854,1198,1573883.1547586787,111.7189937774005,2402.3701462975587,3446.4828725365765,0.0,2.8735257424550578,0.0,0.0,0.0,10.578341148487773,14.432874168626658,10.794225661722217,1.565067555867554,9065.246707135278,0.0,2.0,1.2222524143138525,7088.056368293715,0.0,0.0,0.0,0.0,0.0
5.75,0.23958333333333334,2026-09-16T11:25:47+00:00,0.00018192639437579852,0.7528475750035915,71857367.75194615,6302.467019370377,1198,1581174.821425345,111.7189937774005,2402.9377935154653,3468.5169176516497,0.0,2.3403516446778667,0.0,0.0,0.0,24.37439675975177,6.0415061065022515,22.842333428318128,2.2701410953375305,13010.82031248951,2.0295,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
