charter_id,owner,ledger_used,wallet_used,new_tokens_needed
456,0xa4a5cc8c29353f333d031f7df7a717ef86caa7de,29528.135543909626,0.0,0.0
589,0xcfb7698154899ae6c5913989f4833d4912b45fb6,29528.135543909626,0.0,0.0
589,0xcfb7698154899ae6c5913989f4833d4912b45fb6,29528.135543909626,0.0,0.0
821,0xc02ad38d5df2724bf1cc7983244301e2185f9462,16818.040214687117,12710.09532922251,0.0
688,0x09f6ac34354fef95ebdd7824f3b36accb30f6b9c,15792.000787688552,13736.134756221074,0.0
667,0xe2fb7d06bbf1e83e899f15b90eaacaf90b0e0a5f,15790.080794929914,13738.054748979712,0.0
218,0xd01fe03aba9eb73ff92e2b64e22daf99458e4f54,15288.589213887051,14239.546330022575,0.0
431,0xaae99871b32a731ddeaeee18517e365ebe44f395,15288.549213887052,14239.586330022574,0.0
127,0x1cca082840abf3c851c2d261771fc8f43daefca0,15284.389213887052,14243.746330022574,0.0
728,0x7b8a6e7777793614f27799199e32e80f03d18dbe,15283.349213887052,14244.786330022574,0.0
634,0xe8e4eb3fe4a93b45ddc4589abdd8f8e006d0533d,14334.676583198638,15193.458960710988,0.0
9,0x1d7b4a9960f908ecc71405f74715fd7f05bf5581,13122.63921388705,16405.496330022575,0.0
786,0x735362a17532f349f2500425bad3cd891c3935d3,13117.799213887052,16410.336330022576,0.0
841,0xeb456428815f395e6f02d4982f5521116c89c620,7643.086602776999,21885.048941132627,0.0
804,0xefa988eabbb2b768ab95ce5a194a910b0050f377,4896.378874039668,24631.75666986996,0.0
654,0x5140087842da3cbc55ff69ba74b4239af219c4b6,4871.964890683564,24656.17065322606,0.0
888,0x187500818fd3ba83270d546921abf44ede7fdde6,4112.989573096845,25415.14597081278,0.0
979,0xfefbc45f6bd1b8baeb2549267f5e906f8a3b42f1,3678.4848275611357,25849.65071634849,0.0
716,0x2a194d883362c456c47502febf07b84803041024,3672.287168846067,25855.84837506356,0.0
621,0x9c58d138adf9cb3d048d96b102c6ab4fb1b98594,3528.002383001449,26000.133160908175,0.0
