hours,elapsed_days,timestamp_utc,price_ETH,price_return,wallet_tokens,wallet_cash_ETH,branches,bank_pending,vault_ETH,hook_ETH,epoch_flow_ETH,branch_withdraw_sell_ETH,sell_pool_ETH,branch_withdraw_sell_ETH_tokens,branches_retired,game_prefund_ETH,buy_pool_ETH,spec_sell_ETH,spec_sell_ETH_tokens,new_seller_activations,owner_spec_sell_ETH,owner_spec_sell_ETH_tokens,spec_buy_ETH,owner_spec_buy_ETH,licenses,license_internal_tokens,license_wallet_tokens,license_fresh_tokens,license_fresh_buy_ETH
0.0,0.0,2026-09-16T05:40:47+00:00,0.00010378905557457029,0.0,63642272.93315973,6801.443217341569,1199,1437620.306819074,111.7189937774005,2375.874075210391,2333.914639635399,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.25,0.010416666666666666,2026-09-16T05:55:47+00:00,0.00010529402545388597,0.014500275303443777,64151749.62427068,6770.256856523958,1185,1188686.8968252495,111.7189937774005,2378.501910876716,2362.473164786686,24.44154631340184,40.568996963007976,246841.4165695233,14.0,69.54333787172916,69.12752211429458,14.903691481389501,146886.92325084933,11.0,0.006689259326394676,65.8808319582139,0.99495,0.0,0.0,0.0,0.0,0.0,0.0
0.5,0.020833333333333332,2026-09-16T06:10:47+00:00,0.00010523640605312088,0.013945116568776283,64140981.64275115,6770.927979760832,1185,1195978.5634919158,111.7189937774005,2378.8338719359385,2361.470080490588,0.0,6.9915693109524,0.0,0.0,0.0,5.988485014853881,6.775492125282775,66934.5796738536,8.0,0.00633010634105176,62.58679036030321,6.110698994748859,0.0,0.0,0.0,0.0,0.0,0.0
0.75,0.03125,2026-09-16T06:25:47+00:00,0.00010446329947047983,0.006496290887097578,64003090.39207116,6784.679671176929,1185,1203270.2301585826,111.7189937774005,2379.3576594123997,2347.19460159803,0.0,16.17047175673997,0.0,0.0,0.0,1.894992864182322,15.685357604037772,155795.0716695492,11.0,0.0,0.0,1.3199999999999998,0.6136661879411449,0.0,0.0,0.0,0.0,0.0
1.0,0.041666666666666664,2026-09-16T06:40:47+00:00,0.00010434817244646982,0.005387050386038261,63982440.87444377,6786.741717792066,1185,1210561.8968252493,111.7189937774005,2379.4276141427654,2345.0626002525282,0.0,2.2509243455019714,0.0,0.0,0.0,0.11892299999999999,0.45220388906497644,4511.901841378504,6.0,1.7311927260719358,17265.81481217225,0.001,0.12035,0.0,0.0,0.0,0.0,0.0
1.25,0.052083333333333336,2026-09-16T06:55:47+00:00,0.00010409030120996687,0.0029024797819856563,63936031.09477796,6791.343882600519,1185,1217853.5634919158,111.7189937774005,2379.60171177993,2340.2863378069096,0.0,5.387468286111016,0.0,0.0,0.3540886241883877,0.6112058404928222,5.148052461880578,51433.63573233114,7.0,0.07779177564710607,777.1229661090553,0.0114876040652718,0.258103200820649,0.0,0.0,0.0,0.0,0.0
1.5,0.0625,2026-09-16T07:10:47+00:00,0.00010366742744657832,-0.0011718781649822096,63859647.44218085,6798.963508412453,1185,1225145.2301585828,111.7189937774005,2379.837370310196,2332.4310534647093,0.0,7.855284342200321,0.0,0.0,0.0,0.0,7.616037334811071,76347.62067770738,12.0,0.0035884771232394994,36.031919390444095,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.75,0.07291666666666667,2026-09-16T07:25:47+00:00,0.00010299984351012412,-0.007604000827227342,63738160.83908583,6811.01839394915,1185,1232436.8968252493,111.7189937774005,2380.2104539144234,2320.0030843237855,0.0,12.432820140923923,0.0,0.0,0.0,0.004851,11.182679752714295,112713.08332112255,13.0,0.8771557839819115,8820.1377616166,0.00495,0.0,0.0,0.0,0.0,0.0,0.0
2.0,0.08333333333333333,2026-09-16T07:40:47+00:00,0.00010297966730900232,-0.0077983970572547134,63734358.56687391,6811.308741217895,1185,1239728.563491916,111.7189937774005,2380.2833238696403,2319.6398670998233,0.0,1.5926498095532224,0.0,0.0,0.0,1.22943258559092,0.9138954357829926,9237.383586542392,16.0,0.6309748794836332,6379.250731464344,1.254523046521347,0.0,0.0,0.0,0.0,0.0,0.0
2.25,0.09375,2026-09-16T07:55:47+00:00,0.00010244963584728445,-0.01290521163210212,63669182.366353355,6820.713602385087,1181,1212381.9867489527,111.7189937774005,2380.727005460416,2309.7913243418548,3.186530481903146,12.789044820253821,32250.169070506137,4.0,3.0005123084542236,2.940502062285139,9.218842993743062,93471.8653069696,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.5,0.10416666666666667,2026-09-16T08:10:47+00:00,0.00010230144681237214,-0.014333002203005152,63641888.33951232,6823.396911096544,1181,1219673.6534156194,111.7189937774005,2380.8099943896364,2307.025026701178,0.0,2.7662976406768394,0.0,0.0,0.0,0.0,2.0597455296450695,20949.166996724696,8.0,0.6235631818114643,6344.859844321257,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.75,0.11458333333333333,2026-09-16T08:25:47+00:00,0.00010143702595854303,-0.022661634244637407,63481485.79071988,6839.088153642014,1181,1226965.320082286,111.7189937774005,2381.295290550837,2290.848487994507,0.0,16.176538706670726,0.0,0.0,0.0,0.0,15.685973284831313,160348.8884430504,13.0,0.0052692606392929515,53.660349385164984,0.0,0.0,0.0,0.0,0.0,0.0,0.0
