address,buy_ETH,tokens_bought,wallet_tokens,charter_count,strategy
0xfc3c962fad2c1cc77f1a0d46e7b8a2de79a21774,58.604,588861.1418923035,588861.1418923035,3,charter_owner
0xefa988eabbb2b768ab95ce5a194a910b0050f377,53.361,498141.6252341693,498141.6252341693,1,charter_owner
0xd852e3a7a2abca6aecd0fa39147851ae96eba5d7,39.2,344941.9710255504,2.2e-17,1,charter_owner
0xfb0d8b94027c5109ae89c5f08b025cc598cf6f49,29.20302,259994.9787983939,259994.97879839392,0,recent_buyer
0x72c2509fb0bc0284c0a5ec3d57c75ec40f519b37,20.13471642629429,184927.50683248744,184927.50683248744,0,recent_buyer
0x4ff25ae1b4bf1cee786d5458b43f116d3203d374,19.49123410935896,184733.54049964552,0.0,2,charter_owner
0x11bc74e240c13f7067529b21dfb9933ff7fcb136,8.82,91299.98354051329,0.0,0,two_way
0xc2c66aec8165f0e94b692b088c5459e8ece2d493,8.246699999999999,85161.88085311909,81140.50120536586,0,recent_seller
0xa6ebe798a17b351b0c04cd61654c7ca38860e253,8.063592483060802,72760.54703589457,72760.54703589456,1,charter_owner
0x3d3809bbcc6e2d5ab9fd4c19ec23cb0c15169e69,6.403319999999999,66376.94956140732,278143.0629876628,0,recent_buyer
0xabe0cdd036456fcc1b64d1ddb7aa3bdf7d5b98b1,6.367185162185558,62053.257189189535,66007.49135949922,2,charter_owner
0xddeb5dae1e53d7ed06e4dbc14621cc9370b09881,6.001452510922288,58726.35589738105,146889.56507667233,0,recent_buyer
0x302d86e24d7474f0408a53e26a1111c041a94093,5.573656283554521,58675.86770233252,58675.86770233252,0,recent_buyer
0xcab21d30dbbe7ef86618e1aea139f6c8a9b44c98,5.34014938695,54990.952284890474,243303.561458652,1,charter_owner
0x09f6ac34354fef95ebdd7824f3b36accb30f6b9c,4.998616255615601,46970.15113443909,18143.8099141642,1,charter_owner
0xb390ef857bd733dd9b788d5757858c542b1715f2,4.9,48861.43520077472,90149.72334013083,0,recent_buyer
0xc36405b8384c21ead7f8ccbbc9c68da380a0c55b,4.851,45255.41006347975,124884.64664827115,0,recent_buyer
0x922f92543b7e493a5bdc368220f680cf460e04f2,4.141978114179758,38839.8044517987,155567.09612603413,0,recent_buyer
0x8224c04a8f66557df682fd0581eb3724bd2bee07,4.080878369784984,38344.87824030352,892110.4813367942,0,two_way
0x7029bfa9a85ebf4653945be520dc3b7f1181f4af,3.4202,31613.1612144799,31613.1612144799,1,charter_owner
0xa9076b5ba0aa393915cc4143653e7a01b96b5e12,3.3957,30650.92048394764,30650.92048394764,2,charter_owner
0xff00ee4bce74c07569f5b8704a0f26642b066300,3.137700203179161,29092.836401556073,0.0,0,two_way
0x2b69c3251b373d8820e90a2580dcf2a84fcd00e6,3.1189700675460506,28955.912436413033,0.0,0,two_way
0x854f1269b659a727a2268ab86ff77cfb30bfb358,2.94,27653.2171536447,27653.2171536447,0,recent_buyer
0x5f1115f3d02030817f06ce4493966aa10189ba5b,2.85933375,29248.27206826222,0.0,0,two_way
0x249571f65ef05cf04d76fcf45c106e6990442285,2.706858,26135.787185303005,40166.83082701707,0,recent_buyer
0xc3c570056e06370b9b4022c98174226d576570a5,2.45886517118184,22832.92670656587,0.0,0,two_way
0x98153cf43e104ed590078840c12628d4289bf3df,2.4255,24105.409700408247,10042.01970040825,1,charter_owner
0xd169335ec70ab4f3d3738935bce4d3a61c83382b,2.408058245239732,22340.31042169195,0.0,0,two_way
0x327facc561234ebd02c933a4d4486fab6585c566,2.2657362180015217,20662.518076493845,0.0,0,two_way
0xec9db389ba9b0f9e293d2e01f19277eff54f3572,2.26046218125,22233.5612329822,0.041420372896572,2,charter_owner
0x5a0132d32619a327a821b82ce0e0a9feaaa92a30,2.2309054239887933,23249.158406389026,131868.08555621453,0,recent_buyer
0xf53483f3e48492f0870256ace2674666b16adaed,2.0772957051,21744.76144398673,0.0,0,two_way
0x20b88e992c063b0d3dee60b101c09b3d8d74663b,2.03742,19934.677949834004,72448.50103081687,0,recent_buyer
0x8f86b823cd79b0cbc328e18b1cc0c66cc1b583f5,2.0280037413306227,20126.916739814835,276553.71651146427,0,recent_buyer
0xa5b04e4089c029c8353e09ecdf1178d2968b72ee,1.9787391451956657,18549.478377716638,108350.08981462504,0,recent_buyer
0xe4385370a92c6ab64758bc7a9f672e5c1d022ba1,1.9502,18938.18237358236,0.0,0,recent_buyer
0x49224d70a64e7e7dd5dadfad610f039ea6d08c8e,1.9404,17480.072529863442,0.0,0,two_way
0x9882784c24006535c60ee1caf863b0e8ee70836a,1.9404,17525.184316938743,17525.18431693874,0,recent_buyer
0x863879e4df119cd5e7576cdb1e72ddaa74301e83,1.9404,20241.11223031287,20241.11223031287,0,recent_buyer
0x660e0670d461913ccea270fd357ce1f8bd656290,1.9279843062109965,17599.226780169192,18525.741253039592,0,recent_buyer
