scenario,quantity,best_h,now_ETH,mean_ETH,p10_ETH,p90_ETH,fraction_below_selling_now,mean_return_vs_now,best_utc
Fast fade,10000,4.0,1.7752215381927725,1.9052369431562177,1.5733239756473911,2.240063952324123,0.3125,0.07323897449768713,2026-09-15 14:09:19 UTC
Fast fade,100000,4.0,17.685562668127808,18.98211240728142,15.949326651582801,22.36421060809448,0.34,0.07331119532262331,2026-09-15 14:09:19 UTC
Fast fade,1000000,4.0,170.45574561217336,183.2027224263789,152.0761294610258,214.68358694062522,0.3125,0.07478173744408645,2026-09-15 14:09:19 UTC
Central case,10000,20.0,1.7752215381927725,3.4070240248016885,1.8532190967851023,5.191622449930999,0.075,0.9192106176619166,2026-09-16 06:09:19 UTC
Central case,100000,19.0,17.685562668127808,33.81933646188305,19.25058490982203,53.90349042400079,0.055,0.9122567427741985,2026-09-16 05:09:19 UTC
Central case,1000000,20.0,170.45574561217336,323.4021933008695,179.39640645411487,488.4653908873055,0.0625,0.8972795087628493,2026-09-16 06:09:19 UTC
Continued rebound,10000,35.0,1.7752215381927725,8.895872777436617,4.25839606463001,14.417166184858042,0.0,4.011133870363513,2026-09-16 21:09:19 UTC
Continued rebound,100000,35.0,17.685562668127808,87.26798147097847,44.44839660932289,145.3776178450356,0.0,3.93441928360296,2026-09-16 21:09:19 UTC
Continued rebound,1000000,35.0,170.45574561217336,813.8542081637147,403.97363969057466,1298.6914593994584,0.0,3.774577737117898,2026-09-16 21:09:19 UTC
Withdrawal wave (stress),10000,20.0,1.7752215381927725,3.4101619739911646,1.8556343433210127,5.194683058332797,0.075,0.9209782557408634,2026-09-16 06:09:19 UTC
Withdrawal wave (stress),100000,19.0,17.685562668127808,33.849449165525385,19.261781305662538,53.963850373189686,0.055,0.9139594142813148,2026-09-16 05:09:19 UTC
Withdrawal wave (stress),1000000,20.0,170.45574561217336,323.692846910625,179.62144857912944,488.7427457726731,0.0625,0.8989846646008746,2026-09-16 06:09:19 UTC
