segment,side,transactions,eth,addresses,attributed_eth,top_address,top_eth,top3_eth
full,buy,486,539.0113923572327,280,515.5560176409458,0xfc3c962fad2c1cc77f1a0d46e7b8a2de79a21774,58.604,151.16500000000002
full,sell,481,316.25130685383476,279,314.86146052693385,0xd4b4cab5cf150f46448a8b312cf4d96521953c5f,33.21691540419546,90.54202429612124
sell_wave,buy,74,37.6082636227086,56,32.617656860852286,0xa6ebe798a17b351b0c04cd61654c7ca38860e253,8.063592483060802,15.540170852845785
sell_wave,sell,329,255.47340444279126,208,254.61318354544298,0xd4b4cab5cf150f46448a8b312cf4d96521953c5f,31.507076568420004,88.83218546034578
rebound,buy,104,107.82821706612793,65,107.82740144152794,0x2408ce75d217e3a70d6ca370c78c1b34d706f5a0,37.693624998724054,68.85762499872406
rebound,sell,11,8.060683085495604,10,8.060683085495603,0xd026f7a62fad79952d2f136ebd598a71b0053da1,2.4876873577390257,5.829335377778095
last20,buy,104,107.82821706612793,65,107.82740144152794,0x2408ce75d217e3a70d6ca370c78c1b34d706f5a0,37.693624998724054,68.85762499872406
last20,sell,11,8.060683085495604,10,8.060683085495603,0xd026f7a62fad79952d2f136ebd598a71b0053da1,2.4876873577390257,5.829335377778095
