hour,event,charter,count,price_tokens,funding,eth,inventory_tokens,gross_tokens,resolution_fee,net_eth,elapsed_days,timestamp_utc
18.0,license,1000,1,14452.779353024242,ledger,0.0,0.0,,,,0.75,2026-09-16 04:09:19 UTC
18.0,license,807,1,14452.779353024242,ledger,0.0,0.0,,,,0.75,2026-09-16 04:09:19 UTC
18.0,license,95,1,14452.779353024242,ledger,0.0,0.0,,,,0.75,2026-09-16 04:09:19 UTC
19.0,license,747,1,12355.97007420243,ledger,0.0,0.0,,,,0.7916666666666666,2026-09-16 05:09:19 UTC
19.0,license,791,1,12355.97007420243,ledger,0.0,0.0,,,,0.7916666666666666,2026-09-16 05:09:19 UTC
19.0,license,814,1,12355.97007420243,ledger,0.0,0.0,,,,0.7916666666666666,2026-09-16 05:09:19 UTC
19.0,license,786,1,12355.97007420243,ledger,0.0,0.0,,,,0.7916666666666666,2026-09-16 05:09:19 UTC
19.0,license,510,1,12355.97007420243,ledger,0.0,0.0,,,,0.7916666666666666,2026-09-16 05:09:19 UTC
19.0,license,9,1,12355.97007420243,ledger,0.0,0.0,,,,0.7916666666666666,2026-09-16 05:09:19 UTC
19.0,license,297,1,12355.97007420243,ledger,0.0,0.0,,,,0.7916666666666666,2026-09-16 05:09:19 UTC
19.0,license,725,1,12355.97007420243,ledger,0.0,0.0,,,,0.7916666666666666,2026-09-16 05:09:19 UTC
19.0,license,133,1,12355.97007420243,ledger,0.0,0.0,,,,0.7916666666666666,2026-09-16 05:09:19 UTC
19.0,license,634,1,12355.97007420243,ledger,0.0,0.0,,,,0.7916666666666666,2026-09-16 05:09:19 UTC
19.0,license,298,1,12355.97007420243,ledger,0.0,0.0,,,,0.7916666666666666,2026-09-16 05:09:19 UTC
19.0,license,549,1,12355.97007420243,ledger,0.0,0.0,,,,0.7916666666666666,2026-09-16 05:09:19 UTC
19.0,license,920,1,12355.97007420243,ledger,0.0,0.0,,,,0.7916666666666666,2026-09-16 05:09:19 UTC
19.0,license,621,1,12355.97007420243,ledger,0.0,0.0,,,,0.7916666666666666,2026-09-16 05:09:19 UTC
19.0,license,950,1,12355.97007420243,ledger,0.0,0.0,,,,0.7916666666666666,2026-09-16 05:09:19 UTC
19.0,license,841,1,12355.97007420243,ledger,0.0,0.0,,,,0.7916666666666666,2026-09-16 05:09:19 UTC
19.0,license,841,1,12355.97007420243,ledger,0.0,0.0,,,,0.7916666666666666,2026-09-16 05:09:19 UTC
19.0,license,841,1,12355.97007420243,ledger,0.0,0.0,,,,0.7916666666666666,2026-09-16 05:09:19 UTC
21.0,license,444,1,9110.102608260666,ledger,0.0,0.0,,,,0.875,2026-09-16 07:09:19 UTC
21.0,license,733,1,9110.102608260666,ledger,0.0,0.0,,,,0.875,2026-09-16 07:09:19 UTC
21.0,license,95,1,9110.102608260666,ledger,0.0,0.0,,,,0.875,2026-09-16 07:09:19 UTC
21.0,license,725,1,9110.102608260666,ledger,0.0,0.0,,,,0.875,2026-09-16 07:09:19 UTC
21.0,license,549,1,9110.102608260666,ledger,0.0,0.0,,,,0.875,2026-09-16 07:09:19 UTC
21.0,license,268,1,9110.102608260666,ledger,0.0,0.0,,,,0.875,2026-09-16 07:09:19 UTC
21.0,license,950,1,9110.102608260666,ledger,0.0,0.0,,,,0.875,2026-09-16 07:09:19 UTC
22.0,license,971,1,7863.332351671355,ledger,0.0,0.0,,,,0.9166666666666666,2026-09-16 08:09:19 UTC
23.0,license,77,1,6814.927712260451,ledger,0.0,0.0,,,,0.9583333333333334,2026-09-16 09:09:19 UTC
23.0,license,807,1,6814.927712260451,ledger,0.0,0.0,,,,0.9583333333333334,2026-09-16 09:09:19 UTC
23.0,license,1000,1,6814.927712260451,ledger,0.0,0.0,,,,0.9583333333333334,2026-09-16 09:09:19 UTC
24.0,license,160,1,5933.328009244458,ledger,0.0,0.0,,,,1.0,2026-09-16 10:09:19 UTC
24.0,license,160,1,5933.328009244458,ledger,0.0,0.0,,,,1.0,2026-09-16 10:09:19 UTC
24.0,license,160,1,5933.328009244458,ledger,0.0,0.0,,,,1.0,2026-09-16 10:09:19 UTC
25.0,license,57,1,5191.993979289569,wallet/cash,1.9830249420222708,1495.985206006269,,,,1.0416666666666667,2026-09-16 11:09:19 UTC
25.0,license,774,1,5191.993979289569,wallet/cash,1.984075721704151,1495.985206006269,,,,1.0416666666666667,2026-09-16 11:09:19 UTC
25.0,license,260,1,5191.993979289569,wallet/cash,1.985127336798443,1495.985206006269,,,,1.0416666666666667,2026-09-16 11:09:19 UTC
25.0,license,570,1,5191.993979289569,wallet/cash,1.9861797881947678,1495.985206006269,,,,1.0416666666666667,2026-09-16 11:09:19 UTC
25.0,license,47,1,5191.993979289569,wallet/cash,1.9872330767733724,1495.985206006269,,,,1.0416666666666667,2026-09-16 11:09:19 UTC
25.0,license,519,1,5191.993979289569,wallet/cash,1.98828720343044,1495.985206006269,,,,1.0416666666666667,2026-09-16 11:09:19 UTC
25.0,license,838,1,5191.993979289569,wallet/cash,1.9893421690499673,1495.985206006269,,,,1.0416666666666667,2026-09-16 11:09:19 UTC
25.0,license,452,1,5191.993979289569,wallet/cash,1.9903979745234501,1495.985206006269,,,,1.0416666666666667,2026-09-16 11:09:19 UTC
25.0,license,313,1,5191.993979289569,wallet/cash,1.9914546207423847,1495.985206006269,,,,1.0416666666666667,2026-09-16 11:09:19 UTC
25.0,license,167,1,5191.993979289569,wallet/cash,1.9925121086020168,1495.985206006269,,,,1.0416666666666667,2026-09-16 11:09:19 UTC
25.0,license,353,1,5191.993979289569,wallet/cash,1.993570438993842,1495.985206006269,,,,1.0416666666666667,2026-09-16 11:09:19 UTC
25.0,license,695,1,5191.993979289569,wallet/cash,1.994629612813107,1495.985206006269,,,,1.0416666666666667,2026-09-16 11:09:19 UTC
25.0,license,978,1,5191.993979289569,wallet/cash,1.9956896309588064,1495.985206006269,,,,1.0416666666666667,2026-09-16 11:09:19 UTC
