iteration,max_abs_log_price_error,peak_h,last_price_ratio,peak_utc
1,0.06959225095306687,139.0,0.9801986733067553,2026-09-21 05:09:19 UTC
2,0.04047379881580862,163.0,0.9704455335485075,2026-09-22 05:09:19 UTC
3,0.04610055910428713,139.0,0.9602374070145018,2026-09-21 05:09:19 UTC
4,0.07998868844643439,0.0,0.9509561155737738,2026-09-15 10:09:19 UTC
5,0.06582305689997503,163.0,0.9414939441265695,2026-09-22 05:09:19 UTC
