scenario,mean_absolute_log_error,median_actual_over_predicted
Adaptive; Charters closed,1.1810177652493596,0.4030469518110363
ETH Charters open at +48h,1.1427260189651332,0.4072285038349671
Buybacks and POL executed,1.1019706881032727,0.4366521256562879
"Additional 3,000 ETH/day",0.7719694384236433,0.9827479615812601
Flat price beliefs,1.044318699236697,0.4092244115886667
External funding only,1.159829802804271,0.4188361570718691
10% buy and sell taxes,1.0388494554497585,0.6353592204101589
No initial banker cash/inventory,1.195937321201855,0.39213396868528566
