hour,event,charter,count,price_tokens,funding,eth,inventory_tokens,gross_tokens,resolution_fee,net_eth,elapsed_days,timestamp_utc
18.0,license,807,1,14452.779353024242,ledger,0.0,0.0,,,,0.75,2026-09-16 04:09:19 UTC
18.0,license,1000,1,14452.779353024242,ledger,0.0,0.0,,,,0.75,2026-09-16 04:09:19 UTC
18.0,license,95,1,14452.779353024242,ledger,0.0,0.0,,,,0.75,2026-09-16 04:09:19 UTC
18.0,license,725,1,14452.779353024242,ledger,0.0,0.0,,,,0.75,2026-09-16 04:09:19 UTC
18.0,license,160,1,14452.779353024242,ledger,0.0,0.0,,,,0.75,2026-09-16 04:09:19 UTC
18.0,license,549,1,14452.779353024242,ledger,0.0,0.0,,,,0.75,2026-09-16 04:09:19 UTC
18.0,license,456,1,14452.779353024242,ledger,0.0,0.0,,,,0.75,2026-09-16 04:09:19 UTC
18.0,license,841,1,14452.779353024242,ledger,0.0,0.0,,,,0.75,2026-09-16 04:09:19 UTC
18.0,license,501,1,14452.779353024242,ledger,0.0,0.0,,,,0.75,2026-09-16 04:09:19 UTC
18.0,license,497,1,14452.779353024242,ledger,0.0,0.0,,,,0.75,2026-09-16 04:09:19 UTC
18.0,license,950,1,14452.779353024242,ledger,0.0,0.0,,,,0.75,2026-09-16 04:09:19 UTC
18.0,license,160,1,14452.779353024242,ledger,0.0,0.0,,,,0.75,2026-09-16 04:09:19 UTC
18.0,license,456,1,14452.779353024242,ledger,0.0,0.0,,,,0.75,2026-09-16 04:09:19 UTC
18.0,license,841,1,14452.779353024242,ledger,0.0,0.0,,,,0.75,2026-09-16 04:09:19 UTC
18.0,license,497,1,14452.779353024242,ledger,0.0,0.0,,,,0.75,2026-09-16 04:09:19 UTC
18.0,license,501,1,14452.779353024242,ledger,0.0,0.0,,,,0.75,2026-09-16 04:09:19 UTC
18.0,license,456,1,14452.779353024242,ledger,0.0,0.0,,,,0.75,2026-09-16 04:09:19 UTC
18.0,license,841,1,14452.779353024242,ledger,0.0,0.0,,,,0.75,2026-09-16 04:09:19 UTC
18.0,license,501,1,14452.779353024242,ledger,0.0,0.0,,,,0.75,2026-09-16 04:09:19 UTC
18.0,license,497,1,14452.779353024242,ledger,0.0,0.0,,,,0.75,2026-09-16 04:09:19 UTC
20.0,license,444,1,10592.770668170444,ledger,0.0,0.0,,,,0.8333333333333334,2026-09-16 06:09:19 UTC
20.0,license,733,1,10592.770668170444,ledger,0.0,0.0,,,,0.8333333333333334,2026-09-16 06:09:19 UTC
20.0,license,747,1,10592.770668170444,ledger,0.0,0.0,,,,0.8333333333333334,2026-09-16 06:09:19 UTC
20.0,license,791,1,10592.770668170444,ledger,0.0,0.0,,,,0.8333333333333334,2026-09-16 06:09:19 UTC
20.0,license,814,1,10592.770668170444,ledger,0.0,0.0,,,,0.8333333333333334,2026-09-16 06:09:19 UTC
20.0,license,786,1,10592.770668170444,ledger,0.0,0.0,,,,0.8333333333333334,2026-09-16 06:09:19 UTC
20.0,license,510,1,10592.770668170444,ledger,0.0,0.0,,,,0.8333333333333334,2026-09-16 06:09:19 UTC
20.0,license,9,1,10592.770668170444,ledger,0.0,0.0,,,,0.8333333333333334,2026-09-16 06:09:19 UTC
20.0,license,297,1,10592.770668170444,ledger,0.0,0.0,,,,0.8333333333333334,2026-09-16 06:09:19 UTC
20.0,license,133,1,10592.770668170444,ledger,0.0,0.0,,,,0.8333333333333334,2026-09-16 06:09:19 UTC
20.0,license,634,1,10592.770668170444,ledger,0.0,0.0,,,,0.8333333333333334,2026-09-16 06:09:19 UTC
20.0,license,298,1,10592.770668170444,ledger,0.0,0.0,,,,0.8333333333333334,2026-09-16 06:09:19 UTC
20.0,license,160,1,10592.770668170444,ledger,0.0,0.0,,,,0.8333333333333334,2026-09-16 06:09:19 UTC
20.0,license,920,1,10592.770668170444,ledger,0.0,0.0,,,,0.8333333333333334,2026-09-16 06:09:19 UTC
20.0,license,621,1,10592.770668170444,ledger,0.0,0.0,,,,0.8333333333333334,2026-09-16 06:09:19 UTC
21.0,license,95,1,9110.102608260666,ledger,0.0,0.0,,,,0.875,2026-09-16 07:09:19 UTC
21.0,license,725,1,9110.102608260666,ledger,0.0,0.0,,,,0.875,2026-09-16 07:09:19 UTC
21.0,license,549,1,9110.102608260666,ledger,0.0,0.0,,,,0.875,2026-09-16 07:09:19 UTC
21.0,license,268,1,9110.102608260666,ledger,0.0,0.0,,,,0.875,2026-09-16 07:09:19 UTC
22.0,license,971,1,7863.332351671355,ledger,0.0,0.0,,,,0.9166666666666666,2026-09-16 08:09:19 UTC
22.0,license,950,1,7863.332351671355,ledger,0.0,0.0,,,,0.9166666666666666,2026-09-16 08:09:19 UTC
23.0,license,77,1,6814.927712260451,ledger,0.0,0.0,,,,0.9583333333333334,2026-09-16 09:09:19 UTC
23.0,license,807,1,6814.927712260451,ledger,0.0,0.0,,,,0.9583333333333334,2026-09-16 09:09:19 UTC
23.0,license,1000,1,6814.927712260451,ledger,0.0,0.0,,,,0.9583333333333334,2026-09-16 09:09:19 UTC
25.0,license,905,1,5191.993979289569,wallet/cash,1.9808791500661387,1495.985206006269,,,,1.0416666666666667,2026-09-16 11:09:19 UTC
25.0,license,628,1,5191.993979289569,wallet/cash,1.9819282244417031,1495.985206006269,,,,1.0416666666666667,2026-09-16 11:09:19 UTC
25.0,license,312,1,5191.993979289569,wallet/cash,1.9829781324241893,1495.985206006269,,,,1.0416666666666667,2026-09-16 11:09:19 UTC
25.0,license,939,1,5191.993979289569,wallet/cash,1.9840288748957184,1495.985206006269,,,,1.0416666666666667,2026-09-16 11:09:19 UTC
25.0,license,163,1,5191.993979289569,wallet/cash,1.985080452740287,1495.985206006269,,,,1.0416666666666667,2026-09-16 11:09:19 UTC
25.0,license,521,1,5191.993979289569,wallet/cash,1.9861328668465792,1495.985206006269,,,,1.0416666666666667,2026-09-16 11:09:19 UTC
25.0,license,586,1,5191.993979289569,wallet/cash,1.9871861180976538,1495.985206006269,,,,1.0416666666666667,2026-09-16 11:09:19 UTC
25.0,license,662,1,5191.993979289569,wallet/cash,1.9882402073859446,1495.985206006269,,,,1.0416666666666667,2026-09-16 11:09:19 UTC
25.0,license,193,1,5191.993979289569,wallet/cash,1.9892951355954482,1495.985206006269,,,,1.0416666666666667,2026-09-16 11:09:19 UTC
25.0,license,538,1,5191.993979289569,wallet/cash,1.9903509036223475,1495.985206006269,,,,1.0416666666666667,2026-09-16 11:09:19 UTC
25.0,license,154,1,5191.993979289569,wallet/cash,1.9914075123543888,1495.985206006269,,,,1.0416666666666667,2026-09-16 11:09:19 UTC
25.0,license,311,1,5191.993979289569,wallet/cash,1.9924649626849436,1495.985206006269,,,,1.0416666666666667,2026-09-16 11:09:19 UTC
25.0,license,134,1,5191.993979289569,wallet/cash,1.993523255509257,1495.985206006269,,,,1.0416666666666667,2026-09-16 11:09:19 UTC
25.0,license,118,1,5191.993979289569,wallet/cash,1.9945823917216376,1495.985206006269,,,,1.0416666666666667,2026-09-16 11:09:19 UTC
25.0,license,961,1,5191.993979289569,wallet/cash,1.9956423722201435,1495.985206006269,,,,1.0416666666666667,2026-09-16 11:09:19 UTC
25.0,license,450,1,5191.993979289569,wallet/cash,1.9967031979000205,1495.985206006269,,,,1.0416666666666667,2026-09-16 11:09:19 UTC
25.0,license,187,1,5191.993979289569,wallet/cash,1.9977648696612014,1495.985206006269,,,,1.0416666666666667,2026-09-16 11:09:19 UTC
25.0,license,265,1,5191.993979289569,wallet/cash,1.9988273884026817,1495.985206006269,,,,1.0416666666666667,2026-09-16 11:09:19 UTC
25.0,license,317,1,5191.993979289569,wallet/cash,1.9998907550290812,1495.985206006269,,,,1.0416666666666667,2026-09-16 11:09:19 UTC
25.0,license,74,1,5191.993979289569,wallet/cash,2.000954970437521,1495.985206006269,,,,1.0416666666666667,2026-09-16 11:09:19 UTC
26.0,license,710,1,4568.608850994913,wallet/cash,1.6969439531686987,1495.985206006269,,,,1.0833333333333333,2026-09-16 12:09:19 UTC
26.0,license,772,1,4568.608850994913,wallet/cash,1.697702324343778,1495.985206006269,,,,1.0833333333333333,2026-09-16 12:09:19 UTC
26.0,license,407,1,4568.608850994913,wallet/cash,1.6984612040137643,1495.985206006269,,,,1.0833333333333333,2026-09-16 12:09:19 UTC
26.0,license,919,1,4568.608850994913,wallet/cash,1.6992205926304988,1495.985206006269,,,,1.0833333333333333,2026-09-16 12:09:19 UTC
26.0,license,563,1,4568.608850994913,wallet/cash,1.6999804906495721,1495.985206006269,,,,1.0833333333333333,2026-09-16 12:09:19 UTC
26.0,license,358,1,4568.608850994913,wallet/cash,1.700740898524701,1495.985206006269,,,,1.0833333333333333,2026-09-16 12:09:19 UTC
26.0,license,699,1,4568.608850994913,wallet/cash,1.701501816717101,1495.985206006269,,,,1.0833333333333333,2026-09-16 12:09:19 UTC
26.0,license,541,1,4568.608850994913,wallet/cash,1.7022632456786129,1495.985206006269,,,,1.0833333333333333,2026-09-16 12:09:19 UTC
26.0,license,845,1,4568.608850994913,wallet/cash,1.7030251858667032,1495.985206006269,,,,1.0833333333333333,2026-09-16 12:09:19 UTC
26.0,license,863,1,4568.608850994913,wallet/cash,1.7037876377435244,1495.985206006269,,,,1.0833333333333333,2026-09-16 12:09:19 UTC
26.0,license,753,1,4568.608850994913,wallet/cash,1.7045506017637306,1495.985206006269,,,,1.0833333333333333,2026-09-16 12:09:19 UTC
26.0,license,290,1,4568.608850994913,wallet/cash,1.7053140783875997,1495.985206006269,,,,1.0833333333333333,2026-09-16 12:09:19 UTC
26.0,license,371,1,4568.608850994913,wallet/cash,1.7060780680716603,1495.985206006269,,,,1.0833333333333333,2026-09-16 12:09:19 UTC
26.0,license,201,1,4568.608850994913,wallet/cash,1.7068425712808777,1495.985206006269,,,,1.0833333333333333,2026-09-16 12:09:19 UTC
26.0,license,528,1,4568.608850994913,wallet/cash,1.707607588468968,1495.985206006269,,,,1.0833333333333333,2026-09-16 12:09:19 UTC
26.0,license,520,1,4568.608850994913,wallet/cash,1.708373120103709,1495.985206006269,,,,1.0833333333333333,2026-09-16 12:09:19 UTC
26.0,license,965,1,4568.608850994913,wallet/cash,1.7091391666416291,1495.985206006269,,,,1.0833333333333333,2026-09-16 12:09:19 UTC
26.0,license,499,1,4568.608850994913,wallet/cash,1.7099057285458186,1495.985206006269,,,,1.0833333333333333,2026-09-16 12:09:19 UTC
26.0,license,904,1,4568.608850994913,wallet/cash,1.7106728062793684,1495.985206006269,,,,1.0833333333333333,2026-09-16 12:09:19 UTC
26.0,license,334,1,4568.608850994913,wallet/cash,1.7114404003044312,1495.985206006269,,,,1.0833333333333333,2026-09-16 12:09:19 UTC
26.0,license,468,1,4568.608850994913,wallet/cash,1.7122085110869096,1495.985206006269,,,,1.0833333333333333,2026-09-16 12:09:19 UTC
26.0,license,436,1,4568.608850994913,wallet/cash,1.7129771390842699,1495.985206006269,,,,1.0833333333333333,2026-09-16 12:09:19 UTC
26.0,license,840,1,4568.608850994913,wallet/cash,1.7137462847680394,1495.985206006269,,,,1.0833333333333333,2026-09-16 12:09:19 UTC
26.0,license,294,1,4568.608850994913,wallet/cash,1.7145159486022459,1495.985206006269,,,,1.0833333333333333,2026-09-16 12:09:19 UTC
26.0,license,834,1,4568.608850994913,wallet/cash,1.7152861310471674,1495.985206006269,,,,1.0833333333333333,2026-09-16 12:09:19 UTC
26.0,license,100,1,4568.608850994913,wallet/cash,1.716056832575269,1495.985206006269,,,,1.0833333333333333,2026-09-16 12:09:19 UTC
26.0,license,882,1,4568.608850994913,wallet/cash,1.7168280536468288,1495.985206006269,,,,1.0833333333333333,2026-09-16 12:09:19 UTC
