experiment,setting,peak_of_mean_price_h,peak_at_boundary,median_individual_peak_h,mean_peak_price_ratio,mean_final_price_ratio,mean_licenses,mean_gross_withdrawn
Spending pace,0.25,92.0,False,85.0,1.4976395395077942,1.0783252258910807,700.0,682881.232639736
Spending pace,0.5,48.0,False,48.0,2.592341744158743,1.4444450780664466,700.0,627008.7594250593
Spending pace,0.77,31.0,False,31.0,3.2048541593607807,1.3935235313868148,700.0,384044.2039316033
Spending pace,1.5,16.0,False,16.0,4.451118821456417,1.095686389070018,700.0,955765.2735462695
Valuation horizon,7.0,31.0,False,31.0,3.257569762195286,1.2378438180759006,700.0,801975.976670872
Valuation horizon,14.0,31.0,False,31.0,3.1934312065939077,1.1209988575688123,700.0,1008636.8487509802
Valuation horizon,30.0,31.0,False,31.0,3.2048541593607807,1.3935235313868148,700.0,384044.2039316033
Valuation horizon,60.0,31.0,False,31.0,3.2105149924704697,1.4139569802035301,700.0,906975.2033302365
