scenario,speculative_buys_ETH,fresh_license_buys_ETH,prefund_buys_ETH,internal_licenses,external_licenses,new_charter_ETH,new_charters,buybacks_ETH,POL_buys_ETH,hook_tax_ETH,LP_input_ETH_fees,gross_withdrawn_tokens,resolution_fee_tokens,new_external_capital_ETH
Adaptive; Charters closed,19458.346814350614,902.0662484597502,1904.9818864756216,768.3333333333334,631.6666666666666,0.0,0.0,0.0,0.0,1083.822731436098,218.20087050300256,1829375.353066206,487221.1592206087,0.0
ETH Charters open at +48h,20990.923275492238,856.0858230729318,2156.59346583473,783.5,616.5,115.79143971910037,122.5,0.0,0.0,1163.1812404086745,235.23530513111896,2256306.538424865,671798.08317634,0.0
Buybacks and POL executed,19450.961268603667,884.3074277030937,2010.4869483424243,798.8333333333334,601.1666666666666,0.0,0.0,372.33904090679033,84.09851887044805,1119.2287388813497,223.4614934033789,1971105.8198675748,517659.99048715713,0.0
"Additional 3,000 ETH/day",47655.652714146796,633.4697211517315,2153.3300877946363,1003.8333333333334,396.1666666666667,0.0,0.0,0.0,0.0,2354.19905479198,494.33603472631285,1575577.5360702372,403268.20591202634,42000.0
Flat price beliefs,0.0,210.4614896176818,0.0,796.0,604.0,0.0,0.0,0.0,0.0,106.12436918413324,2.0625225982532815,556835.4307435802,49414.02010512043,0.0
External funding only,15702.645742435605,1254.846072903021,1639.2806221235821,0.0,1393.5833333333333,0.0,0.0,0.0,0.0,940.2565707526501,182.24836988712968,1955440.2283426092,445688.11845127685,0.0
10% buy and sell taxes,13228.181688729506,767.1843351213919,869.5232673731565,540.8333333333334,859.1666666666666,0.0,0.0,0.0,0.0,2945.9764262371045,133.7840036210167,2408090.851557633,796931.2075260011,0.0
No initial banker cash/inventory,15288.614535507731,0.8296907397633152,0.2548053959606586,1398.75,1.25,0.0,0.0,0.0,0.0,777.9752012699928,149.8390505101059,1890679.3276213736,413702.09622530633,0.0
