hour,price,eth_principal,token_principal,sqrt,scale,branches,charters,remaining_slots,pending,withdrawn_7d,protected_branch_balance,protected_branch_count,resolution_fee_small,buy_tax,sell_tax,multiplier,banker_cash,speculator_cash,banker_inventory,speculator_inventory,prospective_cash,contraction_eth,expansion_eth,pol_eth,team_eth,unallocated_hook_fees,uncollected_lp_eth,uncollected_lp_tokens,issued,physical_burned,ledger_burned,recycle_buffer,momentum_day,forecast_price_7d,eth_accounting_error,token_accounting_error,ledger_accounting_error,pool_buy_eth,pool_sell_eth_gross,pol_added_eth,spec_buy_eth,spec_sell_eth,license_buy_eth,prefund_buy_eth,banker_inventory_sell_eth,withdraw_sell_eth,buyback_eth,pol_buy_eth,charter_eth,new_capital_eth,licenses_internal,licenses_external,license_tokens_internal,license_tokens_inventory,license_tokens_fresh,prefund_tokens,branches_retired,charters_created,gross_withdrawn,resolution_fee_tokens,hook_tax_eth,lp_fee_eth,lp_fee_tokens,licenses_bought
0.0,0.0001849385838709796,3352.87912897183,23460570.301330138,73.53366904231206,1.0,1099.0,999.0,8891.0,887398.7644437979,12072.042428449387,242.94800759541397,1.0,0.020099109410085685,0.02,0.03,1.0,1999.9999999999993,10000.0,1494489.2208002629,73129971.81921288,1000.0,111.7189937774005,111.7189937774005,0.0,0.0,0.0,0.0,0.0,179853.00925925924,0.0,0.0,121.23062405312744,1.414616466407087,0.002512214928241695,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,0.00020029637679272615,3530.7647533788763,22536328.07424155,70.65835309483147,1.0,1099.0,999.0,8891.0,916565.4311104645,12072.042428449387,269.4872857270488,1.0,0.020099109410085685,0.02,0.03,1.0,1999.9999999999993,9811.386787241836,1494489.2208002629,74049662.41453554,1000.0,111.7189937774005,111.7189937774005,0.0,0.0,8.055046684455384,2.672541666666666,4551.631765911715,209019.67592592593,0.0,0.0,121.23062405312744,1.4545913818192924,0.0025106073462612057,3.637978807091713e-12,-1.9868214925130207e-08,-3.637978807091713e-11,264.58162499999986,86.6960005929573,0.0,272.7083333333333,84.09512057516858,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.055046684455384,2.672541666666666,4551.631765911715,0.0
2.0,0.0002156827833233817,3702.396477205426,21710569.19217271,68.09141238798416,1.0,1099.0,999.0,8891.0,945732.0977771314,12072.042428449387,296.02656385868363,1.0,0.020099109410085685,0.02,0.03,1.0,1999.9999999999993,9628.839858046755,1494489.2208002629,74870907.43749852,1000.0,111.7189937774005,111.7189937774005,0.0,0.0,16.297710386325708,5.345083333333332,9065.490871782535,238186.34259259258,0.0,0.0,121.23062405312744,1.4803099492027403,0.002508884371280167,9.701276818911234e-12,-4.967053731282552e-09,4.3655745685100555e-11,264.58162499999986,92.94990117345476,0.0,272.7083333333333,90.16140413825111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.242663701870308,2.672541666666666,4513.859105870815,0.0
3.0,0.0002310641076638583,3867.800911870691,20969636.40929133,65.78605124860262,1.0,1099.0,999.0,8891.0,974898.764443798,12072.042428449387,322.56584199031846,1.0,0.020099109410085685,0.02,0.03,1.0,1999.9999999999993,9452.333399338118,1494489.2208002629,75607363.82046984,1000.0,111.7189937774005,111.7189937774005,0.0,0.0,24.72719276303455,8.017624999999999,13541.890781864384,267353.00925925927,0.0,0.0,121.23062405312744,1.494139586767919,0.002507046615673316,1.4855080128957827e-11,9.934107462565104e-09,1.1641532182693481e-10,264.58162499999986,99.17719033473884,0.0,272.7083333333333,96.20187462469669,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.429482376708831,2.672541666666666,4476.39991008185,0.0
4.0,0.0002464479829527092,4027.6073206261626,20299959.8881425,63.6997086665902,1.0,1099.0,999.0,8891.0,1004065.4311104644,12072.042428449387,349.10512012195323,1.0,0.020099109410085685,0.02,0.03,1.0,1999.9999999999993,9281.257025761983,1494489.2208002629,76272601.09004147,1000.0,111.7189937774005,111.7189937774005,0.0,0.0,33.32461591703724,10.690166666666665,17981.14235906111,296519.67592592596,0.0,0.0,121.23062405312744,1.498361027198767,0.002505105859967664,2.0615213240186374e-11,2.483526865641276e-08,-2.6193447411060333e-10,264.58162499999986,104.77521624453384,0.0,272.7083333333333,101.63195975719782,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.597423154002682,2.672541666666666,4439.251577196718,0.0
5.0,0.0002616892762145858,4181.084726313117,19695608.85737686,61.81688304579139,1.0,1099.0,999.0,8891.0,1033232.0977771311,12072.042428449387,375.6443982535881,1.0,0.020099109410085685,0.02,0.03,1.0,1999.9999999999993,9116.319785162304,1494489.2208002629,76872549.70927967,1000.0,111.7189937774005,111.7189937774005,0.0,0.0,42.1119091630953,13.36270833333333,22383.55388651624,325686.34259259264,0.0,0.0,121.23062405312744,1.4937080266179124,0.0025030486927734917,2.091837814077735e-11,2.9802322387695312e-08,-5.820766091346741e-11,264.58162499999986,111.10421931304579,0.0,272.7083333333333,107.77109273365441,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.78729324605804,2.672541666666666,4402.411527455156,0.0
6.0,0.00027681969597973763,4328.978423393769,19146120.486570198,60.10375786264953,1.0,1099.0,999.0,8891.0,1062398.7644437978,12072.042428449387,402.18367638522295,1.0,0.020099109410085685,0.02,0.03,1.0,1999.9999999999993,8956.798741910734,1494489.2208002629,77417672.20288382,1000.0,111.7189937774005,111.7189937774005,0.0,0.0,51.06671366734225,16.035249999999998,26749.43108902183,354853.0092592593,0.0,0.0,121.23062405312744,1.4821379028891064,0.0025008890494438466,1.546140993013978e-11,2.7318795522054035e-08,-8.731149137020111e-11,264.58162499999986,116.68792791934243,0.0,272.7083333333333,113.18729008176216,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.954804504246939,2.672541666666666,4365.877202505565,0.0
7.0,0.0002918503680303307,4471.912261126263,18643249.476234075,58.53559056204184,1.0,1099.0,999.0,8891.0,1091565.4311104645,12072.042428449387,428.7229545168578,1.0,0.020099109410085685,0.02,0.03,1.0,1999.9999999999993,8802.088762226875,1494489.2208002629,77916213.56715472,1000.0,111.7189937774005,111.7189937774005,0.0,0.0,60.170313952033915,18.7077916666667,31079.07715424921,384019.675925926,0.0,0.0,121.23062405312744,1.465096018186012,0.002498638602032096,9.701276818911234e-12,1.862645149230957e-08,0.0,264.58162499999986,121.64778726749962,0.0,272.7083333333333,117.99835364947462,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.103600284691657,2.672541666666666,4329.64606522737,0.0
8.0,0.0003066947966184717,4609.153584628698,18184512.758614797,57.10141746721707,1.0,1099.0,999.0,8891.0,1120732.0977771312,12072.042428449387,455.26223264849267,1.0,0.020099109410085685,0.02,0.03,1.0,1999.9999999999993,8652.900521346175,1494489.2208002629,78370656.56917442,1000.0,111.7189937774005,111.7189937774005,0.0,0.0,69.44468966362737,21.380333333333407,35372.79275380401,413186.34259259264,0.0,0.0,121.23062405312744,1.4431555194967383,0.0024962839299657743,2.7284841053187847e-12,-1.241763432820638e-09,8.731149137020111e-11,264.58162499999986,127.34030149755927,0.0,272.7083333333333,123.52009245263248,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.274375711593445,2.672541666666666,4293.7155995548055,0.0
9.0,0.00032134298235549904,4741.11977593288,17764148.26378495,55.784771999824585,1.0,1099.0,999.0,8891.0,1149898.7644437978,12072.042428449387,481.80151078012744,1.0,0.020099109410085685,0.02,0.03,1.0,1999.9999999999993,8508.829158697783,1494489.2208002629,78786762.980694,1000.0,111.7189937774005,111.7189937774005,0.0,0.0,78.87731934116847,24.052875000000103,39630.87606410619,442353.0092592594,0.0,0.0,121.23062405312744,1.417296946289053,0.0024938328944673163,0.0,2.9802322387695312e-08,-5.820766091346741e-11,264.58162499999986,132.61543369581423,0.0,272.7083333333333,128.63697068493983,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.432629677541094,2.672541666666666,4258.083310302208,0.0
