hour,price,eth_principal,token_principal,sqrt,scale,branches,charters,remaining_slots,pending,withdrawn_7d,protected_branch_balance,protected_branch_count,resolution_fee_small,buy_tax,sell_tax,multiplier,banker_cash,speculator_cash,banker_inventory,speculator_inventory,prospective_cash,contraction_eth,expansion_eth,pol_eth,team_eth,unallocated_hook_fees,uncollected_lp_eth,uncollected_lp_tokens,issued,physical_burned,ledger_burned,recycle_buffer,momentum_day,forecast_price_7d,eth_accounting_error,token_accounting_error,ledger_accounting_error,pool_buy_eth,pool_sell_eth_gross,pol_added_eth,spec_buy_eth,spec_sell_eth,license_buy_eth,prefund_buy_eth,banker_inventory_sell_eth,withdraw_sell_eth,buyback_eth,pol_buy_eth,charter_eth,new_capital_eth,licenses_internal,licenses_external,license_tokens_internal,license_tokens_inventory,license_tokens_fresh,prefund_tokens,branches_retired,charters_created,gross_withdrawn,resolution_fee_tokens,hook_tax_eth,lp_fee_eth,lp_fee_tokens,licenses_bought,elapsed_days,timestamp_utc
76.0,0.00039966700543190995,5378.290600219411,16087327.979864562,50.52352939535629,1.0,1272.0,916.3333333333334,7891.333333333333,2402753.3595685754,720405.0237844029,2140.2287124205695,1.0,0.33152890091026416,0.02,0.03,1.0,1623.9365952091114,7605.655947663273,913001.5334309634,79800570.18462887,1000.0,111.7189937774005,482.3310412545101,79.4168673165235,79.4168673165235,81.49880604846389,134.05139772128396,274764.8442054373,2396519.675925927,1621006.5754755242,48346.60254699082,9582.794200840162,-0.056014650986415226,0.0004482082282038088,-1.3066407215471068e-10,1.0809162631630898e-07,-2.5271826113263765e-09,90.55338880410052,109.55136971740247,0.0,63.45868093098462,89.24524887015276,0.0,29.876083864006656,17.019579755727616,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63494.951315728635,0.0,0.0,0.0,0.0,5.1532363874219,0.9146806949909143,2722.4199735936377,0.0,3.1666666666666665,2026-09-18 14:09:19 UTC
77.0,0.00039379262618635257,5333.267441637371,16193530.252600476,50.85677316974275,1.0,1272.0,916.3333333333334,7891.333333333333,2432460.0962209394,720405.0237844029,2163.6233424183124,1.0,0.33152890091026416,0.02,0.03,1.0,1631.9519188843133,7636.946631036545,891015.8908088269,79713433.22359683,1000.0,111.7189937774005,482.3310412545101,79.4168673165235,79.4168673165235,86.48952434253272,134.7778309607813,277685.17512370966,2425686.3425925933,1621006.5754755242,48346.60254699082,9582.794200840162,-0.0777863515876785,0.00041768192135591776,-1.318767317570746e-10,1.0064104571938515e-07,-2.2021898378928504e-09,71.91689071023379,116.94004929227344,0.0,58.2668766601139,89.55756003338549,0.0,15.858964104917836,23.874287780119744,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37607.98669156308,0.0,0.0,0.0,0.0,4.990718294068838,0.726433239497311,2920.330918272317,0.0,3.2083333333333335,2026-09-18 15:09:19 UTC
78.0,0.000388545880398556,5292.231826182135,16293919.000343887,51.171786132697605,1.0,1272.0,916.3333333333334,7891.333333333333,2462166.8328733034,720405.0237844029,2187.0179724160553,1.0,0.33152890091026416,0.02,0.03,1.0,1647.7850088036523,7656.74696438782,846655.7249689028,79654592.42453687,1000.0,111.7189937774005,482.3310412545101,79.4168673165235,79.4168673165235,91.1977802139538,135.47176727398303,280497.39228017634,2454853.00925926,1621006.5754755242,48346.60254699082,9582.794200840162,-0.09595048497848892,0.00039631095343933544,-1.3217989665766558e-10,1.0809162631630898e-07,-1.988761747876803e-09,68.69969500697707,109.73531046221358,0.0,57.5935309872932,77.39386433856785,0.0,13.216296890440328,29.049386809779318,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30236.619081147324,0.0,0.0,0.0,0.0,4.708255871421078,0.6939363132017885,2812.2171564666664,0.0,3.25,2026-09-18 16:09:19 UTC
79.0,0.00038195040745183707,5238.907406797766,16433038.256781409,51.608184624949395,1.0,1272.0,916.3333333333334,7891.333333333333,2491873.5695256675,720405.0237844029,2210.412602413798,1.0,0.33152890091026416,0.02,0.03,1.0,1673.2930930496025,7678.689412679942,770629.6845480241,79588251.90967782,1000.0,111.7189937774005,482.3310412545101,79.4168673165235,79.4168673165235,96.36058988993342,136.18284444430023,283744.69112259406,2484019.6759259263,1621006.5754755242,48346.60254699082,9582.794200840162,-0.12099819016182772,0.00037400384596735143,-1.315735668564836e-10,1.1678397034605344e-07,-1.7801842962702115e-09,70.3966398614016,123.72105924577052,0.0,57.330428506654236,79.27287679877605,0.0,15.228466423671058,40.73655066962136,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33095.471729296725,0.0,0.0,0.0,0.0,5.162809675979623,0.7110771703171879,3247.298842417731,0.0,3.2916666666666665,2026-09-18 17:09:19 UTC
80.0,0.0003760339894059944,5192.217407351738,16549219.586666165,51.97278577678002,1.0,1271.9166666666667,916.25,7890.583333333333,2520404.519326948,721580.8106354862,2233.8072324115406,1.0,0.33235233500305206,0.02,0.03,1.0,1701.5238421499878,7691.435816506187,694437.0794094164,79546044.96023029,1000.0,111.7189937774005,482.3310412545101,79.4168673165235,79.4168673165235,101.35603858817642,136.90024226545543,286861.6106283612,2513186.342592593,1621006.5754755242,48485.14857033946,9721.34022418879,-0.1393113536135094,0.00035215104171527103,-1.318767317570746e-10,1.1988837892810503e-07,-1.7704830194513004e-09,71.02238429436844,117.71238374039642,0.0,68.49921033644898,81.24561416269377,0.0,4.70464896510578,32.64473097166148,0.2906670938292662,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10768.157187790455,0.08333333333333333,0.0,1175.7868510831893,277.09204669725904,4.9954486982429875,0.7173978211552368,3116.9195057670513,0.0,3.3333333333333335,2026-09-18 18:09:19 UTC
81.0,0.0003711482563952041,5154.028786911605,16642258.162901955,52.26475907733846,1.0,1271.6666666666667,916.1666666666666,7890.0,2544449.3704968914,727242.6961179065,2257.203287422547,1.0,0.3365869508290668,0.02,0.03,1.0,1726.6443772060904,7698.616199023533,634984.8429693904,79513471.08728118,1000.0,111.7189937774005,482.3310412545101,79.4168673165235,79.4168673165235,106.45482294598014,137.68916077433576,289932.7223230083,2542353.0092592593,1621006.5754755242,49274.30204090494,10510.493694754286,-0.1508305443292933,0.00033570720735886795,-1.318767317570746e-10,1.2423455094297728e-07,-1.5425030142068863e-09,78.10293237915182,116.29155281928547,0.0,69.04970647296885,76.23008899031565,0.0,11.452182188288438,35.21732711491492,1.3553901294763395,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28004.97749526892,0.25,0.0,5661.885482420389,1578.3069411309878,5.098784357803712,0.7889185088803213,3071.1116946470315,0.0,3.375,2026-09-18 19:09:19 UTC
82.0,0.00036485547400242295,5104.004625595148,16767738.199199272,52.658511713250846,1.0,1262.5,909.3333333333334,7830.833333333333,2550837.947407835,750560.8558593268,2280.603630516943,1.0,0.35873027886669767,0.02,0.03,1.0,1764.0119268607477,7704.677852584351,550329.915180977,79482719.6022019,1000.0,111.7189937774005,482.3310412545101,79.4168673165235,79.4168673165235,112.20226999609092,138.5366718252063,293518.0578828692,2571519.675925926,1621006.5754755242,54103.902416877216,15340.094070726549,-0.16890699499666736,0.00031862712277563947,-1.318767317570746e-10,1.2590317055583e-07,-1.6055613135298092e-09,83.90359403618181,133.92775535263763,0.0,73.84792467240727,79.90957823322456,0.0,12.632794804176747,45.40534603682128,4.594998422012658,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34043.4514843033,9.166666666666666,0.0,23318.159741420284,9659.20075194453,5.747447050110811,0.8475110508705234,3585.3355598608046,0.0,3.4166666666666665,2026-09-18 20:09:19 UTC
83.0,0.0003597922562896837,5062.5307788855025,16878399.68279367,53.00560890541812,1.0,1262.5,909.3333333333334,7830.833333333333,2580544.684060199,750560.8558593268,2304.175996806792,1.0,0.35873027886669767,0.02,0.03,1.0,1803.0062735871636,7700.205211398476,443178.6338052349,79475506.52258138,1000.0,111.7189937774005,482.3310412545101,79.4168673165235,79.4168673165235,118.20480208420823,139.4862809061926,297220.93528470316,2600686.3425925924,1621006.5754755242,54103.902416877216,15340.094070726549,-0.18114861261526524,0.0003093914850089647,-1.3127040195589265e-10,1.1721082652608554e-07,-1.5182498221596081e-09,94.01129901764479,135.48514572729064,0.0,82.9909567770443,78.51831559117046,0.0,13.907929037885408,52.902275764301486,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37960.12450607416,0.0,0.0,0.0,0.0,6.002532088117314,0.949609080986311,3702.877401834046,0.0,3.4583333333333335,2026-09-18 21:09:19 UTC
84.0,0.0003569263743868464,5039.317529741226,16938901.969983615,53.195394486386164,1.0,1262.5,909.3333333333334,7830.833333333333,2610251.420712563,750560.8558593268,2327.7483630966412,1.0,0.35873027886669767,0.02,0.03,1.0,1826.9887617988377,7692.852196079309,377289.2632612413,79477569.20818804,1000.0,111.7189937774005,482.3310412545101,79.4168673165235,79.4168673165235,123.80911424031875,140.46574500185233,300545.3330321081,2629853.009259259,1621006.5754755242,54103.902416877216,15340.094070726549,-0.1809111420067543,0.000307287516918194,-1.3217989665766558e-10,1.1348553622762363e-07,-1.2126596023639042e-09,96.96694547031181,120.18019461458857,0.0,85.53627124487481,78.18325592570741,0.0,14.409044638769595,38.39153285044352,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38886.821375243366,0.0,0.0,0.0,0.0,5.604312156110545,0.9794640956597154,3324.39774740473,0.0,3.5,2026-09-18 22:09:19 UTC
85.0,0.0003557299887085425,5028.84965847446,16970770.153139155,53.29521351976465,1.0,1262.5,909.3333333333334,7830.833333333333,2639958.157364927,750560.8558593268,2351.3207293864903,1.0,0.35873027886669767,0.02,0.03,1.0,1837.0745015391476,7687.134752342361,345151.9739959899,79474846.91075934,1000.0,111.7189937774005,482.3310412545101,79.4168673165235,79.4168673165235,128.94616814038162,141.4282663651926,303536.7365705102,2659019.6759259254,1621006.5754755242,54103.902416877216,15340.094070726549,-0.17337628894463797,0.00031240116426465707,-1.318767317570746e-10,1.1472729966044426e-07,-9.022187441587448e-10,95.28961497068671,105.75748623745183,0.0,82.24599483911908,76.52855110217102,0.0,15.970470807847228,26.056210548157264,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42223.78621972585,0.0,0.0,0.0,0.0,5.137053900062882,0.9625213633402699,2991.403538402012,0.0,3.5416666666666665,2026-09-18 23:09:19 UTC
