hour,event,charter,count,price_tokens,funding,eth,inventory_tokens,gross_tokens,resolution_fee,net_eth,elapsed_days,timestamp_utc
25.0,license,57,1,5191.993979289569,wallet/cash,1.9865724306052632,1495.985206006269,,,,1.0416666666666667,2026-09-16 11:09:19 UTC
25.0,license,774,1,5191.993979289569,wallet/cash,1.9876260315740182,1495.985206006269,,,,1.0416666666666667,2026-09-16 11:09:19 UTC
25.0,license,260,1,5191.993979289569,wallet/cash,1.9886804709512116,1495.985206006269,,,,1.0416666666666667,2026-09-16 11:09:19 UTC
25.0,license,570,1,5191.993979289569,wallet/cash,1.9897357496245898,1495.985206006269,,,,1.0416666666666667,2026-09-16 11:09:19 UTC
25.0,license,47,1,5191.993979289569,wallet/cash,1.990791868481899,1495.985206006269,,,,1.0416666666666667,2026-09-16 11:09:19 UTC
25.0,license,519,1,5191.993979289569,wallet/cash,1.9918488284202598,1495.985206006269,,,,1.0416666666666667,2026-09-16 11:09:19 UTC
25.0,license,838,1,5191.993979289569,wallet/cash,1.992906630330231,1495.985206006269,,,,1.0416666666666667,2026-09-16 11:09:19 UTC
25.0,license,452,1,5191.993979289569,wallet/cash,1.9939652751061205,1495.985206006269,,,,1.0416666666666667,2026-09-16 11:09:19 UTC
25.0,license,313,1,5191.993979289569,wallet/cash,1.9950247636450498,1495.985206006269,,,,1.0416666666666667,2026-09-16 11:09:19 UTC
25.0,license,167,1,5191.993979289569,wallet/cash,1.9960850968441386,1495.985206006269,,,,1.0416666666666667,2026-09-16 11:09:19 UTC
25.0,license,353,1,5191.993979289569,wallet/cash,1.9971462756005078,1495.985206006269,,,,1.0416666666666667,2026-09-16 11:09:19 UTC
25.0,license,695,1,5191.993979289569,wallet/cash,1.9982083008112783,1495.985206006269,,,,1.0416666666666667,2026-09-16 11:09:19 UTC
25.0,license,978,1,5191.993979289569,wallet/cash,1.9992711733829447,1495.985206006269,,,,1.0416666666666667,2026-09-16 11:09:19 UTC
25.0,license,993,1,5191.993979289569,wallet/cash,2.000334894210753,1495.985206006269,,,,1.0416666666666667,2026-09-16 11:09:19 UTC
25.0,license,846,1,5191.993979289569,wallet/cash,2.0013994642021355,1495.985206006269,,,,1.0416666666666667,2026-09-16 11:09:19 UTC
26.0,license,302,1,4568.608850994913,wallet/cash,1.6964457994088529,1495.985206006269,,,,1.0833333333333333,2026-09-16 12:09:19 UTC
26.0,license,253,1,4568.608850994913,wallet/cash,1.6972038366338267,1495.985206006269,,,,1.0833333333333333,2026-09-16 12:09:19 UTC
26.0,license,284,1,4568.608850994913,wallet/cash,1.6979623820490424,1495.985206006269,,,,1.0833333333333333,2026-09-16 12:09:19 UTC
26.0,license,137,1,4568.608850994913,wallet/cash,1.6987214361166532,1495.985206006269,,,,1.0833333333333333,2026-09-16 12:09:19 UTC
26.0,license,262,1,4568.608850994913,wallet/cash,1.6994809992847506,1495.985206006269,,,,1.0833333333333333,2026-09-16 12:09:19 UTC
26.0,license,630,1,4568.608850994913,wallet/cash,1.700241072011738,1495.985206006269,,,,1.0833333333333333,2026-09-16 12:09:19 UTC
26.0,license,866,1,4568.608850994913,wallet/cash,1.701001654752269,1495.985206006269,,,,1.0833333333333333,2026-09-16 12:09:19 UTC
26.0,license,743,1,4568.608850994913,wallet/cash,1.7017627479638096,1495.985206006269,,,,1.0833333333333333,2026-09-16 12:09:19 UTC
26.0,license,871,1,4568.608850994913,wallet/cash,1.7025243521057,1495.985206006269,,,,1.0833333333333333,2026-09-16 12:09:19 UTC
26.0,license,257,1,4568.608850994913,wallet/cash,1.7032864676279076,1495.985206006269,,,,1.0833333333333333,2026-09-16 12:09:19 UTC
26.0,license,656,1,4568.608850994913,wallet/cash,1.7040490949982092,1495.985206006269,,,,1.0833333333333333,2026-09-16 12:09:19 UTC
26.0,license,798,1,4568.608850994913,wallet/cash,1.7048122346656343,1495.985206006269,,,,1.0833333333333333,2026-09-16 12:09:19 UTC
26.0,license,784,1,4568.608850994913,wallet/cash,1.705575887097023,1495.985206006269,,,,1.0833333333333333,2026-09-16 12:09:19 UTC
26.0,license,857,1,4568.608850994913,wallet/cash,1.7063400527442163,1495.985206006269,,,,1.0833333333333333,2026-09-16 12:09:19 UTC
26.0,license,598,1,4568.608850994913,wallet/cash,1.7071047320749924,1495.985206006269,,,,1.0833333333333333,2026-09-16 12:09:19 UTC
26.0,license,674,1,4568.608850994913,wallet/cash,1.7078699255430667,1495.985206006269,,,,1.0833333333333333,2026-09-16 12:09:19 UTC
26.0,license,937,1,4568.608850994913,wallet/cash,1.7086356336162178,1495.985206006269,,,,1.0833333333333333,2026-09-16 12:09:19 UTC
26.0,license,94,1,4568.608850994913,wallet/cash,1.7094018567490985,1495.985206006269,,,,1.0833333333333333,2026-09-16 12:09:19 UTC
26.0,license,416,1,4568.608850994913,wallet/cash,1.7101685954085495,1495.985206006269,,,,1.0833333333333333,2026-09-16 12:09:19 UTC
26.0,license,184,1,4568.608850994913,wallet/cash,1.7109358500529737,1495.985206006269,,,,1.0833333333333333,2026-09-16 12:09:19 UTC
