minutes,side,eth,transactions,attributed_eth,addresses,top_address,top_eth,top3_eth
5,buy,18.31608057518249,10,18.316080575182493,8,0xe52856c7da2deed8cd08359b594d890f2e7a5dca,10.192,17.7841556248851
5,sell,0.3697128011736855,4,0.3463450088000816,1,0x4cfd59ad1d7236af5c98248435b38e96554cd15b,0.3463450088000816,0.3463450088000816
20,buy,50.30322236022883,32,46.73286712115891,18,0x27d25ebe6637e4b173ec7d0546cd54d1b74828e0,20.255486328,36.324641952885095
20,sell,1.8587573002143263,19,1.773374905438288,5,0x4cfd59ad1d7236af5c98248435b38e96554cd15b,0.8079945113915257,1.4589044711147787
60,buy,77.40274232523652,62,62.994777409541584,33,0x27d25ebe6637e4b173ec7d0546cd54d1b74828e0,24.474342816,43.70307368423741
60,sell,13.710755771069412,35,13.601465807159288,15,0xefa988eabbb2b768ab95ce5a194a910b0050f377,11.236223910645286,12.376697827924156
