address,STANDARD,ETH,WETH,USDG,charters,tokens_at_0540,recent_tokens_added,recent_purchase_transactions_submitted,recent_submitted_ETH,known_protocol_address
0x47d579fe2962cca1f2936b30be1981eae391b1fe,704874.0313762841,1.9399289042400159,0.0,0.0,0,0.0,704874.0313762841,5,79.9,False
0x456408c79e4bed7c58d04098438971255bfa98f0,543165.3560146411,0.5014562026975578,0.0,0.0,1,452278.06690332846,90887.28911131268,11,10.5,False
0x451e9a00df8d6863a9aa9b1bb2eb6e1202ef76d6,75638.64289155876,0.0,0.0,0.0,0,4067.1251572649517,71571.51773429381,0,0.0,False
