charter_id,owner,price_tokens,ledger_used,wallet_used,new_tokens_needed
160,0xcab21d30dbbe7ef86618e1aea139f6c8a9b44c98,23776.68185829608,23776.68185829608,0.0,0.0
160,0xcab21d30dbbe7ef86618e1aea139f6c8a9b44c98,23776.68185829608,23776.68185829608,0.0,0.0
264,0x6ba9ad599e6271252817933831e3148936cf742a,23776.68185829608,23776.68185829608,0.0,0.0
456,0xa4a5cc8c29353f333d031f7df7a717ef86caa7de,23776.68185829608,23776.68185829608,0.0,0.0
456,0xa4a5cc8c29353f333d031f7df7a717ef86caa7de,23776.68185829608,23776.68185829608,0.0,0.0
497,0x8a43c0d6dd0ef5a28e22835fcb645930faee2221,23776.68185829608,23776.68185829608,0.0,0.0
497,0x8a43c0d6dd0ef5a28e22835fcb645930faee2221,23776.68185829608,23776.68185829608,0.0,0.0
497,0x8a43c0d6dd0ef5a28e22835fcb645930faee2221,23776.68185829608,23776.68185829608,0.0,0.0
501,0xeed2a31a29f91f3f148235fcc66fad810803d72a,23776.68185829608,23776.68185829608,0.0,0.0
501,0xeed2a31a29f91f3f148235fcc66fad810803d72a,23776.68185829608,23776.68185829608,0.0,0.0
501,0xeed2a31a29f91f3f148235fcc66fad810803d72a,23776.68185829608,23776.68185829608,0.0,0.0
549,0xd4bb7351a9b0d1b236e7523da7a972db4a100f08,23776.68185829608,23776.68185829608,0.0,0.0
725,0x338188207e6256f0179b110d7f7bbce5a838f8ad,23776.68185829608,23776.68185829608,0.0,0.0
780,0x2fbbbcd93cd7036c732d90ab8ffe7757e1310eb6,23776.68185829608,23776.68185829608,0.0,0.0
841,0xeb456428815f395e6f02d4982f5521116c89c620,23776.68185829608,23776.68185829608,0.0,0.0
841,0xeb456428815f395e6f02d4982f5521116c89c620,23776.68185829608,23776.68185829608,0.0,0.0
621,0x9c58d138adf9cb3d048d96b102c6ab4fb1b98594,23776.68185829608,13798.388032146268,9978.293826149813,0.0
634,0xe8e4eb3fe4a93b45ddc4589abdd8f8e006d0533d,23776.68185829608,13161.208140891375,10615.473717404706,0.0
9,0x1d7b4a9960f908ecc71405f74715fd7f05bf5581,23776.68185829608,12535.90499273342,11240.77686556266,0.0
786,0x735362a17532f349f2500425bad3cd891c3935d3,23776.68185829608,12531.064992733418,11245.616865562662,0.0
814,0x804958591b1ebec23cfa7c81a99a3f1ef5979ff8,23776.68185829608,12527.614992733417,11249.066865562663,0.0
654,0x5140087842da3cbc55ff69ba74b4239af219c4b6,23776.68185829608,3111.7622272226645,20664.919631073415,0.0
755,0x4ff25ae1b4bf1cee786d5458b43f116d3203d374,23776.68185829608,2549.464323519989,21227.217534776093,0.0
736,0xa61c3eeb92452964d5f690fe1ded2da252c358e4,23776.68185829608,2548.871797690665,21227.810060605414,0.0
700,0xf955dab8bdb1158dc0df449997a057ab9eb4f774,23776.68185829608,2548.704489743617,21227.977368552463,0.0
888,0x187500818fd3ba83270d546921abf44ede7fdde6,23776.68185829608,2545.784283521083,21230.897574774997,0.0
979,0xfefbc45f6bd1b8baeb2549267f5e906f8a3b42f1,23776.68185829608,1918.282164100237,21858.399694195843,0.0
716,0x2a194d883362c456c47502febf07b84803041024,23776.68185829608,1912.084505385168,21864.59735291091,0.0
491,0xd4b4cab5cf150f46448a8b312cf4d96521953c5f,23776.68185829608,1282.9364790611232,22493.74537923496,0.0
686,0xa9076b5ba0aa393915cc4143653e7a01b96b5e12,23776.68185829608,1282.9291636947692,22493.75269460131,0.0
191,0xf3753b1d10d40d8bb1e75b26c69fd6e844aa988f,23776.68185829608,1279.076006152248,22497.60585214383,0.0
4,0x6f32e655f12ea79e20d54d0f8f010820b61c9f15,23776.68185829608,638.7149927334183,23137.966865562663,0.0
19,0x8738117428f539ce10eaa583354bb3a0158b628a,23776.68185829608,638.7149927334183,23137.966865562663,0.0
27,0xd8b7350c83d334340d1cb8b03e6ad667ec2504ad,23776.68185829608,638.7149927334183,23137.966865562663,0.0
60,0x00b1c364d7f1a23f4b54d48c25e2bddf23d4e27b,23776.68185829608,638.7149927334183,23137.966865562663,0.0
75,0x7329c3685bedf5eb54fe1e067022f50bb40cbb52,23776.68185829608,638.7149927334183,23137.966865562663,0.0
92,0xb993494cf9f7d5a941349f1c7df2f3aa2fc877bd,23776.68185829608,638.7149927334183,23137.966865562663,0.0
109,0x62aabd981fc0b1538e16ffb3d47ada4feda9e585,23776.68185829608,638.7149927334183,23137.966865562663,0.0
112,0xe06ad0acb3956f98c9df77bd02cdfd4426b2208d,23776.68185829608,638.7149927334183,23137.966865562663,0.0
125,0xa6c88571d0028f47adba983a7240bf12af94633e,23776.68185829608,638.7149927334183,23137.966865562663,0.0
146,0x2bdf1a698d39a4358e2c162deacc038fadb8a9d5,23776.68185829608,638.7149927334183,23137.966865562663,0.0
157,0x27ed385662b631074034889332cd38483ce59852,23776.68185829608,638.7149927334183,23137.966865562663,0.0
167,0x602833282eea4ffe3f326f98eb11921cc03fd0c0,23776.68185829608,638.7149927334183,23137.966865562663,0.0
179,0x2cad1eb8f08201306cfcdc7f3049c59fce76d908,23776.68185829608,638.7149927334183,23137.966865562663,0.0
189,0x8fac841807e21807f511daf3c04a34cd78661f4c,23776.68185829608,638.7149927334183,23137.966865562663,0.0
196,0x18c66e1eaa1e9100d181a9652e13dfc9fffcaf3e,23776.68185829608,638.7149927334183,23137.966865562663,0.0
207,0x304856144a8cc390cd59c76f7df2dcd8174ba549,23776.68185829608,638.7149927334183,23137.966865562663,0.0
210,0xeac0fbba47ea4d3fff69019527092568492f2450,23776.68185829608,638.7149927334183,23137.966865562663,0.0
213,0xce6c2ae3b51aeff88d3bc32e3742db14df9fcb9a,23776.68185829608,638.7149927334183,23137.966865562663,0.0
218,0xd01fe03aba9eb73ff92e2b64e22daf99458e4f54,23776.68185829608,638.7149927334183,23137.966865562663,0.0
277,0xc091c59489accde50de0ccdf1eddf6c5e5257678,23776.68185829608,638.7149927334183,23137.966865562663,0.0
306,0x73590e94973f18f3b8715c2a852f3c13db42af2f,23776.68185829608,638.7149927334183,23137.966865562663,0.0
323,0xc11e4e2d66386679945d0509f6f0abe68f5e2db5,23776.68185829608,638.7149927334183,23137.966865562663,0.0
331,0xfcc81831f4a866fc9555c3c918590739e12bfb70,23776.68185829608,638.7149927334183,23137.966865562663,0.0
332,0xf24022ba0fea5926d30fba8fece6d7a852732989,23776.68185829608,638.7149927334183,23137.966865562663,0.0
337,0xe2b0b23c3adf35d0a25dc702333f59eb7633d707,23776.68185829608,638.7149927334183,23137.966865562663,0.0
342,0x4a38e59616b6817a5be09f4c6aea3d90ca477c81,23776.68185829608,638.7149927334183,23137.966865562663,0.0
362,0x737ce2f1d80b30ae6ec72d86bd6fc048fff0d5e9,23776.68185829608,638.7149927334183,23137.966865562663,0.0
377,0x1c0429fafd0cfb360c6e8a36cfb8e1fc7c2bc362,23776.68185829608,638.7149927334183,23137.966865562663,0.0
379,0xd8576cd2b17b17ffa06846e415027e2de78501b7,23776.68185829608,638.7149927334183,23137.966865562663,0.0
380,0x26d7b4fe67f4601643304b5023b3caf3a72e8504,23776.68185829608,638.7149927334183,23137.966865562663,0.0
433,0x0f9a7a53b36daf1f52fe7a616ea4b25c532d2fd2,23776.68185829608,638.7149927334183,23137.966865562663,0.0
443,0x0cd749583cfb0737c62a26b206d6b0782354b9ea,23776.68185829608,638.7149927334183,23137.966865562663,0.0
555,0xc2b2c36cf33d6cffb562c2ede97e1dcd721a2c1e,23776.68185829608,638.7149927334183,23137.966865562663,0.0
556,0x02ff33e10a6f6590ce9e1efb56fdfa0ba6b82929,23776.68185829608,638.7149927334183,23137.966865562663,0.0
589,0xcfb7698154899ae6c5913989f4833d4912b45fb6,23776.68185829608,638.7149927334183,23137.966865562663,0.0
590,0x297acf78b7fa38832ee65831a502db71ad7e7dac,23776.68185829608,638.7149927334183,23137.966865562663,0.0
614,0x015f316f30450c87c92492df4405bd1c238007d8,23776.68185829608,638.7149927334183,23137.966865562663,0.0
618,0xc42dee9a2ca5f0d355657dc2e7da65d328aeef6b,23776.68185829608,638.7149927334183,23137.966865562663,0.0
644,0x8e871ecf331a27c762bbcff795279def31c8a25a,23776.68185829608,638.7149927334183,23137.966865562663,0.0
647,0x4b8ba912055c9691b3249a2315216cc88ccf3f87,23776.68185829608,638.7149927334183,23137.966865562663,0.0
657,0x419b48a56e6df1f353a0fc05f760581618aec235,23776.68185829608,638.7149927334183,23137.966865562663,0.0
664,0x26d7b4fe67f4601643304b5023b3caf3a72e8504,23776.68185829608,638.7149927334183,23137.966865562663,0.0
667,0xe2fb7d06bbf1e83e899f15b90eaacaf90b0e0a5f,23776.68185829608,638.7149927334183,23137.966865562663,0.0
669,0x9fcd5fa9d5016f54ff5c87b1b5b541c96d80058f,23776.68185829608,638.7149927334183,23137.966865562663,0.0
674,0x12d080d5670d91261ad0ed24a7273376651ae9e0,23776.68185829608,638.7149927334183,23137.966865562663,0.0
698,0x2f85fb2a2d54f30ac38148166b75ce22c3c15b43,23776.68185829608,638.7149927334183,23137.966865562663,0.0
712,0x1482552c252240096d6bce6f45b6fbf61217c6df,23776.68185829608,638.7149927334183,23137.966865562663,0.0
715,0x8293fdc6648dcd00b9194dfa0ab731b51e294f66,23776.68185829608,638.7149927334183,23137.966865562663,0.0
721,0x6f97b7de6be7b7771e975e46bae96c35e332e172,23776.68185829608,638.7149927334183,23137.966865562663,0.0
722,0x62ae025c2bfe6e5475c8dd37cc883b4369b31775,23776.68185829608,638.7149927334183,23137.966865562663,0.0
727,0xad279d438249815e181f4f27d00db1d9521a066d,23776.68185829608,638.7149927334183,23137.966865562663,0.0
728,0x7b8a6e7777793614f27799199e32e80f03d18dbe,23776.68185829608,638.7149927334183,23137.966865562663,0.0
738,0x456408c79e4bed7c58d04098438971255bfa98f0,23776.68185829608,638.7149927334183,23137.966865562663,0.0
744,0x01b88308e0cc94d103cc255fd12569f0ef8ba8fb,23776.68185829608,638.7149927334183,23137.966865562663,0.0
745,0xe0d209b7324d982bacb757f724ebe00a9792ac28,23776.68185829608,638.7149927334183,23137.966865562663,0.0
769,0xfe4b04ade5478f3b649614221cdcc43ee31fa27e,23776.68185829608,638.7149927334183,23137.966865562663,0.0
778,0xe463e91b5ac588e24ac810d403795f08f86822d9,23776.68185829608,638.7149927334183,23137.966865562663,0.0
784,0xe65a52b61436e4c60d2b3ef0b475b80800a8f0aa,23776.68185829608,638.7149927334183,23137.966865562663,0.0
811,0xdb93342558502d4f522e774eac55d71bff8e6130,23776.68185829608,638.7149927334183,23137.966865562663,0.0
826,0xcfb1495fc39a4bd101ada0f4c81754671f24843f,23776.68185829608,638.7149927334183,23137.966865562663,0.0
902,0x419b48a56e6df1f353a0fc05f760581618aec235,23776.68185829608,638.7149927334183,23137.966865562663,0.0
918,0xc6234427c69e3bd5fff0dd6945bd6d7a3471f542,23776.68185829608,638.7149927334183,23137.966865562663,0.0
926,0x4ff25ae1b4bf1cee786d5458b43f116d3203d374,23776.68185829608,638.7149927334183,23137.966865562663,0.0
939,0x2f85fb2a2d54f30ac38148166b75ce22c3c15b43,23776.68185829608,638.7149927334183,23137.966865562663,0.0
945,0x6f97b7de6be7b7771e975e46bae96c35e332e172,23776.68185829608,638.7149927334183,23137.966865562663,0.0
946,0x01b88308e0cc94d103cc255fd12569f0ef8ba8fb,23776.68185829608,638.7149927334183,23137.966865562663,0.0
954,0xe06ad0acb3956f98c9df77bd02cdfd4426b2208d,23776.68185829608,638.7149927334183,23137.966865562663,0.0
955,0x26474f395c327415f42167c7ae53ab7413078dc9,23776.68185829608,638.7149927334183,23137.966865562663,0.0
972,0x26d7b4fe67f4601643304b5023b3caf3a72e8504,23776.68185829608,638.7149927334183,23137.966865562663,0.0
