window_hours,from_utc_approx,to_utc,side,attributed_pool_eth,all_pool_eth,attribution_fraction,attributed_tokens,addresses,tx_count,new_to_canonical_pool_buy_eth,charter_owner_pool_eth
0.3333333333333333,2026-09-16T00:24:57+00:00,2026-09-16T00:44:57+00:00,buy,7.668669932329054,7.804431373338697,0.9826045698251089,66799.89810496825,13,16,1.7382990486926513,0.0
0.3333333333333333,2026-09-16T00:24:57+00:00,2026-09-16T00:44:57+00:00,sell,193.33167028226202,193.34774782375723,0.9999168465023452,1674235.7826839003,38,45,0.0,10.390132794048771
2.0,2026-09-15T22:44:57+00:00,2026-09-16T00:44:57+00:00,buy,246.47251772516933,246.96781392262548,0.9979944909031291,2007010.820007183,166,265,130.3513964066146,33.794215209266
2.0,2026-09-15T22:44:57+00:00,2026-09-16T00:44:57+00:00,sell,300.816417385541,301.06138129513715,0.9991863323401283,2536521.99402508,105,126,0.0,17.082600583971058
6.0,2026-09-15T18:44:57+00:00,2026-09-16T00:44:57+00:00,buy,319.879412798025,321.78045296522845,0.994092120420351,2587460.245708371,239,407,162.58816296871095,41.797105272729944
6.0,2026-09-15T18:44:57+00:00,2026-09-16T00:44:57+00:00,sell,642.7695617782877,644.39624025149,0.9974756549284529,5330711.925835185,335,449,0.0,47.99281154779106
12.0,2026-09-15T12:44:57+00:00,2026-09-16T00:44:57+00:00,buy,1229.631269060478,1407.128197278096,0.8738587368507273,8987295.943662614,864,1662,538.0169524816267,178.0839953981282
12.0,2026-09-15T12:44:57+00:00,2026-09-16T00:44:57+00:00,sell,2133.028317129888,2214.519331466696,0.9632014888382864,15892989.538047168,807,2219,0.0,405.48264678783073
24.0,2026-09-15T00:44:57+00:00,2026-09-16T00:44:57+00:00,buy,13140.527861900026,13438.981016158616,0.9777919803666856,154710056.02098855,7574,29110,13140.527861900026,1662.7589377771008
24.0,2026-09-15T00:44:57+00:00,2026-09-16T00:44:57+00:00,sell,10813.81977253058,10981.250541395142,0.98475303261378,87072330.23508573,4006,18400,0.0,1751.7939394088053
