charter_id,owner,branches,pending_tokens,daily_tokens_now,net_exit_ETH_now,future_exit_pressure,one_day_break_even_price_ratio,one_day_max_price_fall,future_resolution_fee,elapsed_days,timestamp_utc
1,0xc22c0c5578b04b6052468e4c2832ff57acee6db4,1,630.2592838398112,636.9426751592357,0.06574267160404361,quiet,0.5083362944315335,0.4916637055684665,0.02010278006243692,1,2026-09-17T00:44:57+00:00
1,0xc22c0c5578b04b6052468e4c2832ff57acee6db4,1,630.2592838398112,636.9426751592357,0.06574267160404361,1m_gross_bank_exits,1.2452802676118608,-0.24528026761186084,0.6,1,2026-09-17T00:44:57+00:00
2,0x6d5d4fb55c61019c5eb9236c3da58c774b8232d1,1,630.2592838398112,636.9426751592357,0.06574267160404361,quiet,0.5083362944315335,0.4916637055684665,0.02010278006243692,1,2026-09-17T00:44:57+00:00
2,0x6d5d4fb55c61019c5eb9236c3da58c774b8232d1,1,630.2592838398112,636.9426751592357,0.06574267160404361,1m_gross_bank_exits,1.2452802676118608,-0.24528026761186084,0.6,1,2026-09-17T00:44:57+00:00
3,0x127e8d8c3bbcde01987051a79debddb64ef77978,1,630.2592838398112,636.9426751592357,0.06574267160404361,quiet,0.5083362944315335,0.4916637055684665,0.02010278006243692,1,2026-09-17T00:44:57+00:00
3,0x127e8d8c3bbcde01987051a79debddb64ef77978,1,630.2592838398112,636.9426751592357,0.06574267160404361,1m_gross_bank_exits,1.2452802676118608,-0.24528026761186084,0.6,1,2026-09-17T00:44:57+00:00
4,0x6f32e655f12ea79e20d54d0f8f010820b61c9f15,1,630.2592838398112,636.9426751592357,0.06574267160404361,quiet,0.5083362944315335,0.4916637055684665,0.02010278006243692,1,2026-09-17T00:44:57+00:00
4,0x6f32e655f12ea79e20d54d0f8f010820b61c9f15,1,630.2592838398112,636.9426751592357,0.06574267160404361,1m_gross_bank_exits,1.2452802676118608,-0.24528026761186084,0.6,1,2026-09-17T00:44:57+00:00
5,0x08d905a83347a44d90c4527ff6eb35d48b2fd8c8,1,630.2592838398112,636.9426751592357,0.06574267160404361,quiet,0.5083362944315335,0.4916637055684665,0.02010278006243692,1,2026-09-17T00:44:57+00:00
5,0x08d905a83347a44d90c4527ff6eb35d48b2fd8c8,1,630.2592838398112,636.9426751592357,0.06574267160404361,1m_gross_bank_exits,1.2452802676118608,-0.24528026761186084,0.6,1,2026-09-17T00:44:57+00:00
6,0xfee3e28e5d539ceca6fa7231c68480539a329cc5,1,630.2592838398112,636.9426751592357,0.06574267160404361,quiet,0.5083362944315335,0.4916637055684665,0.02010278006243692,1,2026-09-17T00:44:57+00:00
6,0xfee3e28e5d539ceca6fa7231c68480539a329cc5,1,630.2592838398112,636.9426751592357,0.06574267160404361,1m_gross_bank_exits,1.2452802676118608,-0.24528026761186084,0.6,1,2026-09-17T00:44:57+00:00
7,0x15c60bf6f78a0d9f50f20385b17e16fd4bdd7442,1,630.2592838398112,636.9426751592357,0.06574267160404361,quiet,0.5083362944315335,0.4916637055684665,0.02010278006243692,1,2026-09-17T00:44:57+00:00
7,0x15c60bf6f78a0d9f50f20385b17e16fd4bdd7442,1,630.2592838398112,636.9426751592357,0.06574267160404361,1m_gross_bank_exits,1.2452802676118608,-0.24528026761186084,0.6,1,2026-09-17T00:44:57+00:00
8,0x365b94ab73ab228544a66e46b90be4deb946a6de,2,1260.5214588320223,1273.8853503184714,0.1314817997993896,quiet,0.508346812021272,0.49165318797872803,0.02012281757394674,1,2026-09-17T00:44:57+00:00
8,0x365b94ab73ab228544a66e46b90be4deb946a6de,2,1260.5214588320223,1273.8853503184714,0.1314817997993896,1m_gross_bank_exits,1.2452675325229192,-0.24526753252291922,0.6,1,2026-09-17T00:44:57+00:00
9,0x1d7b4a9960f908ecc71405f74715fd7f05bf5581,1,12527.449283839813,636.9426751592357,1.3059201210933542,quiet,0.9536231104947843,0.04637688950521568,0.020368589321126247,1,2026-09-17T00:44:57+00:00
9,0x1d7b4a9960f908ecc71405f74715fd7f05bf5581,1,12527.449283839813,636.9426751592357,1.3059201210933542,1m_gross_bank_exits,2.3351654109383926,-1.3351654109383926,0.6,1,2026-09-17T00:44:57+00:00
10,0x6e1961ca5a086566d14f0a95b33294fc12c042af,1,630.2592838398112,636.9426751592357,0.06574267160404361,quiet,0.5083362944315335,0.4916637055684665,0.02010278006243692,1,2026-09-17T00:44:57+00:00
10,0x6e1961ca5a086566d14f0a95b33294fc12c042af,1,630.2592838398112,636.9426751592357,0.06574267160404361,1m_gross_bank_exits,1.2452802676118608,-0.24528026761186084,0.6,1,2026-09-17T00:44:57+00:00
11,0x96fe9278745f66c17be157eccfad3d92cdd5b974,1,630.2592838398112,636.9426751592357,0.06574267160404361,quiet,0.5083362944315335,0.4916637055684665,0.02010278006243692,1,2026-09-17T00:44:57+00:00
11,0x96fe9278745f66c17be157eccfad3d92cdd5b974,1,630.2592838398112,636.9426751592357,0.06574267160404361,1m_gross_bank_exits,1.2452802676118608,-0.24528026761186084,0.6,1,2026-09-17T00:44:57+00:00
12,0x1748a4333ab2dfa555cb522bf2be78c30572e15c,1,630.2592838398112,636.9426751592357,0.06574267160404361,quiet,0.5083362944315335,0.4916637055684665,0.02010278006243692,1,2026-09-17T00:44:57+00:00
12,0x1748a4333ab2dfa555cb522bf2be78c30572e15c,1,630.2592838398112,636.9426751592357,0.06574267160404361,1m_gross_bank_exits,1.2452802676118608,-0.24528026761186084,0.6,1,2026-09-17T00:44:57+00:00
13,0x0da492cd26580d9bf9efb2a57e511ad9c8704895,1,1630.2592838398114,636.9426751592357,0.17004526124024777,quiet,0.7278517776038131,0.27214822239618686,0.02011880188049224,1,2026-09-17T00:44:57+00:00
13,0x0da492cd26580d9bf9efb2a57e511ad9c8704895,1,1630.2592838398114,636.9426751592357,0.17004526124024777,1m_gross_bank_exits,1.7829793959612243,-0.7829793959612243,0.6,1,2026-09-17T00:44:57+00:00
14,0xc8f5e193045808dbf190ac084cc1c72ae846a5d4,1,630.2592838398112,636.9426751592357,0.06574267160404361,quiet,0.5083362944315335,0.4916637055684665,0.02010278006243692,1,2026-09-17T00:44:57+00:00
14,0xc8f5e193045808dbf190ac084cc1c72ae846a5d4,1,630.2592838398112,636.9426751592357,0.06574267160404361,1m_gross_bank_exits,1.2452802676118608,-0.24528026761186084,0.6,1,2026-09-17T00:44:57+00:00
15,0x34606e4d14bfda85c5f8314931c833755fb964df,1,630.2592838398112,636.9426751592357,0.06574267160404361,quiet,0.5083362944315335,0.4916637055684665,0.02010278006243692,1,2026-09-17T00:44:57+00:00
15,0x34606e4d14bfda85c5f8314931c833755fb964df,1,630.2592838398112,636.9426751592357,0.06574267160404361,1m_gross_bank_exits,1.2452802676118608,-0.24528026761186084,0.6,1,2026-09-17T00:44:57+00:00
16,0xc1254fc2ccbab582842c27c61664a62bf8679d48,1,630.2592838398112,636.9426751592357,0.06574267160404361,quiet,0.5083362944315335,0.4916637055684665,0.02010278006243692,1,2026-09-17T00:44:57+00:00
16,0xc1254fc2ccbab582842c27c61664a62bf8679d48,1,630.2592838398112,636.9426751592357,0.06574267160404361,1m_gross_bank_exits,1.2452802676118608,-0.24528026761186084,0.6,1,2026-09-17T00:44:57+00:00
17,0xb32a497d349fa350f9a625197c3b8994495fbd06,1,630.2592838398112,636.9426751592357,0.06574267160404361,quiet,0.5083362944315335,0.4916637055684665,0.02010278006243692,1,2026-09-17T00:44:57+00:00
17,0xb32a497d349fa350f9a625197c3b8994495fbd06,1,630.2592838398112,636.9426751592357,0.06574267160404361,1m_gross_bank_exits,1.2452802676118608,-0.24528026761186084,0.6,1,2026-09-17T00:44:57+00:00
18,0x6c8efffb9a1067def371f543a52f41b9722f48c1,1,630.2592838398112,636.9426751592357,0.06574267160404361,quiet,0.5083362944315335,0.4916637055684665,0.02010278006243692,1,2026-09-17T00:44:57+00:00
18,0x6c8efffb9a1067def371f543a52f41b9722f48c1,1,630.2592838398112,636.9426751592357,0.06574267160404361,1m_gross_bank_exits,1.2452802676118608,-0.24528026761186084,0.6,1,2026-09-17T00:44:57+00:00
19,0x8738117428f539ce10eaa583354bb3a0158b628a,1,630.2592838398112,636.9426751592357,0.06574267160404361,quiet,0.5083362944315335,0.4916637055684665,0.02010278006243692,1,2026-09-17T00:44:57+00:00
19,0x8738117428f539ce10eaa583354bb3a0158b628a,1,630.2592838398112,636.9426751592357,0.06574267160404361,1m_gross_bank_exits,1.2452802676118608,-0.24528026761186084,0.6,1,2026-09-17T00:44:57+00:00
20,0x75aadbb7c36db057e5ac64183899f118de76df35,1,630.2592838398112,636.9426751592357,0.06574267160404361,quiet,0.5083362944315335,0.4916637055684665,0.02010278006243692,1,2026-09-17T00:44:57+00:00
20,0x75aadbb7c36db057e5ac64183899f118de76df35,1,630.2592838398112,636.9426751592357,0.06574267160404361,1m_gross_bank_exits,1.2452802676118608,-0.24528026761186084,0.6,1,2026-09-17T00:44:57+00:00
21,0x1551db4acc3ac3cffcd2d6355d6333feddbfcaa2,1,630.2592838398112,636.9426751592357,0.06574267160404361,quiet,0.5083362944315335,0.4916637055684665,0.02010278006243692,1,2026-09-17T00:44:57+00:00
21,0x1551db4acc3ac3cffcd2d6355d6333feddbfcaa2,1,630.2592838398112,636.9426751592357,0.06574267160404361,1m_gross_bank_exits,1.2452802676118608,-0.24528026761186084,0.6,1,2026-09-17T00:44:57+00:00
22,0xd3649c6b31ceb982eb6644a2de2198d9909c64ce,1,630.2592838398112,636.9426751592357,0.06574267160404361,quiet,0.5083362944315335,0.4916637055684665,0.02010278006243692,1,2026-09-17T00:44:57+00:00
