scenario,hour,elapsed_days,timestamp_utc,price_ETH,price_ratio,cumulative_buy_ETH,cumulative_sell_tokens,remaining_recent_seller_tokens,remaining_dormant_tokens,remaining_repeat_cash_budget,ETH_error,token_error
seller_exhaustion,0,0.0,2026-09-16T00:44:57+00:00,0.00011085238679344284,1.0,0.0,0.0,2771446.699921732,50270585.17730114,87.5086345642746,0.0,0.0
seller_exhaustion,1,0.041666666666666664,2026-09-16T01:44:57+00:00,0.000111360432668354,1.0045830846732946,42.235820550080305,303906.33446176513,2467540.3654599665,50270585.17730114,72.92386213731997,1.5631940186722204e-13,-1.6298145055770874e-09
seller_exhaustion,2,0.08333333333333333,2026-09-16T02:44:57+00:00,0.00011185968550065704,1.009086847260142,84.47164110016061,607812.6689235303,2163634.030998201,50270585.17730114,58.33908971036534,3.126388037344441e-13,4.656612873077393e-10
seller_exhaustion,3,0.125,2026-09-16T03:44:57+00:00,0.00011234983983534106,1.0135085322491837,126.70746165024092,911719.0033852954,1859727.696536436,50270585.17730114,43.754317283410714,4.689582056016661e-13,-1.1641532182693481e-09
seller_exhaustion,4,0.16666666666666666,2026-09-16T04:44:57+00:00,0.00011283169924394902,1.0178553886637942,168.94328220032122,1215625.3378470605,1555821.3620746708,50270585.17730114,29.169544856456085,6.252776074688882e-13,-2.7939677238464355e-09
seller_exhaustion,5,0.20833333333333334,2026-09-16T05:44:57+00:00,0.00011330536680595037,1.0221283463844428,211.1791027504015,1519531.6723088257,1251915.0276129057,50270585.17730114,14.584772429501456,3.410605131648481e-13,-6.984919309616089e-10
seller_exhaustion,6,0.25,2026-09-16T06:44:57+00:00,0.00011377094588331233,1.0263283378400123,253.4149233004818,1823438.0067705908,948008.6931511406,50270585.17730114,2.5468267494943575e-09,1.4210854715202004e-12,-2.3283064365386963e-09
observed_replacement,0,0.0,2026-09-16T00:44:57+00:00,0.00011085238679344284,1.0,0.0,0.0,2771446.699921732,50270585.17730114,87.5086345642746,0.0,0.0
observed_replacement,1,0.041666666666666664,2026-09-16T01:44:57+00:00,0.00010792045756288999,0.9735510500462559,42.235820550080305,814693.1554027535,2467540.3654599665,49759798.35636015,72.92386213731997,1.5631940186722204e-13,0.0
observed_replacement,2,0.08333333333333333,2026-09-16T02:44:57+00:00,0.00010516491093700965,0.9486932485537639,84.47164110016061,1629386.310805507,2163634.030998201,49249011.535419166,58.33908971036534,3.126388037344441e-13,0.0
observed_replacement,3,0.125,2026-09-16T03:44:57+00:00,0.00010256221480303851,0.9252143122019388,126.70746165024092,2444079.4662082605,1859727.696536436,48738224.71447818,43.754317283410714,9.237055564881302e-13,3.725290298461914e-09
observed_replacement,4,0.16666666666666666,2026-09-16T04:44:57+00:00,0.00010006525877433765,0.9026892579299585,168.94328220032122,3258772.621611014,1555821.3620746708,48227437.89353719,29.169544856456085,1.0800249583553523e-12,-3.725290298461914e-09
observed_replacement,5,0.20833333333333334,2026-09-16T05:44:57+00:00,9.771682176203998e-05,0.8815039945339286,211.1791027504015,4073465.7770137675,1251915.0276129057,47716651.07259621,14.584772429501456,7.958078640513122e-13,0.0
observed_replacement,6,0.25,2026-09-16T06:44:57+00:00,9.550589307138052e-05,0.8615591944749168,253.4149233004818,4888158.932416521,948008.6931511406,47205864.25165522,2.5468267494943575e-09,1.4210854715202004e-12,1.1175870895385742e-08
renewed_entry,0,0.0,2026-09-16T00:44:57+00:00,0.00011085238679344284,1.0,0.0,0.0,2771446.699921732,50270585.17730114,87.5086345642746,0.0,0.0
renewed_entry,1,0.041666666666666664,2026-09-16T01:44:57+00:00,0.00011031085414661537,0.9951148309703377,81.09058691818976,814693.1554027535,2467540.3654599665,49759798.35636015,72.92386213731997,4.263256414560601e-13,0.0
