cohort,addresses,wallet_tokens,native_eth_observed,native_eth_missing,buy_eth_6h,sell_eth_6h,buy_tokens_6h,sell_tokens_6h,branches,pending_tokens
charter_operator,941,9455882.248729875,2539.1689935299814,0,41.797105272729944,47.99281154779106,347534.6166527361,392673.4814971119,1099,1408520.1970363904
inactive_or_unattributed,15381,50270585.177301146,2739.1317971698,8391,0.0,0.0,0.0,0.0,0,0.0
net_buyer,191,4476053.664588686,545.6376644172643,7,234.52714267790876,0.5319053584258523,1884688.1583911746,4713.813235218497,0,0.0
net_seller,284,2399910.7216164465,459.15212715113336,156,13.852455227334229,560.6334926175693,111260.92827761997,4658073.576969081,0,0.0
two_way_trader,35,142980.80800995673,32.4861328015815,7,29.702709620052012,33.61135225450129,243976.5423868403,275251.05413377326,0,0.0
