scenario,hours,end_utc,end_price_ratio,recent_seller_tokens_sold,replacement_seller_tokens_sold,inactive_inventory_sale_fraction,new_buyer_capacity_ETH_hour,repeat_buyer_capacity_ETH_6h,actual_buy_ETH,actual_sell_tokens
seller_exhaustion,6,2026-09-16T06:44:57+00:00,1.0263283378400123,1823438.0067705908,0.0,0.0,27.65104812393043,87.5086345642746,253.4149233004818,1823438.0067705908
observed_replacement,6,2026-09-16T06:44:57+00:00,0.8615591944749168,1823438.0067705908,3064720.9256459298,0.060964496729784524,27.65104812393043,87.5086345642746,253.4149233004818,4888158.932416521
renewed_entry,6,2026-09-16T06:44:57+00:00,0.9742126756051037,1823438.0067705908,3064720.9256459298,0.060964496729784524,66.50581449317072,87.5086345642746,486.5435215091385,4888158.932416521
broader_holder_exit,6,2026-09-16T06:44:57+00:00,0.7322559676239214,1823438.0067705908,6129441.8512918595,0.12192899345956905,27.65104812393043,87.5086345642746,253.4149233004818,7952879.85806245
