window_hours,source,sold_tokens,share_of_attributed_sold_tokens
0.3333333333333333,own_pool_buy,1519568.8667154333,0.9076193941330494
0.3333333333333333,transferred_pool_buy,40976.30428693262,0.024474631775725845
0.3333333333333333,branch_withdrawal,0.0,0.0
0.3333333333333333,transferred_branch_withdrawal,0.0,0.0
0.3333333333333333,initial_allocation,0.0,0.0
0.3333333333333333,transferred_allocation,0.0,0.0
0.3333333333333333,other_custody_or_unresolved,104190.94559894396,0.062231942881975456
0.3333333333333333,own_other_pool_buy,8743.277597375676,0.005222249869346167
0.3333333333333333,transferred_other_pool_buy,756.3884852145397,0.0004517813399030354
2.0,own_pool_buy,2192955.078124537,0.864551966547172
2.0,transferred_pool_buy,111002.59469393986,0.043761731597602035
2.0,branch_withdrawal,0.0,0.0
2.0,transferred_branch_withdrawal,0.0,0.0
2.0,initial_allocation,0.0,0.0
2.0,transferred_allocation,0.0,0.0
2.0,other_custody_or_unresolved,205477.82382829976,0.0810077043732774
2.0,own_other_pool_buy,25302.4251678419,0.009975243750081087
2.0,transferred_other_pool_buy,1784.0722104613315,0.0007033537318674207
6.0,own_pool_buy,4349471.109528048,0.8159268724405133
6.0,transferred_pool_buy,308586.99388826225,0.05788851436385106
6.0,branch_withdrawal,0.0,0.0
6.0,transferred_branch_withdrawal,0.0,0.0
6.0,initial_allocation,0.0,0.0
6.0,transferred_allocation,0.0,0.0
6.0,other_custody_or_unresolved,604675.3662360616,0.11343238476375266
6.0,own_other_pool_buy,64481.20726047786,0.012096171797986499
6.0,transferred_other_pool_buy,3497.2489223340554,0.0006560566338962552
24.0,own_pool_buy,72934779.73448867,0.8376344073665282
24.0,transferred_pool_buy,11383820.966302704,0.1307398221176307
24.0,branch_withdrawal,11829.581180343133,0.00013585924654140486
24.0,transferred_branch_withdrawal,0.0,0.0
24.0,initial_allocation,0.0,0.0
24.0,transferred_allocation,0.0,0.0
24.0,other_custody_or_unresolved,2495063.1349979546,0.028655063304973673
24.0,own_other_pool_buy,227058.51427254252,0.0026076999852824596
24.0,transferred_other_pool_buy,19778.303843510756,0.00022714797904353206
