entry_phase,addresses,remaining_tokens,sold_tokens_6h,sold_tokens_20m
after_hour_18,82,51591.30027429229,601917.3426898819,45425.339745905905
first_hour,279,1447017.980202499,6878841.071443218,1671976.9742099727
hours_1_to_6,124,730713.4237097081,3042999.1575560267,916283.3953742953
hours_6_to_18,61,10292.13942081932,792550.9881296719,31467.33362345674
