entry_phase,addresses,remaining_tokens,sold_tokens_6h,sold_tokens_20m
after_hour_18,82,88937.99732133756,601917.3426898819,39374.70845762998
first_hour,281,1446878.2994528858,6881105.8177749785,1643070.6673573225
hours_1_to_6,124,730713.4237097081,3042999.1575560267,916283.3953742953
hours_6_to_18,61,10292.13942081932,792550.9881296719,31467.33362345674
