charter_id,cost_tokens,prior_bank_balance,new_issuance,prefunded_wallet_tokens,new_canonical_tokens,new_other_custody_tokens,tx
160,15334.907994468847,733.1296776797134,62.28142343642245,9140.002871542441,3100.790827656393,2298.7031941538758,0xf5b729e08b4e0e251976cc515fa7422d5c36ffe833b9677a7ed107331aeffa57
264,15234.421044684357,3961.103753785515,65.14626582577922,5241.279306700675,2671.245117490506,3295.6466008818825,0x59fb124878f9b2a99f616d8c5aad6f28459ae20f3db9424b40329ca987bf536d
972,15103.995387396797,228.85578217233288,7.728565241415512,14867.41103998305,0.0,0.0,0x67ee492b256b07e47824297f3d4d327fd8b6d86c2dd1e7ec67ffdc38c1cc6f9c
972,15093.348041600673,228.69271525527137,7.837782668033518,14856.817543677369,0.0,0.0,0x4ab8a121a9c468102988702048c880da7b07fff9fd4fecc06134767c368d8b8a
972,15085.367911906622,228.56819430686355,8.071565876988247,14848.72815172277,0.0,0.0,0x57cc695aae28314aebfe894f78767be877fd707a3959f576a48eb6e6778920fe
664,15077.392390385216,15072.44508695916,4.947303426056357,0.0,0.0,0.0,0xfbb66f65e503f93a342579ae4ce60cb50644f0df0742a672e009537c6ef963e5
664,15071.413771756632,15066.43466905109,4.979102705542873,0.0,0.0,0.0,0xb6fa82e1a1b7601e0cebcd5118fcb384321761d55fe58f1f596d68f3131cffc1
664,15066.1016180046,15061.059864297556,5.0417537070439655,0.0,0.0,0.0,0xe9dfdd5eef83299432ef92ff6e08ab31a8c45ca1b4087cce7b79cdf92748620f
982,15052.83017973847,686.2212398886561,23.7079025606757,14342.901037289139,0.0,0.0,0xf2ce46ca8dc21a00edbcae4b27712098af371c8f2f3c8ad59969f573f430a0ad
772,14951.725299140431,686.219340752979,24.780820433831497,0.0,14240.725137953621,0.0,0x6b85f57ec00482ed057987b2c7f64e15b013e132bea55f56cd950f8b6b21c982
189,14928.701194672749,128.1535718518793,50.055810197281104,14750.491812623588,0.0,0.0,0x5c4e5ac52130012cf9ca9f604d68138b7c7676515ee35f636fb09f1805be1a6b
172,14863.131374502145,686.2069267413798,25.719560891915144,14151.20488686885,0.0,0.0,0x79f2f40d47c631c0ebf082aad97d2bb8801d2115bde637fc06d8dc24c80ed791
498,14826.549904556143,685.4282227614952,26.079731214071856,10421.409171213274,3693.632779367303,0.0,0xd0288bc5e515b91c5b680aa9de31e3f2a67df9f23ae1f1d37eb2adefcd701c7f
317,14825.897559754923,685.4871156686954,26.092430521160235,14114.31801356507,0.0,0.0,0x50f07382560e644f05b1531fc64750833d55c72e53cc6b080e1a08d4a94687fb
