address,side,canonical_tokens,canonical_ETH,charter_owner,bought_license_in_window,deposited_in_window,tx
0xe80a9aa3ca442e7ca1e24d76a660c0ee5f683e52,sell,202.43354921979625,0.019068118970187935,False,False,False,0xa261b9fefc2c8ee197fe16a6266645801e41699946fc19bc9f17bd0b49d01120
0x3031b8e1400072af0ce02e3aea0a0efd0ad51caa,buy,4.243101349795502,0.000407789613848202,False,False,False,0xc64ac2ce6da0b4dc6623afae8794467101c334fe7a909dd3b816b044bcb2cb04
0x35287d54a46bb7e3e2bb8b6266dc7dfa0ec8bb5e,sell,22947.316275971294,2.1602209414874873,False,False,False,0xc219facd3d56e55b4b52639269e8374f02a29f3b67a80a17ca259e7cb85cd699
0x84ae7426eabe2fc0623273ca0e7f4dfbcdb7b846,buy,847.3359420742744,0.08134,False,False,False,0x8fa1bf0d79f4a017ce5e11252320343f68c4fae4c2c8de4ead8d5f979729b829
0x0c8048326b825d6089d4bd2bc9e52586ecc310d7,sell,125.7435681815889,0.011830766454308753,False,False,False,0xcafd481598db49a97a041a9b41aa8efb8ed8a5949f57fc244e1ae3792b0393de
0x92f1306c01b13f384617b6583bbf654a9fa9996e,sell,1061.7704027865655,0.09989515487466982,False,False,False,0xbfbeba93aef8a2018cb009816cf1d6e779e56e5cc7708532dda7cf91e872ea8a
0x0cc667c740a7ba482cd753597770db8ff8450023,sell,41153.35716751055,3.8676469132563795,False,False,False,0x6d7ae3b2f69d16a55b6b8bb5b5a02e71e3ac405f607824e1cd4143ed51c5822b
0x863879e4df119cd5e7576cdb1e72ddaa74301e83,buy,10125.95769787617,0.9702,False,False,False,0x33e029ed1d0a350909a2d6035436883c8a32ea38ae9ba920c2bf39c74dc7f841
0x3bf0578191116a685e16b9d244652baaf7253917,sell,1470.7845337003764,0.13814734164896447,False,False,False,0x3eb662fb26cb74174f135735bb46d38c57b2e9337892f5a7e0a1ca60ec1d780b
0x47174114e71ca12e73a3f9fa1e7d5bd67269b774,sell,1481.0,0.13909628323269954,False,False,False,0xa1150e69e87cb355ce15726c5bcf54b4c50ed65fb88a9402a997d5c69fe2cbc8
0x5a0132d32619a327a821b82ce0e0a9feaaa92a30,buy,14824.53468935514,1.4210916103292617,False,False,False,0xdbed0b4d88a57c02c2b40ee26a96d1cc634d66142032736f4bee4e76d76446df
0x1a5861a1d957e24eafb5d28111e593bd118f06c5,sell,1522.331786841493,0.14307744255965268,False,False,False,0xda814077b6119475958ba00234fc0eabe6c43e43010f508dd694e71c402e3475
0x863879e4df119cd5e7576cdb1e72ddaa74301e83,buy,10115.154532436698,0.9702,False,False,False,0xbfaf1e040f2f6443d54675f8570d65ecdedfe233b3cc18d64a25eaad13a1a51d
0x31caa6199d3fb1e193e968789aea8b7df4ba50af,sell,233311.48960086427,21.8075403116863,False,False,False,0xfc5eb1309319dd56dd39bf954cd450c53df999780d44cc8cc46c0aaf6cd5e21e
0xe28fc48e2bf590cfd71f3992fadae4be7750bc71,buy,10231.728914819172,0.9702,False,False,False,0x6a7e41ac36004c0eefa7c84e3a5af368d762c297852ca56f4cef1f5bebcaf40e
0xa6d2209d2237d785ad2078cef30c251045c2d482,buy,59.994803616204806,0.005691032650577356,False,False,False,0x2ebd3e80f6ab8083087a26bd2fb5f6ba0b27b4f3ee1823f529c9d2bc7c372119
0x9fd634393707ad07739d63c81011ba067681a19a,sell,729.3288528912552,0.06780532232249246,False,False,False,0x5ec9b190e5f60404714375745e9ee8e6a71c9a1b1ccafa1793e35eaa5d1f60a6
0xe28fc48e2bf590cfd71f3992fadae4be7750bc71,buy,2556.881825314784,0.24255,False,False,False,0x9592a6e191606a35ec76ba2851d7fd851f5f0bbbc4becd715517ab0eb93af123
0x2955629032534a0294713fc105202427190b51eb,sell,916.1198217049308,0.08517886234808576,False,False,False,0x4ea739f04632551638c8d50aa6f2e64fa3adab864379ef928ea08f6371e9479e
0x288a5072eaf6421e93baad9b26d59d242efe9e48,sell,315.52624662011976,0.02933603008357722,False,False,False,0x90869caf4e2299e5746040de7d9cf64162116a7e6eafabaecb3021eb8282fd52
0x20f9a11d2668a675e2381151c709b1996de1da5e,buy,85.71977530270797,0.008131561265123023,False,False,False,0xd2d927906780a61d3f0cc25b3d228979b56525f5c6f3146c0426108be85974dc
0x5f4f198ba4c66f3a347a53682f5f851ebc6af1d8,buy,213.20135053665794,0.02022489266787772,False,False,False,0x9528f596d8f67f43f40d80258c802f06691ddf6cda6f38f77d6016cd9c812c76
0xd8e88b6b22b2bf5cfb9ce98d2646bbcc99ea915e,sell,10.550681515585586,0.000980955836852739,False,False,False,0x535a087f29bada207ebd086ccd87700c51f0578ad2cbdb0695fa9a775fca7fd6
0x17c485b4d433ab5aaa1f1cdde3715c7e8e6ed2c3,buy,204.54578355553548,0.019404,False,False,False,0x9c355a747b37622d2791f8b6c0331ae0169645b1b8b9f7e303c85e7b8b295277
0xfefaf388bf9d558b68d9e00e2983c2df93e176d1,sell,512.0,0.04760336864980028,False,False,False,0xf5b13a70457d9c597da5686c4361a7c53e3381086b3ad6eaf8b4341c6fcad6be
0x1b36374d5a26c45726632162188f7162dcf39639,sell,32.73153583111415,0.003043182853852548,False,False,False,0xe59c375e63c73568901f26a8d99f56f13a134709bc29e7101240355ce17f49ee
0xed1ed6bed9736aeaf55d95686e2e8c05565fe747,buy,446.93617926128337,0.04239761690475354,False,False,False,0xf6c358c5564dfdd5b2da39a3088613d2730171cd458507a9568df389893b8c5b
0x5f1d998a2681d13e41b16276640535ae1f422bbe,sell,605.5818790911324,0.05630377057015849,False,False,False,0x06a9281cac09f522def5de2d0caa5dda5b36bc5d22de4e11c137b0201cd4b1d5
0x9d7eadc9f830c76365ea2e402650a4f4314fcb62,buy,212.9843225534439,0.02020400707125757,False,False,False,0x83ead1fbc0d50211d490dff6f9021f5f12ac110c152c6591321c3bb2b3c35717
0x97cf77c586e6a15d1efc1d9bf75e210ab4891e61,sell,2682.885645663469,0.24942212161999702,False,False,False,0x5c4cbf94c5cf278aecf0f26b705a3744ae21460b2d1ce9d75d52a493bf8428d6
0x288a5072eaf6421e93baad9b26d59d242efe9e48,sell,15.77631233100599,0.001466588504668197,False,False,False,0xe5119899069102f6c3974de12b6247e4f90101a8c5ecfbfd2f43d508f6a641df
