charter_id,depositor,tokens,pre_snapshot_wallet_inventory,new_canonical_acquisition,new_other_custody_or_mint,tx,block
498,0x368564edf8ec2d3cbe8ec3ad265a3207e663b93c,14758.77,10896.686072371253,3862.083927628748,0.0,0x486c936bbb0c82cd89e493f9f26f166b92b8a2c7a274c41d08a4ede18b40d9f2,64206062
444,0xab078f1e310c3f6b9a6b6c91f23c6cb5f09fe61c,3064.43,0.0,3064.4300000000003,0.0,0xa6a8deab0daa81d0dc70a6c67ebefdbacbe3b859ca53bab00b643edc4c75980f,64206066
688,0x09f6ac34354fef95ebdd7824f3b36accb30f6b9c,14067.710000000001,0.0,14067.710000000001,0.0,0xa814fa33f095016fd4db485090bbb16cfcfc85175ee739024e84db1483d52413,64206072
698,0x2f85fb2a2d54f30ac38148166b75ce22c3c15b43,5400.0,5400.0,0.0,0.0,0xebe84060ed31e4745c53ca8094a4ab5f7b6f8b3b8ee2f59653336cd7b2779726,64206082
768,0xcea5c73c5691ab5057a6833874f42055799dd474,14062.98,246.41195027822826,10997.119825422093,2819.448224299678,0xe44f61495198cbb84115d23b68b6ce7d9d738b8dac9b57c3f77c30819a03077a,64206108
796,0x98153cf43e104ed590078840c12628d4289bf3df,14063.39,0.0,14063.389999999998,0.0,0xb29585053fdc3e8fb9711a224f93e525c88c14904aa855db912ec5c346cdec8f,64206132
700,0xf955dab8bdb1158dc0df449997a057ab9eb4f774,11926.900000000001,11926.9,0.0,0.0,0x2c142164601c07cdbecb33eca92f62774dec63bdf0be52fa3464e598abb59eb0,64206139
952,0xdb93342558502d4f522e774eac55d71bff8e6130,14613.783697248502,12487.378133936729,1247.9319776904554,878.4735856213168,0xfc15e18a1362417bd1754423682ee47673f9711304dbc74a40f7665fbe37a0ab,64206155
596,0xcc6712a50951378507387239832b0c4d290b5754,14756.1,14756.1,0.0,0.0,0x6f7b5dadeb3017540a50e469ed9f08de21ab26dcf0e3abf2043dda8cc846363c,64206157
337,0xe2b0b23c3adf35d0a25dc702333f59eb7633d707,14602.96,14602.960000000003,0.0,0.0,0x20f31f44261eef14ad7c930dc6f4da655a472eff62af2236f758e6cba328dcf8,64206166
307,0xf0add48152127e2f2cd3e51d1ad530cad8c864d2,14062.49,14062.49,0.0,0.0,0x89b1c48d9766f4ca90066254e319d5c831508adfa83a8531056daff7baeb8814,64206181
431,0xaae99871b32a731ddeaeee18517e365ebe44f395,14063.1,0.0,10552.386155655804,3510.713844344196,0x5ec3051339a7fa692121c65138ec826589ab0f8a144ebe1ff1c1fc485c022b37,64206183
821,0xc02ad38d5df2724bf1cc7983244301e2185f9462,11919.806261210906,11919.806261210906,0.0,0.0,0x3a2195cbf66c26e552b3506771b76f92dab5d91882befe2b0ebe66bbb83b847b,64206202
688,0x09f6ac34354fef95ebdd7824f3b36accb30f6b9c,14758.631220274887,0.0,14758.63122027489,0.0,0x69741235d5c504471ea5e2010375ecd92a0b8c409e9b61146743197a271062cf,64206209
667,0xe2fb7d06bbf1e83e899f15b90eaacaf90b0e0a5f,14754.64,14754.640000000001,0.0,0.0,0x6a5d2aceaa8790bfa6f98cb1a21ba4d8b7d7e55c04dd51d133bfedaabd1c36a6,64206235
728,0x7b8a6e7777793614f27799199e32e80f03d18dbe,14057.9,14057.900000000001,0.0,0.0,0x2ffc5f6a5c20a0dac4676dce87ff1a56d580e0dd8676dae825274ca222ee169d,64206241
218,0xd01fe03aba9eb73ff92e2b64e22daf99458e4f54,14063.14,14063.140000000001,0.0,0.0,0xc03118718d9b71b0bcf5773f6a9a894ed539d71fd98cf4bdf3523848cd62fdf5,64206269
127,0x1cca082840abf3c851c2d261771fc8f43daefca0,14058.94,14058.940000000002,0.0,0.0,0x27e0ab8c499890afe7b3574a268dee7328927b62220b15057cff8702fb20b1e8,64206269
618,0xc42dee9a2ca5f0d355657dc2e7da65d328aeef6b,1e-10,1e-10,0.0,0.0,0x8e9f4396db691c4f5a32f65c4d138c5d919f220f43716bb139b7c5ae107d6f15,64238558
