hour,price,price_ratio,pool_principal_eth,wallet_100k_exit_eth,vault_eth,pending,branches,outside_pool_token_bound,eth_error,token_error,total_buy_spend_eth,speculative_buy_eth,pool_buy_principal_eth,pool_sell_eth,buyback_eth,license_buy_eth,licenses,gross_withdrawn,net_withdrawn_tokens,unsold_requested_tokens,buy_tax_eth,lp_buy_eth,elapsed_days,timestamp_utc,scenario
0.0,0.00011446474352696986,1.0,2424.757715411276,10.9568034823675,111.7189937774005,1326001.07666602,1099,68015931.403879,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,2026-09-15 22:45:58 UTC,Observed turnover persists
0.25,0.00011218200714766305,0.9800572970421328,2389.458139982725,10.738627095332848,111.7189937774005,1333292.7433326868,1099,67700524.74123278,8.526512829121202e-14,0.0,8.783286923953442,8.783286923953442,8.52154497361963,43.82112040217089,0.0,0.0,0,0.0,0.0,0.0,0.17566573847906886,0.08607621185474373,0.010416666666666666,2026-09-15 23:00:58 UTC,Observed turnover persists
0.5,0.00010997397225821773,0.960767209794219,2355.02548770653,10.527533755907934,111.7189937774005,1340584.4099993536,1099,67386627.42425811,1.7053025658242404e-13,0.0,17.566573847906884,17.566573847906884,17.04308994723926,86.77531765198546,0.0,0.0,0,0.0,0.0,0.0,0.3513314769581377,0.17215242370948747,0.020833333333333332,2026-09-15 23:15:58 UTC,Observed turnover persists
0.75,0.00010783899751939921,0.9421153990004835,2321.431442213453,10.32345743294049,111.7189937774005,1347876.0766660203,1099,67074249.27470084,2.5579538487363607e-13,0.0,26.349860771860328,26.349860771860328,25.56463492085889,128.8909081186821,0.0,0.0,0,0.0,0.0,0.0,0.5269972154372066,0.2582286355642312,0.03125,2026-09-15 23:30:58 UTC,Observed turnover persists
1.0,0.0001057750144872306,0.924083794083793,2288.6482083192823,10.126167270571532,111.7189937774005,1355167.743332687,1099,66763399.37891697,3.410605131648481e-13,-1.4901161193847656e-08,35.13314769581377,35.13314769581377,34.08617989447852,170.19568698647254,0.0,0.0,0,0.0,0.0,0.0,0.7026629539162754,0.34430484741897494,0.041666666666666664,2026-09-15 23:45:58 UTC,Observed turnover persists
1.25,0.00010377948150883104,0.9066501903652002,2256.648899198289,9.935419927898861,111.7189937774005,1362459.4099993538,1099,66454085.56958733,3.979039320256561e-13,-1.4901161193847656e-08,43.91643461976721,43.91643461976721,42.607724868098146,210.71654108108532,0.0,0.0,0,0.0,0.0,0.0,0.8783286923953443,0.43038105927371867,0.052083333333333336,2026-09-16 00:00:58 UTC,Observed turnover persists
1.5,0.00010181537885943932,0.889491171886039,2225.411111215131,9.746870501018202,111.7189937774005,1369751.0766660206,1099,66146314.99855482,5.115907697472721e-13,-1.4901161193847656e-08,52.69972154372065,52.69972154372065,51.12926984171777,250.47587403786338,0.0,0.0,0,0.0,0.0,0.0,1.0539944308744131,0.5164572711284624,0.0625,2026-09-16 00:15:58 UTC,Observed turnover persists
1.75,9.989964156392395e-05,0.8727546883498313,2194.9230927427016,9.563757022927806,111.7189937774005,1377042.7433326873,1099,65840116.59171978,5.684341886080801e-13,-1.4901161193847656e-08,61.48300846767409,61.48300846767409,59.6508148153374,289.4854374839124,0.0,0.0,0,0.0,0.0,0.0,1.2296601693534819,0.6025334829832061,0.07291666666666667,2026-09-16 00:30:58 UTC,Observed turnover persists
2.0,9.804715155028686e-05,0.8565707529601486,2165.1627940636195,9.386680461683417,111.7189937774005,1384334.409999354,1099,65535516.82348982,6.821210263296962e-13,-1.4901161193847656e-08,70.26629539162754,70.26629539162754,68.17235978895702,327.7672811366142,0.0,0.0,0,0.0,0.0,0.0,1.4053259078325508,0.6886096948379499,0.08333333333333333,2026-09-16 00:45:58 UTC,Observed turnover persists
2.25,9.625410300974971e-05,0.8409061169745302,2136.1064065603746,9.215244425758751,111.7189937774005,1391626.0766660208,1099,65232522.26057293,7.389644451905042e-13,-1.4901161193847656e-08,79.04958231558098,79.04958231558098,76.69390476257665,365.3452136134788,0.0,0.0,0,0.0,0.0,0.0,1.5809916463116198,0.7746859066926937,0.09375,2026-09-16 01:00:58 UTC,Observed turnover persists
