scenario,max_eth_error,max_token_error,minimum_stock,minimum_vault
Observed turnover persists,5.4569682106375694e-12,1.1324882507324219e-06,34752647.21993045,111.7189937774005
Selling halves every 6h,1.5234036254696548e-11,1.341104507446289e-07,62446987.25582465,111.7189937774005
Rapid seller exhaustion: 2h,1.4097167877480388e-11,7.450580596923828e-08,65928190.16346484,111.7189937774005
Demand fades too,1.5916157281026244e-12,1.043081283569336e-07,58085505.169453055,111.7189937774005
Buying triples; selling halves in 6h,1.77351466845721e-11,7.450580596923828e-08,66751105.34170289,111.7189937774005
6h selling decay + buybacks,1.0459189070388675e-11,5.960464477539063e-08,62354524.824062034,0.9197525269645027
"6h decay + 100 licenses, 20% fresh-funded",1.5234036254696548e-11,1.043081283569336e-07,62402728.487942986,111.7189937774005
"6h decay + 100 licenses, fully fresh-funded",9.322320693172514e-12,1.1920928955078125e-07,62223812.285292596,111.7189937774005
6h decay + half of branches retire at +6h,1.77351466845721e-11,7.450580596923828e-08,62503497.0151882,111.7189937774005
