target,target_price_eth,gain_pct,additional_pool_principal_eth,wallet_buy_eth_no_sellers
10% bounce,0.00012591121787966684,10.000000000000009,172.96942799534008,178.28223870886424
25% bounce,0.00014308092940871234,25.00000000000002,414.0891313707825,426.80801007089525
Reclaim 13:40 UTC reference,0.0001493102800073805,30.442156603618685,496.90912825229225,512.1718493633192
Reclaim 10:09 UTC reference,0.0001849385838709796,61.56816341217319,942.3495400532956,971.2941043633227
