charter_id,owner,branches,pending_tokens
68,0xce91f17d8762ac42527d6a8c9567dd6f4c912013,1,630.2592838398112
69,0xc8172e49846d2112d46dc2ef79a915e8633f5289,1,630.2592838398112
70,0xca5df910f3e2226324707efe7fa6d03a0f821353,1,630.2592838398112
71,0x8364534b17f6c0b43aa36b538387c1bebbb8fb36,1,630.2592838398112
72,0xde93a926d8059d9d20a93b709312bf2cd8a7046c,3,1888.239821678526
73,0x775d1bd04e076e5812adab5a8ba2c4de71a8e50d,2,1265.620498292381
74,0x8e99c0f4b5974e922641443db91e9c2d4e606295,1,630.2592838398112
75,0x7329c3685bedf5eb54fe1e067022f50bb40cbb52,1,630.2592838398112
76,0x29e7a8f8fac7459a245a20e8e00e4dcbf36de34f,1,630.2592838398112
77,0xe01a97fc4607a388a41626d5e039fdecbfc6acd9,1,6722.879283839812
78,0x76ced6b6cbed55433716cf690a8223da1be8aa8c,1,730.2592838398112
79,0x162ea116bbfae0a36d8019975f0472e4a5e2cec0,2,1268.7046599385692
80,0x2576316e96788215fd25ab86e9829247f7b4573e,1,630.2592838398112
81,0x9d1764c59a5dd1c7316f0170369e079f96b0e63e,1,630.2592838398112
82,0x55d22408591f2a70af3e3a60de55d890a319bc58,1,630.2592838398112
83,0xabba175e425a1f2eff83e70486fa5f634210a8fd,1,630.2592838398112
84,0x9d7fd359f39b7cf41862030fd63aa34b5d61d7c2,1,630.2592838398112
85,0x3ec3387c5c0865a949392f792d9c6aa17e49958a,1,4229.049283839811
86,0xe30bb82b33461e9edb14b36658013bfab8ce6975,1,630.2592838398112
87,0x0d3ef27fd345f89417040e48c7d3a98d3077eef4,1,631.2592838398112
88,0x1bf1c2cf27c3c9998ff6a88a62454a079a07ec51,1,630.2592838398112
89,0xdecddfb97f2bb0b319d8e58b72cfc5ff8c59ccb3,1,630.2592838398112
90,0xcb7b8a1dbe163cb3ccff2fbc4e55bca30cda300a,1,630.2592838398112
91,0x8d045e12f52a6f03f413c004f9dc78d5939e3ffa,1,630.2592838398112
92,0xb993494cf9f7d5a941349f1c7df2f3aa2fc877bd,1,630.2592838398112
93,0x21d7e80a2bd6dd16c85352bbbe3dd1fa91f2e385,4,2517.799578707009
94,0x599138121c0e29fed8a9ad985b620c054e989233,1,630.2592838398112
95,0x338188207e6256f0179b110d7f7bbce5a838f8ad,1,23630.259283839812
96,0xfa04eb1b64262ed5730847fdb33a8bc3bd60ac87,1,630.2592838398112
97,0xe63fa6524fa2d252cc3b46fdb4839900bfbfbb49,1,630.2592838398112
98,0x5d6e88ac0642444dd5a5eb339a937e407ae29d13,1,630.2592838398112
99,0xf03915666f16b0a08413cc6c2a11cc3f71e76f7e,1,630.2592838398112
100,0xbaaba861464f25f52c2ee10cc3ac024f4f77812a,1,630.2592838398112
101,0xd08d1a2c59fd698cefebc593d752a01afbfbe9b9,1,630.2592838398112
102,0x6f346ebeda797e3407699f2f2793d33b18dc4ae2,1,630.2592838398112
103,0xb64199cd690aa4e78f1a6625660347ce63031d72,1,630.2592838398112
104,0xe68e5ad811cda389576a7346aa91e9d912394490,1,630.2592838398112
105,0x7a97484f57d98a62b0195d79b9600624744de59c,1,630.2592838398112
106,0xaa90befc76b37f487eec5c1a593ea5b9826440be,1,630.2592838398112
107,0xff3df48755e1f2e0283abdf8532f3edf0a15f893,1,630.2592838398112
108,0xf0835c9ae1d0bd0f783846692a8cecd8991ad28a,1,630.2592838398112
109,0x62aabd981fc0b1538e16ffb3d47ada4feda9e585,1,630.2592838398112
110,0x7d483c2146c81e36e1fba54622513e3a6d9d56f4,1,630.2592838398112
111,0x1d8fc703f3b67ccb9eddfc24125b7b21f677e8e9,1,630.2592838398112
112,0xe06ad0acb3956f98c9df77bd02cdfd4426b2208d,1,630.2592838398112
113,0x0bd3e9685620b6ab0c8147f745db21f796d107d2,1,630.2592838398112
114,0xd07b689ffebccbc7efa8c4c81be816939e5c6a48,1,630.2592838398112
115,0x7cf164f4ffa64035ac3f2ce1083f8bfa35196ae7,1,630.2592838398112
116,0xc6612f2e21acd9c1b86dd3e4cdd0a83001693de2,1,630.2592838398112
117,0x3646ea59f7f4f9722f4018d7b4e2d46065bfdd9c,1,630.2592838398112
118,0x56a571b1bc18764d7102f21f99bc567c20c1ff9d,1,630.2592838398112
119,0xf90cf0b88623a340c9c610718ffeb6f3c41572a2,1,630.2592838398112
120,0x16ffebc9fac702ed1fd4980249435ef3d24a2ac6,1,630.2592838398112
121,0x2af4742837d109ddc7939b6ffbb70dd61162195a,1,630.2592838398112
122,0x8bef55b95b6373d509be9474ce09c40f813f49a2,1,630.2592838398112
123,0xca90c6d9a655cc35f3f06c2885f4e6d9a1df6371,1,630.2592838398112
124,0x1afa21bef41b61b198b1782d4f806e163c8f291d,1,630.2592838398112
125,0xa6c88571d0028f47adba983a7240bf12af94633e,1,630.2592838398112
126,0xf38e04d7663b6162f9a1fc923ab5faff45c11a34,1,630.2592838398112
127,0x1cca082840abf3c851c2d261771fc8f43daefca0,1,630.2592838398112
128,0xec9db389ba9b0f9e293d2e01f19277eff54f3572,1,630.2592838398112
129,0x8f51a2a3138921f0d5d6fa6f5ad86e5880869674,1,630.2592838398112
130,0xe9908744df557482897cb17a707e4b55681936c9,1,630.2592838398112
131,0x14b889b25e70f60d8dc0aa5f10c83680add61351,1,630.2592838398112
132,0x56311f46963d93eba214a95a5c55193d6bdaf4da,4,2517.6531255196915
133,0xc672604d798d8cbd0cf2cc654099f82bd02647ab,2,13144.143049308388
134,0x15c6e23110513ab0843fdf06288736cedc9ae222,1,630.2592838398112
135,0xee1338f0f9324b97580f1351ea0a30f474e4a67a,1,630.2592838398112
136,0x54d01364a7db38bc8879860100fd8a85907f3c3f,1,630.2592838398112
137,0xb0bf6f6fd3c8bd194d94d39a41fcb99fdffb5273,1,630.2592838398112
138,0xbba92286026209e652384572a2c51e52c9aadbe8,1,630.2592838398112
139,0x3d3f1df04fd28f77c6bffcab0cf9c512dd90def2,1,630.2592838398112
140,0xf7138545072037fb01cf82a4ea5c92c22204dc08,1,630.2592838398112
141,0xe595ed0eee63fe6ceb3e6b6770b9d826223a3737,1,630.2592838398112
142,0x91f3acf393de794e7291fbf36dfc408da617cff0,1,630.2592838398112
143,0x6e0869a2cbb6d26e4095235ba682438d42126d01,1,630.2592838398112
144,0x7e1d726dd28f65e8f50f109b209f2f6321660d10,1,630.2592838398112
145,0xc04208f289d3842ac168f2c373b3164e1d872650,1,630.2592838398112
146,0x2bdf1a698d39a4358e2c162deacc038fadb8a9d5,1,630.2592838398112
147,0x6dfa134a49efd71b207711d41c1a81640ed3dc2b,1,630.2592838398112
148,0x4377dd7c3200409e31eef6c0bd70e478672b29d6,1,630.2592838398112
149,0x8fd6093dd4d321a82d5d9f42577784df503b6ee1,1,630.2592838398112
150,0x660fa2c5350833408a20389957a97b586e0578b6,2,1262.3367163214193
151,0x5441e5d5e601755301653197d3a17a9f346b85e1,1,630.2592838398112
152,0x31efb1fcc3a024f1b2ce01a22d53fd33b328c11d,1,630.2592838398112
153,0x1af64d49346290f351d81163606398715ab47e0e,1,630.2592838398112
154,0x3a917a37a12a7ea3d98773c3ee1938a136d1d5e2,1,630.2592838398112
155,0xcabf12b9d07d5cb30bbf659eeb7921a15e55217d,1,630.2592838398112
156,0x5797dd337a92ab76a1241f5fe29f08cd294175ec,1,630.2592838398112
157,0x27ed385662b631074034889332cd38483ce59852,1,630.2592838398112
158,0x247bcdaaee715428a0a8b02b79a641c051f3a111,1,630.2592838398112
159,0xeb8414bd5f2ee602775b6aac2c7e5605bd599a2e,1,630.2592838398112
160,0xcab21d30dbbe7ef86618e1aea139f6c8a9b44c98,1,48115.25928383981
161,0x420944ab9d490912b58734589ef43cba5efcb5f1,1,630.2592838398112
162,0x7da7186e67195e38b8f4d3003751410103374784,1,630.2592838398112
163,0x23d913035912a7ffe13a8bfd4e4aa08ff06bdcec,1,630.2592838398112
164,0x288cb1ecb49eee679d19eb8fbedab4c7bdeaeaf4,1,630.2592838398112
165,0x5c1b2bf3e255850d061a1e379f525fffcfa615c7,1,630.2592838398112
166,0x19ddb72b5b9b25a740ad39d4de97b9b8d1eb0e36,1,630.2592838398112
167,0x602833282eea4ffe3f326f98eb11921cc03fd0c0,1,630.2592838398112
168,0x34c05aa105aa57c5e193d5ffe9f9b64a0b4f1f4c,1,630.2592838398112
169,0x1cc972ff969689873f8010bdd0cf3dc30618397e,1,630.2592838398112
170,0x1f3cc123f5c83c34ee68b9bd7b13039a73d3e937,1,630.2592838398112
171,0xd891781cb605ee94242ab8115961cd96138d226c,2,1264.1897328941927
172,0x5a19efa0a6c1d154eae993360524b9f2c673f16e,1,630.2592838398112
173,0xf9938356c9033204ccdf9e0cdd2d3faebb16202e,1,630.2592838398112
174,0xe781b28e02ed5fc4b989905cb6848d318f4735fd,1,630.2592838398112
175,0x7a55aae410ff412f39b023e9b5e2e5dbc9a58f68,1,630.2592838398112
176,0x5fd21eba060ba46ad458d6a2b0db5c050f07feb2,1,630.2592838398112
177,0x00034187c8d0d887821587573586f75624c5e111,1,630.2592838398112
178,0xe3abcd85aa20279297ae52552758d6c4878c5d0c,1,630.2592838398112
179,0x2cad1eb8f08201306cfcdc7f3049c59fce76d908,1,630.2592838398112
180,0x37e58a5d5778e55440eac663432bfddf596e3a21,1,630.2592838398112
181,0xbfc016652a6708b20ae850ee92d2ea23cca5f31a,1,630.2592838398112
182,0xf78310ed6641e6c4e221e9d676440ac8645d3afe,1,630.2592838398112
183,0x6157f99a85cc33ca489b0da7058bf87d17e24a14,1,630.2592838398112
184,0x86f69d4ed91e334d4f0fc96a0a6b9d9f5035caa1,1,630.2592838398112
185,0xf163a3e92d2bb931e8d8d626fa394d69d59a2673,1,630.2592838398112
186,0x053e6294400a9268e35df445624f58087c7f388f,1,630.2592838398112
187,0xb4a22d79110bd50342dcdc15079f966e883e7f0a,1,630.2592838398112
188,0xe1e7ba7f42a262069b8f296be7cbf9bff96f4ad8,1,630.2592838398112
189,0x8fac841807e21807f511daf3c04a34cd78661f4c,1,630.2592838398112
190,0xf7307f4f844684c9a510391518de111789d9fd76,1,630.2592838398112
191,0xf3753b1d10d40d8bb1e75b26c69fd6e844aa988f,2,1262.164588365034
192,0x55e1d60c15174e9e06d7e125169933feace1de46,1,630.2592838398112
193,0xda714bfafbc2b139bf6e91d9809fac5a104a9798,1,630.2592838398112
194,0xa9d508815d1216914706c03c566dc20dd972b383,1,630.2592838398112
195,0xff60c38f0343a8b8de07c9770266764c452a368f,1,630.2592838398112
196,0x18c66e1eaa1e9100d181a9652e13dfc9fffcaf3e,1,630.2592838398112
197,0x773d715200ab5c07f39db9772e3c83c48534a585,1,630.2592838398112
198,0x564cc331161c79c85da7911fb98609f5ffc4b6f9,1,630.2592838398112
199,0xf8c7572edfe207f043d6acb4cd80a0c53346a446,1,630.2592838398112
200,0x6980a923ec5ce914998285f12d6d33ddeff1f2dc,1,630.2592838398112
201,0x86a1921558a1c7998551365bd9b2f87727abbc45,1,630.2592838398112
202,0xea24ea8f9a1483296cdc36f265340e84745abb64,1,630.2592838398112
203,0xbaa9b933e5f977a85ab73542a8550e3998928d2c,1,630.2592838398112
204,0x7b4896d77759e76f8b91e231bf56a771565e2963,1,630.2592838398112
205,0x49e96e255ba418d08e66c35b588e2f2f3766e1d0,1,630.2592838398112
206,0xf860c21abaa19e1afd03aecf4c660b0fe09bf511,1,630.2592838398112
207,0x304856144a8cc390cd59c76f7df2dcd8174ba549,1,630.2592838398112
208,0x4a924b552f8d789adef4bb890efb2cd2a6de7650,1,630.2592838398112
209,0xcf9932c436b02478033e142ace9c64bee1f084cd,1,630.2592838398112
210,0xeac0fbba47ea4d3fff69019527092568492f2450,1,630.2592838398112
211,0x5476ff2a30103b83a67e57d21c699e66352a9ffb,1,630.2592838398112
212,0x85f3b95fc3d97e134a9d288fa960aa85da2299db,1,630.2592838398112
213,0xce6c2ae3b51aeff88d3bc32e3742db14df9fcb9a,1,630.2592838398112
214,0x279fca4994c82293ee90efd3312261c772976aef,1,630.2592838398112
215,0xa60caea72317575d30f3a26df961cf184d35780e,1,630.2592838398112
216,0x7f3fb054e59bc0ceaca7c13423a66565795128c7,1,630.2592838398112
217,0x9ad955c4c0e5795a031438d7d59c3807f57ab565,1,630.2592838398112
218,0xd01fe03aba9eb73ff92e2b64e22daf99458e4f54,1,630.2592838398112
219,0xf0d6999725115e3ead3d927eb3329d63afaec09b,1,630.2592838398112
220,0x7affb749963497675ab596ffd4fc7383baee90d0,1,630.2592838398112
221,0x5bdd6864e913009c4bdf7d894b7282c7307a01dc,1,630.2592838398112
222,0x288c3eadfdbef55ac51fed48272c757a899d5045,1,630.2592838398112
223,0x49615df1a8925744ba414ad22e7094ee1cda96c0,1,630.2592838398112
224,0x212fc95d84f74f468ef473133870c45e8f7b67e3,1,630.2592838398112
225,0x117666ca1e398f5facd20ad95812547d6a294188,1,630.2592838398112
226,0xfa4f91e32a24ba360adb308dde7c6167291f623f,1,630.2592838398112
227,0xf5b316491a088ce16f27ef2a62c5990abfb08278,1,630.2592838398112
228,0x47e38f2cb6ff73032b5a5b21ac30715a6cffd3e0,1,630.2592838398112
229,0xf82de1219304ff888c0262c0a476a0c5a6e643f6,1,630.2592838398112
230,0xdbd47f66aa2f00b3db03397f260ce9728298c495,1,630.2592838398112
231,0x5978384d0aa527ecc7fe0fafde20c163efc8e06d,1,630.2592838398112
232,0x8f8685f45c9a22fd4e7d55752a671adbbdeb8003,1,630.2592838398112
233,0xfe7e12fb4f5be7a49b2d7a8fe676cfc38faf7e81,1,630.2592838398112
234,0x6fea30497a5465a603213f292c99bc9085dc5845,1,630.2592838398112
235,0xc3af937aaffe35e65bf5357e35ced38c859ea145,1,630.2592838398112
236,0xe5693d4761e58254f9e9d36d95694719606a08cb,1,630.2592838398112
237,0xcb5ebee4654ce75db2f5c843ccb515988db52b77,1,630.2592838398112
238,0xe92741fe0f2854e6939c43276ebd2919100006e5,1,630.2592838398112
239,0x39b011cd942208ea3181d42f7aa7dbbbd410177f,1,630.2592838398112
240,0x241e25c9d15b5e7fb007b5e028c4ce8694893870,1,630.2592838398112
241,0x912e48f520201af971a375325dd07ccff0f439bc,1,630.2592838398112
242,0xb6024cfd00e85061a0c4b8e1204d12e6f4148df4,1,630.2592838398112
243,0xedf7b675a2fe3c27efb263fb4c204a3f0fb17d46,1,630.2592838398112
244,0x3c926ee5e990b3999f1f656a9b18ff678ce82976,1,630.2592838398112
245,0x0a3085320b81e35c219246763b9eca95b8d7b3ab,1,630.2592838398112
246,0xcad2eada97ad393584fe84a5cca1ef3093e45ae4,1,630.2592838398112
247,0x0ed1f91769d6add12f3aca1229f96eea198ac0ed,1,630.2592838398112
248,0xf1650926d982c973fecef3724ac374331e9eb23b,1,630.2592838398112
249,0xfd33ea42a8180376f2eb2f6eeffcf7469e7d332f,1,630.2592838398112
250,0xaf5d978e42db2c1fad050f4a7825c7aaedbd9d3f,1,630.2592838398112
251,0x3b6b2a0cc5be24f04e9239e3340e2019c2b5af88,1,630.2592838398112
252,0xad75aed3b18f44fe1e7dd2459f71b123018522af,1,630.2592838398112
