address,sold_tokens,sell_pool_ETH,remaining_tokens,currently_empty
0x01f3bedb04d4090372f7b1ca0a4f0bb581faaf8f,24440.2528520159,2.4951514359353855,137652.89422977134,False
0xca8ab66188924815df38cac43165ae8c220f1a4b,32672.070304044697,3.3687169503058665,101337.21790083355,False
0x3d2fa04af6099a759fc3477fe601a9c7aadf0229,10250.0,1.0490681803010593,16653.64386723,False
0xb19e4456e26181897aaf08e76f09691a27d8cf47,450.0,0.04694090632072616,1169.5044983068308,False
0x5a2ec8fc323180c33638bc02cbaaf139ecf37d94,155.03879359978282,0.01620255931691927,465.11638079934846,False
0x3ef655dc725cabb11aa63b373147681151b41db1,237.58845892644067,0.024526416994971663,301.3408139503875,False
0x9948ed6f180e064a6d7668b0af3304d3044bf4ef,132.89806551122774,0.013662895930217325,129.72599020503984,False
0x1c43925835ea30480e36a8288dc7ec19cd822791,71.13884407674027,0.007270487623804234,0.0,True
0x0bf17af03bfc7a44a5bb80419b323271bd0155cf,14633.320476595194,1.5270709395268272,0.0,True
0x1387078be4d40daeaad1c4bce8200afcae93b835,16705.530572281015,1.7080707132615658,0.0,True
0x15f578d55bcb1f200222a8e0970bc7f642f70ffc,25350.826524835593,2.599229884113163,0.0,True
0x26f7e591bf4eb57e1ea0f77805aa03ef66b63449,1259.3745656341985,0.1316178532217857,0.0,True
0x25c289a0a073163a873dd7402fce63424a0d0680,23930.45442629494,2.4948550780606893,0.0,True
0x255b7879959b462d7e9f19c5488cd49019663be2,660.7949971096604,0.0674046081508387,0.0,True
0x285c6c5bb53508a72dcf8e63e44bf0ae69baabe9,52655.55913633529,5.480351232083095,0.0,True
0x327facc561234ebd02c933a4d4486fab6585c566,10893.107529669596,1.1345847779055187,0.0,True
0x30d6dad8112c8457dbd681952ef54871dfd584fb,52128.38351393651,5.411918946803755,0.0,True
0x38b229873eec95576cc635ebba813fb27d5c00dd,4688.4874728601835,0.4820782922750455,0.0,True
0x2bd9000e3e516a74582e5cdfa2e67fedee38157f,430.616378789897,0.0450963438039002,0.0,True
0x3804a85597ef39efec762a151c4ddfff28b779c0,34451.12148678771,3.603990979547316,0.0,True
