hours,fraction_recent_seller_inventory_sold,extra_external_buyer_ETH
6,0.0,101.98326107365574
6,0.25,165.27728396704333
6,0.5,228.26026244092645
6,1.0,353.30207647621137
24,0.0,40.83927398733067
24,0.25,104.98206387364917
24,0.5,169.0643631563944
24,1.0,297.04757297167816
